fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,895,28,3.2,10,3,0,2,2021
01001,757,-3,-0.4,10,3,0,2,2021
01003,867,-21,-2.4,10,3,0,2,2021
01005,728,15,2.1,10,3,0,2,2021
01007,682,-31,-4.3,10,3,0,2,2021
01009,734,5,0.7,10,3,0,2,2021
01011,763,50,7.0,10,3,0,2,2021
01013,761,25,3.4,10,3,0,2,2021
01015,832,34,4.3,10,3,0,2,2021
01017,844,-11,-1.3,10,3,0,2,2021
01019,752,-5,-0.7,10,3,0,2,2021
01021,715,-20,-2.7,10,3,0,2,2021
01023,698,1,0.1,10,3,0,2,2021
01025,732,4,0.5,10,3,0,2,2021
01027,773,72,10.3,10,3,0,2,2021
01029,770,-2,-0.3,10,3,0,2,2021
01031,785,-5,-0.6,10,3,0,2,2021
01033,875,27,3.2,10,3,0,2,2021
01035,711,27,3.9,10,3,0,2,2021
01037,594,-60,-9.2,10,3,0,2,2021
01039,753,36,5.0,10,3,0,2,2021
01041,691,-25,-3.5,10,3,0,2,2021
01043,786,-9,-1.1,10,3,0,2,2021
01045,786,50,6.8,10,3,0,2,2021
01047,717,12,1.7,10,3,0,2,2021
01049,796,53,7.1,10,3,0,2,2021
01051,770,68,9.7,10,3,0,2,2021
01053,898,26,3.0,10,3,0,2,2021
01055,774,-13,-1.7,10,3,0,2,2021
01057,776,25,3.3,10,3,0,2,2021
01059,784,-26,-3.2,10,3,0,2,2021
01061,680,-2,-0.3,10,3,0,2,2021
01063,735,-16,-2.1,10,3,0,2,2021
01065,723,-4,-0.6,10,3,0,2,2021
01067,731,11,1.5,10,3,0,2,2021
01069,1058,38,3.7,10,3,0,2,2021
01071,791,-17,-2.1,10,3,0,2,2021
01073,1082,57,5.6,10,3,0,2,2021
01075,719,15,2.1,10,3,0,2,2021
01077,852,-17,-2.0,10,3,0,2,2021
01079,703,-5,-0.7,10,3,0,2,2021
01081,1007,42,4.4,10,3,0,2,2021
01083,872,38,4.6,10,3,0,2,2021
01085,763,58,8.2,10,3,0,2,2021
01087,800,2,0.3,10,3,0,2,2021
01089,1044,86,9.0,10,3,0,2,2021
01091,769,39,5.3,10,3,0,2,2021
01093,797,-1,-0.1,10,3,0,2,2021
01095,862,32,3.9,10,3,0,2,2021
01097,839,11,1.3,10,3,0,2,2021
01099,830,68,8.9,10,3,0,2,2021
01101,867,30,3.6,10,3,0,2,2021
01103,881,23,2.7,10,3,0,2,2021
01105,704,48,7.3,10,3,0,2,2021
01107,701,14,2.0,10,3,0,2,2021
01109,0,0,0,10,3,0,2,2021
01111,715,-32,-4.3,10,3,0,2,2021
01113,824,46,5.9,10,3,0,2,2021
01115,789,0,0.0,10,3,0,2,2021
01117,887,-18,-2.0,10,3,0,2,2021
01119,676,7,1.0,10,3,0,2,2021
01121,778,-21,-2.6,10,3,0,2,2021
01123,827,47,6.0,10,3,0,2,2021
01125,985,60,6.5,10,3,0,2,2021
01127,745,-11,-1.5,10,3,0,2,2021
01129,630,-29,-4.4,10,3,0,2,2021
01131,682,13,1.9,10,3,0,2,2021
01133,680,-28,-4.0,10,3,0,2,2021
01999,0,0,0,10,3,0,2,2021
02000,1260,-29,-2.2,10,3,0,2,2021
02013,891,-84,-8.6,10,3,0,2,2021
02016,1118,-23,-2.0,10,3,0,2,2021
02020,0,0,0,10,3,0,2,2021
02050,816,36,4.6,10,3,0,2,2021
02060,1233,-126,-9.3,10,3,0,2,2021
02063,1144,-74,-6.1,10,3,0,2,2021
02066,646,-33,-4.9,10,3,0,2,2021
02068,904,43,5.0,10,3,0,2,2021
02070,766,-44,-5.4,10,3,0,2,2021
02090,1516,-138,-8.3,10,3,0,2,2021
02100,810,-229,-22.0,10,3,0,2,2021
02105,796,-30,-3.6,10,3,0,2,2021
02110,1262,-37,-2.8,10,3,0,2,2021
02122,1444,-34,-2.3,10,3,0,2,2021
02130,1267,-10,-0.8,10,3,0,2,2021
02150,966,65,7.2,10,3,0,2,2021
02158,861,43,5.3,10,3,0,2,2021
02164,0,0,0,10,3,0,2,2021
02170,1110,-25,-2.2,10,3,0,2,2021
02180,1039,-29,-2.7,10,3,0,2,2021
02185,1375,-92,-6.3,10,3,0,2,2021
02188,1103,-33,-2.9,10,3,0,2,2021
02195,998,18,1.8,10,3,0,2,2021
02198,957,-5,-0.5,10,3,0,2,2021
02220,1443,-8,-0.6,10,3,0,2,2021
02230,0,0,0,10,3,0,2,2021
02240,883,13,1.5,10,3,0,2,2021
02275,893,-181,-16.9,10,3,0,2,2021
02282,0,0,0,10,3,0,2,2021
02290,721,0,0.0,10,3,0,2,2021
04000,1155,42,3.8,10,3,0,2,2021
04001,1038,89,9.4,10,3,0,2,2021
04003,927,40,4.5,10,3,0,2,2021
04005,1107,73,7.1,10,3,0,2,2021
04007,948,26,2.8,10,3,0,2,2021
04009,1042,-29,-2.7,10,3,0,2,2021
04011,818,-201,-19.7,10,3,0,2,2021
04012,900,113,14.4,10,3,0,2,2021
04013,1247,32,2.6,10,3,0,2,2021
04015,975,18,1.9,10,3,0,2,2021
04017,974,83,9.3,10,3,0,2,2021
04019,1032,57,5.8,10,3,0,2,2021
04021,1142,44,4.0,10,3,0,2,2021
04023,1220,104,9.3,10,3,0,2,2021
04025,1066,70,7.0,10,3,0,2,2021
04027,1003,44,4.6,10,3,0,2,2021
04999,958,81,9.2,10,3,0,2,2021
05000,1000,82,8.9,10,3,0,2,2021
05001,796,89,12.6,10,3,0,2,2021
05003,845,94,12.5,10,3,0,2,2021
05005,853,14,1.7,10,3,0,2,2021
05007,1095,34,3.2,10,3,0,2,2021
05009,1049,55,5.5,10,3,0,2,2021
05011,883,111,14.4,10,3,0,2,2021
05013,740,0,0,10,3,0,2,2021
05015,853,100,13.3,10,3,0,2,2021
05017,777,52,7.2,10,3,0,2,2021
