area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
US000,0,10,10,0,1990,A,,6066121,108603565,2563574561184,0,0,454,23605,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,148921,2.5,1566365,1.5,148455574984,6.1,-734042213100,-100.0,-15896833600,-100.0,21,4.8,1042,4.6
US000,0,10,10,0,1991,A,,6371713,106823195,2628755162861,0,0,473,24608,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,305592,5.0,-1780370,-1.6,65180601677,2.5,0,0.0,0,0.0,19,4.2,1003,4.2
US000,0,10,10,0,1992,A,,6517561,107321596,2787166637907,0,0,499,25970,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,145848,2.3,498401,0.5,158411475046,6.0,0,0.0,0,0.0,26,5.5,1362,5.5
US000,0,10,10,0,1993,A,,6679172,109402016,2887734642560,0,0,508,26396,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,161611,2.5,2080420,1.9,100568004653,3.6,0,0.0,0,0.0,9,1.8,426,1.6
US000,0,10,10,0,1994,A,,6812464,112502187,3036102596605,0,0,519,26987,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,133292,2.0,3100171,2.8,148367954045,5.1,0,0.0,0,0.0,11,2.2,591,2.2
US000,0,10,10,0,1995,A,,7031132,115414328,3271274689618,0,0,545,28344,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,218668,3.2,2912141,2.6,235172093013,7.7,0,0.0,0,0.0,26,5.0,1357,5.0
US000,0,10,10,0,1996,A,,7171997,117818714,3415024592935,0,0,557,28985,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,140865,2.0,2404386,2.1,143749903317,4.4,0,0.0,0,0.0,12,2.2,641,2.3
US000,0,10,10,0,1997,A,,7347280,121021214,3736399464232,0,0,594,30874,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,175283,2.4,3202500,2.7,321374871297,9.4,0,0.0,0,0.0,37,6.6,1889,6.5
US000,0,10,10,0,1998,A,,7627795,124077507,3968662067362,0,0,615,31985,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,280515,3.8,3056293,2.5,232262603130,6.2,0,0.0,0,0.0,21,3.5,1111,3.6
US000,0,10,10,0,1999,A,,7790595,126962861,4251151149996,0,0,644,33483,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,162800,2.1,2885354,2.3,282489082634,7.1,0,0.0,0,0.0,29,4.7,1498,4.7
