area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
01000,0,10,50,0,1993,A,,96233,1679519,38275584906,0,0,438,22790,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,2252,2.4,40829,2.5,1655994566,4.5,0,0.0,0,0.0,8,1.9,443,2.0
01001,0,10,70,0,1993,A,,667,8566,173610800,0,0,390,20267,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,12,1.8,169,2.0,10085299,6.2,0,0.0,0,0.0,15,4.0,793,4.1
01003,0,10,70,0,1993,A,,2780,32543,555988657,0,0,329,17085,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,142,5.4,2069,6.8,54806400,10.9,0,0.0,0,0.0,13,4.1,639,3.9
01005,0,10,70,0,1993,A,,625,9636,185818664,0,0,371,19285,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,19,3.1,475,5.2,14807309,8.7,0,0.0,0,0.0,12,3.3,618,3.3
01007,0,10,70,0,1993,A,,294,4005,70783085,0,0,340,17675,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,4,1.4,-115,-2.8,434856,0.6,0,0.0,0,0.0,12,3.7,598,3.5
01009,0,10,70,0,1993,A,,639,8309,131183453,0,0,304,15787,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,20,3.2,457,5.8,10615290,8.8,0,0.0,0,0.0,9,3.1,432,2.8
01011,0,10,70,0,1993,A,,185,3086,50778623,0,0,316,16455,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,-2,-1.1,12,0.4,1625518,3.3,0,0.0,0,0.0,9,2.9,467,2.9
01013,0,10,70,0,1993,A,,489,6510,109195975,0,0,323,16774,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,10,2.1,316,5.1,7717830,7.6,0,0.0,0,0.0,8,2.5,390,2.4
01015,0,10,70,0,1993,A,,2348,45763,941364990,0,0,396,20571,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,48,2.1,185,0.4,24697963,2.7,0,0.0,0,0.0,9,2.3,459,2.3
01017,0,10,70,0,1993,A,,620,12887,255028508,0,0,381,19790,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,15,2.5,-106,-0.8,14390352,6.0,0,0.0,0,0.0,25,7.0,1270,6.9
01019,0,10,70,0,1993,A,,355,4433,73758367,0,0,320,16640,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,17,5.0,130,3.0,3785622,5.4,0,0.0,0,0.0,7,2.2,380,2.3
01021,0,10,70,0,1993,A,,662,6857,113968575,0,0,320,16621,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,31,4.9,389,6.0,8126144,7.7,0,0.0,0,0.0,5,1.6,257,1.6
01023,0,10,70,0,1993,A,,362,5896,161355841,0,0,526,27368,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,-8,-2.2,60,1.0,2321087,1.5,0,0.0,0,0.0,2,0.4,117,0.4
01025,0,10,70,0,1993,A,,722,9219,172885506,0,0,361,18752,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,10,1.4,284,3.2,8694077,5.3,0,0.0,0,0.0,8,2.3,375,2.0
01027,0,10,70,0,1993,A,,249,5115,80868902,0,0,304,15811,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,-2,-0.8,145,2.9,3005071,3.9,0,0.0,0,0.0,3,1.0,145,0.9
01029,0,10,70,0,1993,A,,188,2865,47711215,0,0,320,16656,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,11,6.2,19,0.7,299415,0.6,0,0.0,0,0.0,0,0.0,-3,0.0
01031,0,10,70,0,1993,A,,887,14109,237780175,0,0,324,16853,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,12,1.4,754,5.6,18977947,8.7,0,0.0,0,0.0,9,2.9,470,2.9
01033,0,10,70,0,1993,A,,1352,22446,546672762,0,0,468,24355,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,21,1.6,402,1.8,14934671,2.8,0,0.0,0,0.0,4,0.9,233,1.0
01035,0,10,70,0,1993,A,,304,4355,82067155,0,0,362,18845,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,-1,-0.3,324,8.0,7633427,10.3,0,0.0,0,0.0,7,2.0,378,2.0
01037,0,10,70,0,1993,A,,156,2083,40802666,0,0,377,19593,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,1,0.6,-14,-0.7,282512,0.7,0,0.0,0,0.0,5,1.3,268,1.4
01039,0,10,70,0,1993,A,,886,13072,232473018,0,0,342,17784,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,9,1.0,251,2.0,11212799,5.1,0,0.0,0,0.0,10,3.0,527,3.1
01041,0,10,70,0,1993,A,,264,3620,56104225,0,0,298,15498,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,0,0.0,19,0.5,2105982,3.9,0,0.0,0,0.0,10,3.5,502,3.3
01043,0,10,70,0,1993,A,,1431,22024,419177235,0,0,366,19033,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,47,3.4,615,2.9,24684685,6.3,0,0.0,0,0.0,12,3.4,607,3.3
01045,0,10,70,0,1993,A,,863,17504,392425534,0,0,431,22420,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,25,3.0,-475,-2.6,-5715487,-1.4,0,0.0,0,0.0,5,1.2,276,1.2
01047,0,10,70,0,1993,A,,1115,17370,307033839,0,0,340,17677,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,-4,-0.4,30,0.2,9789946,3.3,0,0.0,0,0.0,10,3.0,535,3.1
01049,0,10,70,0,1993,A,,1142,20740,365564366,0,0,339,17626,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,27,2.4,902,4.5,21546708,6.3,0,0.0,0,0.0,6,1.8,285,1.6
01051,0,10,70,0,1993,A,,797,10678,198975730,0,0,358,18634,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,15,1.9,377,3.7,11163012,5.9,0,0.0,0,0.0,7,2.0,401,2.2
01053,0,10,70,0,1993,A,,870,13092,260557560,0,0,383,19902,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,11,1.3,642,5.2,17398267,7.2,0,0.0,0,0.0,7,1.9,371,1.9
01055,0,10,70,0,1993,A,,1975,35392,761918886,0,0,414,21528,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,51,2.7,1178,3.4,33621060,4.6,0,0.0,0,0.0,5,1.2,241,1.1
01057,0,10,70,0,1993,A,,364,6095,119825755,0,0,378,19659,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,0,0.0,90,1.5,2295816,2.0,0,0.0,0,0.0,2,0.5,88,0.4
01059,0,10,70,0,1993,A,,607,10197,173853444,0,0,328,17050,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,20,3.4,349,3.5,10059888,6.1,0,0.0,0,0.0,8,2.5,417,2.5
01061,0,10,70,0,1993,A,,430,6836,106708081,0,0,300,15610,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,12,2.9,195,2.9,4681593,4.6,0,0.0,0,0.0,5,1.7,248,1.6
01063,0,10,70,0,1993,A,,188,2419,40722600,0,0,324,16836,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,-10,-5.1,-48,-1.9,274637,0.7,0,0.0,0,0.0,9,2.9,441,2.7
01065,0,10,70,0,1993,A,,246,3527,52644655,0,0,287,14924,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,2,0.8,353,11.1,5646709,12.0,0,0.0,0,0.0,2,0.7,116,0.8
01067,0,10,70,0,1993,A,,333,4311,76829879,0,0,343,17821,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,1,0.3,-290,-6.3,2212856,3.0,0,0.0,0,0.0,31,9.9,1604,9.9
01069,0,10,70,0,1993,A,,2533,42364,900291411,0,0,409,21251,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,49,2.0,256,0.6,15904916,1.8,0,0.0,0,0.0,5,1.2,248,1.2
01071,0,10,70,0,1993,A,,922,16753,360875501,0,0,414,21541,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,22,2.4,787,4.9,28386071,8.5,0,0.0,0,0.0,14,3.5,716,3.4
01073,0,10,70,0,1993,A,,17410,350309,9027159913,0,0,496,25769,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,64,0.4,5899,1.7,354232265,4.1,0,0.0,0,0.0,12,2.5,587,2.3
01075,0,10,70,0,1993,A,,322,5850,104273840,0,0,343,17824,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,2,0.6,142,2.5,5416418,5.5,0,0.0,0,0.0,10,3.0,505,2.9
01077,0,10,70,0,1993,A,,1848,30001,556032063,0,0,356,18534,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,45,2.5,987,3.4,32516435,6.2,0,0.0,0,0.0,9,2.6,490,2.7
01079,0,10,70,0,1993,A,,407,7196,199725817,0,0,534,27757,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,12,3.0,-141,-1.9,9035452,4.7,0,0.0,0,0.0,34,6.8,1767,6.8
01081,0,10,70,0,1993,A,,1783,34796,732566398,0,0,405,21053,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,,53,3.1,220,0.6,22322462,3.1,0,0.0,0,0.0,10,2.5,511,2.5
