"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","111","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 111 Crop production","State, NAICS 3-digit -- by ownership sector","All establishment sizes",332,2750,2818,2914,25748313,18347186,396539,701,"",0.53,0.44,0.44,0.43,0.58,0.53,0.54,1.33,"",11,3.4,-141,-4.9,-197,-6.5,-181,-5.8,203635,0.8,-412398,-2.2,85441,27.5,46,7.0
"01000","5","111","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 111 Crop production","State, NAICS 3-digit -- by ownership sector","All establishment sizes",336,3089,3161,3067,37140690,6208350,147743,920,"",0.53,0.42,0.41,0.38,0.61,0.37,0.36,1.52,"",11,3.4,-155,-4.8,-133,-4.0,-190,-5.8,-431730,-1.1,-359527,-5.5,38102,34.8,35,4.0
"01000","5","111","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 111 Crop production","State, NAICS 3-digit -- by ownership sector","All establishment sizes",337,3028,2892,2953,32854734,2629541,59151,854,"",0.53,0.36,0.36,0.37,0.49,0.17,0.16,1.34,"",8,2.4,-48,-1.6,-69,-2.3,-18,-0.6,4853312,17.3,113233,4.5,19670,49.8,137,19.1
"01001","5","111","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 111 Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,18,17,17,178665,124202,2698,793,"",0.91,0.51,0.47,0.44,0.88,0.74,0.72,1.85,"",0,0.0,1,5.9,1,6.2,1,6.2,23113,14.9,12967,11.7,1106,69.5,60,8.2
"01001","5","111","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 111 Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,17,16,21,185693,15216,367,794,"",0.92,0.40,0.36,0.46,0.68,0.16,0.15,1.66,"",0,0.0,1,6.2,-1,-5.9,5,31.2,12309,7.1,840,5.8,200,119.8,-23,-2.8
"01001","5","111","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 111 Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,20,19,18,187249,21664,559,758,"",0.91,0.43,0.42,0.39,0.58,0.26,0.27,1.41,"",0,0.0,3,17.6,2,11.8,1,5.9,3022,1.6,13724,172.8,421,305.1,-76,-9.1
"01003","5","111","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 111 Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",37,493,497,489,5130454,3533587,50933,801,"",1.14,2.10,2.05,1.88,3.92,2.70,1.97,1.96,"",1,2.8,-13,-2.6,-32,-6.0,-31,-6.0,58203,1.1,-25464,-0.7,14409,39.5,48,6.4
"01003","5","111","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 111 Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",38,532,540,456,5687950,801021,11496,859,"",1.17,1.84,1.77,1.41,2.89,0.92,0.57,1.74,"",1,2.7,-41,-7.2,-21,-3.7,-94,-17.1,8536,0.2,-93538,-10.5,2791,32.1,81,10.4
"01003","5","111","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 111 Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",39,506,488,499,6914577,420633,6054,1069,"",1.20,1.51,1.55,1.58,3.11,0.55,0.37,2.01,"",2,5.4,-34,-6.3,-31,-6.0,-10,-2.0,1334841,23.9,74790,21.6,3047,101.3,248,30.2
"01005","5","111","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 111 Crop production","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,57,59,57,618342,352325,6747,825,"",3.74,2.31,2.33,2.14,4.82,2.78,2.63,2.13,"",1,11.1,7,14.0,10,20.4,7,14.0,194721,46.0,46639,15.3,3444,104.3,169,25.8
