"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","113","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 113 Forestry and logging","State, NAICS 3-digit -- by ownership sector","All establishment sizes",614,4076,4042,4056,46383849,30314006,482420,879,"",5.35,5.72,5.75,5.80,7.17,5.79,5.62,1.24,"",8,1.3,-2,0.0,-39,-1.0,-53,-1.3,1022017,2.3,330782,1.1,117949,32.4,26,3.0
"01000","5","113","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 113 Forestry and logging","State, NAICS 3-digit -- by ownership sector","All establishment sizes",616,4076,4024,4024,49792729,5359949,93192,948,"",5.37,5.95,5.79,5.66,7.10,3.16,2.71,1.22,"",10,1.7,47,1.2,-126,-3.0,-97,-2.4,1578688,3.3,66210,1.3,13452,16.9,43,4.8
"01000","5","113","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 113 Forestry and logging","State, NAICS 3-digit -- by ownership sector","All establishment sizes",618,4004,3990,3971,50297019,3885272,67420,970,"",5.39,5.56,5.60,5.64,6.56,2.93,2.28,1.17,"",7,1.1,-34,-0.8,-41,-1.0,-49,-1.2,2819726,5.9,83987,2.2,10795,19.1,64,7.1
"01001","5","113","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,33,32,32,1099175,369110,4245,2615,"",5.02,8.23,8.08,8.06,36.81,14.67,9.69,4.53,"",0,0.0,2,6.5,0,0.0,0,0.0,102355,10.3,39648,12.0,2301,118.4,194,8.0
"01001","5","113","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,33,33,33,934275,14949,172,2178,"",5.08,8.47,8.35,8.19,29.75,1.56,0.85,3.57,"",0,0.0,1,3.1,1,3.1,2,6.5,187467,25.1,276,1.9,85,97.7,364,20.1
"01001","5","113","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,33,33,33,1059865,20794,238,2471,"",5.06,8.10,8.25,8.28,29.04,2.89,1.43,3.54,"",0,0.0,0,0.0,0,0.0,2,6.5,408652,62.8,5492,35.9,147,161.5,922,59.5
"01003","5","113","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,20,19,20,143704,107760,2014,562,"",1.36,0.75,0.71,0.74,0.75,0.55,0.67,1.02,"",0,0.0,3,17.6,0,0.0,5,33.3,-5088,-3.4,5553,5.4,-164,-7.5,-111,-16.5
"01003","5","113","75","0","2021","2","N","Baldwin County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","113","75","0","2021","3","N","Baldwin County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","113","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,106,112,105,1276108,865711,15965,912,"",10.30,37.75,40.17,38.27,68.01,45.56,53.42,1.76,"",0,0.0,6,6.0,12,12.0,5,5.0,100708,8.6,64499,8.1,5112,47.1,8,0.9
"01005","5","113","75","0","2021","2","","Barbour County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,107,112,108,1367206,103554,1944,965,"",10.43,40.26,41.55,39.01,67.29,14.50,13.36,1.67,"",0,0.0,5,4.9,15,15.5,5,4.9,157008,13.0,-3987,-3.7,642,49.3,40,4.3
"01005","5","113","75","0","2021","3","","Barbour County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,110,115,106,1383654,126744,2767,965,"",10.50,39.54,41.78,38.95,61.61,24.77,23.61,1.54,"",-1,-16.7,1,0.9,12,11.7,1,1.0,181750,15.1,27676,27.9,1612,139.6,90,10.3
"01007","5","113","75","0","2021","1","","Bibb County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,60,60,60,606325,430800,10166,777,"",25.25,34.65,34.58,35.12,46.04,35.11,52.80,1.32,"",0,0.0,-1,-1.6,-2,-3.2,-2,-3.2,14513,2.5,36430,9.2,4291,73.0,39,5.3
"01007","5","113","75","0","2021","2","","Bibb County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,53,49,50,592401,52518,1177,899,"",25.40,31.86,29.09,28.79,40.85,13.90,16.87,1.37,"",0,0.0,-11,-17.2,-13,-21.0,-12,-19.4,-73673,-11.1,-17415,-24.9,-128,-9.8,81,9.9
"01007","5","113","75","0","2021","3","","Bibb County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,50,53,51,567648,44038,1220,851,"",25.45,28.80,31.20,29.89,36.68,16.09,21.87,1.22,"",0,0.0,-13,-20.6,-9,-14.5,-13,-20.3,-38268,-6.3,-13864,-23.9,-96,-7.3,111,15.0
"01009","5","113","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","113","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","113","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","113","75","0","2021","1","","Bullock County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,50,51,50,563777,379806,4448,862,"",61.81,47.56,48.61,48.61,77.99,49.15,25.43,1.62,"",2,25.0,14,38.9,13,34.2,14,38.9,135328,31.6,106013,38.7,1623,57.5,-37,-4.1
"01011","5","113","75","0","2021","2","","Bullock County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,41,40,44,551595,72809,962,1018,"",62.99,41.78,40.16,42.47,67.71,28.44,11.53,1.63,"",2,25.0,4,10.8,3,8.1,6,15.8,69460,14.4,39812,120.7,656,214.4,25,2.5
"01011","5","113","75","0","2021","3","","Bullock County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,46,48,48,607796,35520,409,988,"",63.46,45.51,48.11,48.71,68.59,21.76,8.91,1.45,"",2,25.0,8,21.1,9,23.1,9,23.1,120114,24.6,21058,145.6,266,186.0,18,1.9
"01013","5","113","75","0","2021","1","","Butler County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,114,110,110,1236256,819326,9988,854,"",37.90,47.91,47.01,47.57,80.23,48.46,29.89,1.69,"",1,6.7,0,0.0,4,3.8,-2,-1.8,-52715,-4.1,-28976,-3.4,2224,28.6,-42,-4.7
"01013","5","113","75","0","2021","2","","Butler County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,117,117,107,1383408,166177,2289,936,"",36.09,52.31,51.85,46.02,80.84,27.24,16.91,1.62,"",-1,-6.2,1,0.9,-1,-0.8,-13,-10.8,36363,2.7,46410,38.8,317,16.1,58,6.6
"01013","5","113","75","0","2021","3","","Butler County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,114,116,120,1519917,143502,1661,1002,"",36.19,48.27,49.56,52.95,82.55,30.14,14.70,1.64,"",-1,-6.2,-6,-5.0,-3,-2.5,2,1.7,143651,10.4,29496,25.9,381,29.8,112,12.6
"01015","5","113","75","0","2021","1","","Calhoun County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,71,72,70,863865,583467,7475,936,"",5.01,4.44,4.58,4.49,7.13,6.02,5.02,1.58,"",-1,-8.3,1,1.4,2,2.9,3,4.5,77450,9.8,51245,9.6,3087,70.4,59,6.7
"01015","5","113","75","0","2021","2","","Calhoun County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,72,72,72,948288,65448,856,1013,"",5.05,4.73,4.68,4.58,7.34,1.87,1.31,1.57,"",-1,-8.3,3,4.3,4,5.9,3,4.3,127312,15.5,31712,94.0,490,133.9,93,10.1
"01015","5","113","75","0","2021","3","","Calhoun County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,74,74,74,990105,43440,550,1029,"",5.07,4.64,4.69,4.76,6.90,1.64,1.00,1.47,"",-1,-8.3,8,12.1,7,10.4,5,7.2,104649,11.8,-2866,-6.2,-11,-2.0,17,1.7
"01017","5","113","75","0","2021","1","","Chambers County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,184,180,178,1912154,1280706,18999,814,"",31.13,60.35,59.91,60.15,89.40,61.96,55.85,1.49,"",0,0.0,5,2.8,-3,-1.6,-4,-2.2,4202,0.2,-18603,-1.4,5826,44.2,5,0.6
"01017","5","113","75","0","2021","2","","Chambers County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,183,179,180,2015421,172599,2411,858,"",30.62,62.85,60.96,60.27,88.45,24.99,18.17,1.44,"",0,0.0,-5,-2.7,-9,-4.8,-5,-2.7,-365483,-15.4,-109859,-38.9,-655,-21.4,-121,-12.4
"01017","5","113","75","0","2021","3","","Chambers County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,177,175,175,2050909,110582,1394,898,"",30.78,57.97,56.53,58.16,83.07,19.05,9.98,1.44,"",0,0.0,2,1.1,2,1.2,2,1.2,100516,5.2,15626,16.5,172,14.1,34,3.9
"01019","5","113","75","0","2021","1","","Cherokee County, Alabama","Private","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,27,27,27,217662,192383,3164,620,"",13.83,14.39,14.54,14.51,18.40,15.96,14.95,1.27,"",0,0.0,-9,-25.0,-8,-22.9,-8,-22.9,-30280,-12.2,-21692,-10.1,1280,67.9,80,14.8
