"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","115","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 115 Agriculture and forestry support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",303,2872,2759,2675,31308213,20369987,329837,870,"",1.14,0.62,0.59,0.60,0.99,0.84,0.42,1.65,"",0,0.0,-272,-8.7,-243,-8.1,-137,-4.9,-1640003,-5.0,-1444866,-6.6,111203,50.9,21,2.5
"01000","5","115","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 115 Agriculture and forestry support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",305,2371,2423,2315,27287146,3435205,63736,886,"",1.14,0.47,0.45,0.42,0.67,0.30,0.15,1.49,"",0,0.0,-255,-9.7,-249,-9.3,-270,-10.4,-2236715,-7.6,-243759,-6.6,23977,60.3,22,2.5
"01000","5","115","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 115 Agriculture and forestry support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",304,2696,2614,2638,29688825,2907602,54886,862,"",1.13,0.47,0.47,0.48,0.61,0.25,0.14,1.29,"",0,0.0,43,1.6,1,0.0,-207,-7.3,519760,1.8,-222378,-7.1,26083,90.6,32,3.9
"01001","5","115","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,26,25,25,688184,197579,2272,2090,"",4.33,1.00,0.95,0.98,4.73,1.69,0.57,4.84,"",0,0.0,0,0.0,0,0.0,0,0.0,151204,28.2,2331,1.2,1121,97.4,459,28.1
"01001","5","115","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,25,26,26,447059,11568,134,1340,"",4.35,0.88,0.85,0.83,2.43,0.18,0.05,2.85,"",0,0.0,-1,-3.8,0,0.0,-1,-3.7,-2488,-0.6,4004,52.9,89,197.8,27,2.1
"01001","5","115","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,27,27,26,445571,17122,196,1285,"",4.31,0.83,0.86,0.84,1.92,0.27,0.09,2.28,"",0,0.0,0,0.0,1,3.8,0,0.0,3820,0.9,6887,67.3,136,226.7,-5,-0.4
"01003","5","115","75","0","2021","1","N","Baldwin County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","115","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,99,102,112,987579,158316,1821,728,"",0.65,0.51,0.48,0.51,0.75,0.27,0.09,1.50,"",2,28.6,87,725.0,88,628.6,95,558.8,821448,494.5,123901,360.0,1618,797.0,-164,-18.4
"01003","5","115","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,112,105,115,1040643,148203,1704,723,"",0.65,0.48,0.48,0.54,0.65,0.26,0.09,1.30,"",2,28.6,95,558.8,87,483.3,96,505.3,856553,465.3,111476,303.5,1487,685.3,-64,-8.1
"01005","5","115","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.55,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","115","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.57,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","115","75","0","2021","3","N","Barbour County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","115","75","0","2021","1","","Bibb County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,4,4,4,28502,26500,305,548,"",4.08,0.36,0.35,0.36,0.44,0.47,0.17,1.25,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-8822,-23.6,-8000,-23.2,17,5.9,-26,-4.5
"01007","5","115","75","0","2021","2","","Bibb County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,7,7,8,36215,13213,271,380,"",5.43,0.58,0.54,0.59,0.43,0.52,0.32,0.75,"",1,33.3,2,40.0,2,40.0,3,60.0,-1109,-3.0,7713,140.2,154,131.6,-194,-33.8
"01007","5","115","75","0","2021","3","","Bibb County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,8,8,8,36977,5087,137,356,"",5.42,0.57,0.60,0.60,0.38,0.21,0.18,0.64,"",1,33.3,3,60.0,3,60.0,3,60.0,-278,-0.7,1698,50.1,46,50.5,-217,-37.9
"01009","5","115","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","115","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","115","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","115","75","0","2021","1","","Bullock County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,12,11,114078,84650,1097,774,"",7.99,1.61,1.73,1.67,3.24,2.36,0.69,1.94,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","115","75","0","2021","2","","Bullock County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,10,9,93709,8023,92,721,"",8.08,1.54,1.30,1.12,1.97,0.46,0.09,1.50,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","115","75","0","2021","3","","Bullock County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,10,9,10,96411,8954,103,767,"",8.10,1.23,1.15,1.30,1.71,0.63,0.17,1.39,"",0,0.0,-1,-9.1,-2,-18.2,-1,-9.1,-14258,-12.9,3184,55.2,69,202.9,-7,-0.9
"01013","5","115","75","0","2021","1","","Butler County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,30,29,30,421775,198278,4696,1094,"",8.17,1.95,1.87,2.02,5.62,2.53,1.54,2.89,"",1,14.3,-1,-3.2,-2,-6.5,1,3.4,1126,0.3,-7437,-3.6,1105,30.8,27,2.5
"01013","5","115","75","0","2021","2","","Butler County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,31,31,33,383698,31414,405,932,"",8.23,1.90,1.77,1.83,3.83,0.76,0.25,2.09,"",1,14.3,4,14.8,1,3.3,4,13.8,63660,19.9,15861,102.0,294,264.9,73,8.5
"01013","5","115","75","0","2021","3","","Butler County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,34,33,29,379714,28630,821,913,"",8.22,1.80,1.79,1.64,3.24,0.69,0.54,1.86,"",2,33.3,3,9.7,2,6.5,3,11.5,16552,4.6,2128,8.0,656,397.6,-39,-4.1
"01015","5","115","75","0","2021","1","","Calhoun County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,19,16,17,238645,121241,1685,1059,"",1.37,0.18,0.15,0.17,0.40,0.27,0.12,2.40,"",0,0.0,6,46.2,3,23.1,4,30.8,134346,128.8,36553,43.2,675,66.8,442,71.6
"01015","5","115","75","0","2021","2","","Calhoun County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,18,19,17,328964,32791,440,1406,"",1.37,0.16,0.16,0.14,0.44,0.14,0.06,2.84,"",0,0.0,7,63.6,9,90.0,7,70.0,204823,165.0,6183,23.2,123,38.8,482,52.2
"01015","5","115","75","0","2021","3","","Calhoun County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,20,20,27,362141,20849,326,1247,"",1.37,0.16,0.16,0.22,0.40,0.09,0.04,2.21,"",0,0.0,7,53.8,6,42.9,13,92.9,186731,106.5,-5166,-19.9,168,106.3,260,26.3
"01017","5","115","75","0","2021","1","N","Chambers County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","115","75","0","2021","2","N","Chambers County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","115","75","0","2021","3","N","Chambers County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","115","75","0","2021","1","N","Cherokee County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",4.77,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","115","75","0","2021","2","N","Cherokee County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",4.77,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","115","75","0","2021","3","N","Cherokee County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",4.79,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","115","75","0","2021","1","N","Chilton County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","115","75","0","2021","2","N","Chilton County, Alabama","Private","NAICS 115 Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
