"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","21","54","0","2021","1","","Alabama -- Statewide","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",340,5441,5414,5492,117453645,42909923,735653,1658,"",0.86,0.80,0.79,0.80,0.74,0.66,0.60,0.93,"",8,2.4,-716,-11.6,-734,-11.9,-294,-5.1,-17894011,-13.2,-5172640,-10.8,134890,22.5,-68,-3.9
"01000","5","21","54","0","2021","2","","Alabama -- Statewide","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",344,4728,4819,4919,98774978,7566982,138519,1576,"",0.87,0.68,0.69,0.70,0.70,0.61,0.52,1.01,"",8,2.4,-1389,-22.7,-1203,-20.0,-1130,-18.7,-17996676,-15.4,2821591,59.5,67593,95.3,94,6.3
"01000","5","21","54","0","2021","3","","Alabama -- Statewide","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",345,4748,4794,4599,95077517,5001952,108885,1552,"",0.88,0.67,0.68,0.66,0.65,0.64,0.60,0.97,"",5,1.5,-1259,-21.0,-1061,-18.1,-1204,-20.7,-20883098,-18.0,957183,23.7,55390,103.5,37,2.4
"01001","5","21","74","0","2021","1","","Autauga County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",6,80,77,76,1081212,612000,17453,1071,"",2.19,2.08,2.01,1.94,1.48,1.95,2.77,0.74,"",2,50.0,-1,-1.2,-6,-7.2,-7,-8.4,-63736,-5.6,-52381,-7.9,-4668,-21.1,1,0.1
"01001","5","21","74","0","2021","2","","Autauga County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",7,75,77,84,1271392,130961,3914,1243,"",2.59,1.90,1.95,2.12,2.00,1.88,2.50,1.01,"",3,75.0,-6,-7.4,-4,-4.9,1,1.2,68978,5.7,44907,52.2,1410,56.3,110,9.7
"01001","5","21","74","0","2021","3","","Autauga County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",7,83,82,81,1315841,108911,3435,1234,"",2.58,2.07,2.07,2.05,1.89,2.56,3.37,0.92,"",3,75.0,1,1.2,0,0.0,-2,-2.4,116212,9.7,22177,25.6,1312,61.8,113,10.1
"01003","5","21","74","0","2021","1","","Baldwin County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",19,76,72,75,1010433,619810,8104,1046,"",0.94,0.30,0.28,0.28,0.22,0.25,0.19,0.75,"",3,18.8,5,7.0,0,0.0,7,10.3,12321,1.2,21239,3.5,487,6.4,-46,-4.2
"01003","5","21","74","0","2021","2","","Baldwin County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",19,71,76,77,1070143,117042,1737,1102,"",0.94,0.26,0.28,0.27,0.23,0.18,0.14,0.86,"",2,11.8,4,6.0,8,11.8,5,6.9,38602,3.7,1488,1.3,3,0.2,-48,-4.2
"01003","5","21","74","0","2021","3","","Baldwin County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",19,75,73,75,1007826,89443,1159,1043,"",0.94,0.26,0.26,0.28,0.21,0.23,0.14,0.79,"",1,5.6,10,15.4,7,10.6,2,2.7,32715,3.4,21792,32.2,299,34.8,-60,-5.4
"01005","5","21","74","0","2021","1","","Barbour County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,85,81,87,1231224,656720,18553,1123,"",2.39,3.16,2.99,3.21,2.67,2.77,4.31,0.86,"",-2,-33.3,-28,-24.8,-45,-35.7,-41,-32.0,-926001,-42.9,-395788,-37.6,-2840,-13.3,-233,-17.2
"01005","5","21","74","0","2021","2","","Barbour County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,90,90,95,1451361,137646,3830,1218,"",2.43,3.34,3.33,3.48,3.53,2.65,3.41,1.04,"",-2,-33.3,-41,-31.3,-22,-19.6,-11,-10.4,-746318,-34.0,68419,98.8,1128,41.7,-235,-16.2
"01005","5","21","74","0","2021","3","","Barbour County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,99,101,106,1727443,122758,3568,1303,"",2.45,3.62,3.70,3.93,4.04,4.05,4.98,1.08,"",-1,-20.0,24,32.0,27,36.5,33,45.2,691689,66.8,84366,219.7,1927,117.4,226,21.0
"01007","5","21","74","0","2021","1","N","Bibb County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.83,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","21","74","0","2021","2","N","Bibb County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","21","74","0","2021","3","N","Bibb County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","21","74","0","2021","1","N","Blount County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","21","74","0","2021","2","N","Blount County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","21","74","0","2021","3","N","Blount County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","21","74","0","2021","1","N","Calhoun County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","21","74","0","2021","2","N","Calhoun County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","21","74","0","2021","3","N","Calhoun County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","21","74","0","2021","1","N","Chilton County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","21","74","0","2021","2","N","Chilton County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","21","74","0","2021","3","N","Chilton County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","21","74","0","2021","1","N","Choctaw County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.02,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","21","74","0","2021","2","N","Choctaw County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","21","74","0","2021","3","N","Choctaw County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","21","74","0","2021","1","","Clarke County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",5,62,60,63,746020,486694,5597,931,"",2.49,2.22,2.17,2.25,1.37,1.88,1.27,0.62,"",0,0.0,13,26.5,13,27.7,13,26.0,251113,50.7,161612,49.7,393,7.6,149,19.1
"01025","5","21","74","0","2021","2","","Clarke County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,63,62,62,760365,86274,992,938,"",2.03,2.23,2.18,2.16,1.53,1.73,0.95,0.70,"",-1,-20.0,23,57.5,23,59.0,14,29.2,270416,55.2,-22089,-20.4,-1163,-54.0,48,5.4
"01025","5","21","74","0","2021","3","","Clarke County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,60,60,65,852499,69729,801,1063,"",2.04,2.07,2.07,2.25,1.63,2.42,1.27,0.77,"",0,0.0,7,13.2,7,13.2,12,22.6,253007,42.2,-35569,-33.8,-1472,-64.8,193,22.2
"01029","5","21","74","0","2021","1","N","Cleburne County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","21","74","0","2021","2","N","Cleburne County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","21","74","0","2021","3","N","Cleburne County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","21","74","0","2021","1","","Colbert County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",7,106,105,105,1913885,891155,18206,1398,"",1.71,1.28,1.28,1.27,1.09,1.10,1.02,0.85,"",0,0.0,1,1.0,3,2.9,3,2.9,168329,9.6,131337,17.3,4485,32.7,94,7.2
"01033","5","21","74","0","2021","2","","Colbert County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",7,105,113,119,2144221,303609,9778,1468,"",1.74,1.27,1.36,1.44,1.35,2.07,2.92,0.99,"",0,0.0,4,4.0,12,11.9,19,19.0,391046,22.3,252020,488.5,8485,656.2,128,9.6
"01033","5","21","74","0","2021","3","","Colbert County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",7,126,129,128,2656840,161394,3493,1601,"",1.75,1.51,1.53,1.53,1.60,1.80,1.51,1.05,"",0,0.0,29,29.9,30,30.3,25,24.3,817776,44.5,109223,209.4,2408,221.9,182,12.8
"01035","5","21","74","0","2021","1","N","Conecuh County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","21","74","0","2021","2","N","Conecuh County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","21","74","0","2021","3","N","Conecuh County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","21","74","0","2021","1","N","Covington County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
