"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","213","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 213 Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",134,815,801,817,13302981,6167964,110214,1262,"",0.60,0.28,0.27,0.27,0.26,0.24,0.21,0.94,"",3,2.3,-40,-4.7,-86,-9.7,-66,-7.5,-2794245,-17.4,-491040,-7.4,15887,16.8,-153,-10.8
"01000","5","213","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 213 Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",136,809,809,798,13470281,1042496,22552,1287,"",0.61,0.27,0.27,0.26,0.25,0.17,0.20,0.92,"",4,3.0,-110,-12.0,-76,-8.6,-112,-12.3,-1248107,-8.5,-866795,-45.4,511,2.3,36,2.9
"01000","5","213","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 213 Support activities for mining","State, NAICS 3-digit -- by ownership sector","All establishment sizes",138,797,831,739,14080943,974269,23530,1373,"",0.62,0.26,0.27,0.24,0.24,0.21,0.25,0.96,"",3,2.2,-139,-14.9,-11,-1.3,-93,-11.2,-526813,-3.6,-129030,-11.7,8380,55.3,81,6.3
"01003","5","213","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 213 Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,29,29,29,524110,283494,4269,1390,"",1.05,0.27,0.26,0.25,0.35,0.30,0.23,1.33,"",2,20.0,-1,-3.3,-2,-6.5,2,7.4,-12547,-2.3,-2296,-0.8,2053,92.6,-17,-1.2
"01003","5","213","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 213 Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,28,30,29,542868,61011,1092,1440,"",1.06,0.24,0.25,0.24,0.31,0.20,0.20,1.27,"",1,9.1,2,7.7,4,15.4,2,7.4,-37699,-6.5,3553,6.2,366,50.4,-256,-15.1
"01003","5","213","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 213 Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,27,26,26,469805,31688,495,1372,"",1.06,0.22,0.21,0.22,0.25,0.14,0.11,1.16,"",0,0.0,2,8.0,2,8.3,-1,-3.7,-12465,-2.6,-6954,-18.0,-25,-4.8,-92,-6.3
"01007","5","213","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 213 Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","213","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 213 Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","213","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 213 Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","213","75","0","2021","1","-","Blount County, Alabama","Private","NAICS 213 Support activities for mining","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
