"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","236","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 236 Construction of buildings","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","236","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 236 Construction of buildings","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","236","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 236 Construction of buildings","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","236","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 236 Construction of buildings","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3059,20970,20969,21006,340695914,161002793,3127517,1249,"",0.90,0.96,0.97,0.95,1.11,0.95,0.80,1.16,"",247,8.8,-835,-3.8,-755,-3.5,-732,-3.4,-11684982,-3.3,-6111152,-3.7,280424,9.8,3,0.2
"01000","5","236","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 236 Construction of buildings","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3132,20865,21018,21091,348538339,31442216,646417,1277,"",0.91,0.93,0.94,0.92,1.07,0.72,0.60,1.15,"",262,9.1,290,1.4,210,1.0,-314,-1.5,16662726,5.0,2383783,8.2,118375,22.4,57,4.7
"01000","5","236","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 236 Construction of buildings","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3163,21210,21028,21184,352703500,26198242,584475,1283,"",0.91,0.92,0.92,0.94,1.04,0.82,0.73,1.12,"",230,7.8,296,1.4,279,1.3,603,2.9,22852048,6.9,1218721,4.9,120258,25.9,60,4.9
"01001","5","236","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 236 Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,48,60,66,473986,349715,6837,629,"",0.98,0.39,0.49,0.53,0.33,0.43,0.34,0.71,"",-1,-4.2,-35,-42.2,13,27.7,18,37.5,-53870,-10.2,-28849,-7.6,-3201,-31.9,-55,-8.0
"01001","5","236","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 236 Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,72,71,77,664675,255987,5001,697,"",1.06,0.57,0.56,0.60,0.46,1.04,0.78,0.80,"",1,4.2,-23,-24.2,-5,-6.6,0,0.0,-60564,-8.4,-60165,-19.0,-11926,-70.5,22,3.3
"01001","5","236","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 236 Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,103,96,93,851124,206557,4438,673,"",1.04,0.79,0.75,0.73,0.53,1.19,0.99,0.70,"",2,8.7,28,37.3,20,26.3,20,27.4,230505,37.1,81479,65.1,-301,-6.4,34,5.3
"01003","5","236","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 236 Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",249,1164,1201,1207,19484712,8868566,147743,1259,"",1.43,1.42,1.46,1.42,2.15,1.40,1.08,1.50,"",40,19.1,76,7.0,125,11.6,133,12.4,2216020,12.8,912352,11.5,51570,53.6,28,2.3
"01003","5","236","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 236 Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",257,1226,1227,1236,20556100,2119305,35580,1286,"",1.46,1.41,1.38,1.35,1.97,0.93,0.68,1.42,"",38,17.4,178,17.0,140,12.9,121,10.9,2994455,17.1,435011,25.8,12044,51.2,39,3.1
