"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","238","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 238 Specialty trade contractors","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6592,54930,55009,55727,685274747,413529386,8001528,955,"",0.96,0.89,0.89,0.88,0.98,0.89,0.71,1.10,"",408,6.6,-87,-0.2,-56,-0.1,-25,0.0,3117065,0.5,5094438,1.2,1433031,21.8,6,0.6
"01000","5","238","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 238 Specialty trade contractors","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6675,55903,55994,56338,751085718,92377176,1969294,1030,"",0.96,0.87,0.86,0.86,0.91,0.70,0.55,1.06,"",406,6.5,2687,5.0,2287,4.3,1814,3.3,58079309,8.4,7885529,9.3,504996,34.5,39,3.9
"01000","5","238","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 238 Specialty trade contractors","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6734,56451,55925,56004,770838537,73352814,1672009,1056,"",0.96,0.85,0.85,0.86,0.89,0.79,0.66,1.04,"",332,5.2,1794,3.3,1447,2.7,1131,2.1,59029339,8.3,4727056,6.9,410337,32.5,54,5.4
"01001","5","238","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",58,289,295,314,2919262,2100782,47261,750,"",1.22,0.83,0.85,0.88,0.90,0.95,0.82,1.06,"",4,7.4,-69,-19.3,-61,-17.1,-53,-14.4,-882402,-23.2,-391650,-15.7,4627,10.9,-62,-7.6
"01001","5","238","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",59,323,330,342,3568128,646738,16838,828,"",1.24,0.88,0.89,0.92,0.97,0.87,0.79,1.08,"",5,9.3,-39,-10.8,-13,-3.8,-16,-4.5,-388060,-9.8,60702,10.4,7343,77.3,-31,-3.6
"01001","5","238","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",59,334,330,327,3707224,379693,9663,863,"",1.22,0.89,0.89,0.89,0.90,0.75,0.68,1.01,"",4,7.3,-14,-4.0,-9,-2.7,-4,-1.2,30491,0.8,18889,5.2,2374,32.6,30,3.6
"01003","5","238","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",452,2742,2728,2787,29919176,20520742,322203,836,"",1.28,1.17,1.17,1.15,1.44,1.19,0.82,1.24,"",40,9.7,277,11.2,189,7.4,232,9.1,2102830,7.6,1890174,10.1,100070,45.0,-13,-1.5
"01003","5","238","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",460,2706,2761,2795,33589934,4836122,80634,938,"",1.29,1.08,1.08,1.06,1.27,0.71,0.46,1.18,"",42,10.0,272,11.2,230,9.1,252,9.9,1881219,5.9,464121,10.6,8278,11.4,-37,-3.8
"01003","5","238","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",465,2832,2799,2778,36885944,3807521,69387,1012,"",1.30,1.06,1.08,1.10,1.29,0.82,0.60,1.20,"",31,7.1,246,9.5,204,7.9,272,10.9,6339486,20.8,499066,15.1,12952,23.0,95,10.4
"01005","5","238","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,74,74,71,614851,492136,9502,648,"",0.65,0.30,0.30,0.29,0.30,0.29,0.24,1.02,"",-1,-5.0,-2,-2.6,10,15.6,-7,-9.0,33609,5.8,11991,2.5,2179,29.8,33,5.4
"01005","5","238","75","0","2021","2","","Barbour County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,69,74,76,631593,192047,3125,666,"",0.62,0.28,0.29,0.30,0.27,0.35,0.20,0.92,"",-1,-5.3,-11,-13.8,-8,-9.8,-6,-7.3,-95900,-13.2,-60871,-24.1,-335,-9.7,-22,-3.2
"01005","5","238","75","0","2021","3","","Barbour County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,82,85,86,733504,188235,6115,669,"",0.65,0.32,0.33,0.34,0.29,0.52,0.61,0.87,"",0,0.0,8,10.8,14,19.7,22,34.4,75703,11.5,69137,58.1,4524,284.3,-57,-7.9
"01007","5","238","75","0","2021","1","","Bibb County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",26,94,104,103,1129683,774487,15064,866,"",1.37,0.62,0.68,0.67,0.79,0.72,0.60,1.20,"",3,13.0,-9,-8.7,4,4.0,6,6.2,74696,7.1,58014,8.1,3003,24.9,54,6.7
"01007","5","238","75","0","2021","2","","Bibb County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,109,111,118,1249515,199393,3496,853,"",1.26,0.70,0.71,0.74,0.74,0.68,0.48,1.03,"",0,0.0,5,4.8,3,2.8,6,5.4,210432,20.3,29979,17.7,1304,59.5,113,15.3
"01007","5","238","75","0","2021","3","","Bibb County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,125,123,121,1395681,156179,3161,873,"",1.25,0.78,0.79,0.77,0.80,0.81,0.66,1.02,"",0,0.0,21,20.2,19,18.3,12,11.0,382821,37.8,13216,9.2,417,15.2,136,18.5
"01009","5","238","75","0","2021","1","","Blount County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",84,335,335,344,3329816,2284075,39960,758,"",1.99,1.25,1.26,1.26,1.53,1.36,1.07,1.22,"",6,7.7,-10,-2.9,-12,-3.5,-1,-0.3,49199,1.5,39570,1.8,10118,33.9,28,3.8
"01009","5","238","75","0","2021","2","","Blount County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",85,366,349,361,3863022,687590,13806,829,"",1.98,1.31,1.24,1.26,1.46,1.24,0.97,1.15,"",5,6.2,40,12.3,9,2.6,16,4.6,316036,8.9,101595,17.3,3977,40.5,19,2.3
"01009","5","238","75","0","2021","3","","Blount County, Alabama","Private","NAICS 238 Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",87,356,356,359,4098684,373675,8363,883,"",2.02,1.26,1.27,1.28,1.45,1.04,0.96,1.14,"",4,4.8,6,1.7,6,1.7,2,0.6,388502,10.5,-140843,-27.4,-1432,-14.6,73,9.0
