"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","312","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 312 Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",84,2295,2258,2292,63542514,22599250,266487,2142,"",0.46,0.63,0.60,0.60,1.51,0.95,0.63,2.48,"",3,3.7,-123,-5.1,-171,-7.0,-108,-4.5,15199023,31.4,122880,0.5,106401,66.5,603,39.2
"01000","5","312","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 312 Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",88,2364,2379,2409,35084588,3066980,44782,1132,"",0.47,0.60,0.58,0.57,0.78,0.50,0.42,1.33,"",8,10.0,152,6.9,77,3.3,79,3.4,2437368,7.5,798819,35.2,22319,99.4,31,2.8
"01000","5","312","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 312 Beverage and tobacco product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",90,2440,2465,2388,37149778,3169052,45591,1176,"",0.47,0.56,0.57,0.56,0.76,0.57,0.45,1.35,"",7,8.4,28,1.2,58,2.4,11,0.5,2405003,6.9,1047904,49.4,25241,124.0,62,5.6
"01001","5","312","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 312 Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","312","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 312 Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","312","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 312 Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","312","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 312 Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,31,29,29,266522,191514,2319,691,"",0.53,0.22,0.20,0.20,0.21,0.22,0.16,1.03,"",-1,-16.7,-18,-36.7,-21,-42.0,-21,-42.0,-110626,-29.3,-94999,-33.2,482,26.2,107,18.3
"01003","5","312","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 312 Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,30,28,34,295754,40820,483,742,"",0.42,0.19,0.17,0.20,0.20,0.13,0.09,1.07,"",-2,-33.3,-7,-18.9,-21,-42.9,-22,-39.3,-84247,-22.2,-34694,-45.9,27,5.9,124,20.1
"01003","5","312","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 312 Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,33,34,35,275535,36100,430,623,"",0.41,0.19,0.20,0.21,0.17,0.13,0.09,0.86,"",-2,-33.3,-31,-48.4,-22,-39.3,-14,-28.6,-149057,-35.1,-53630,-59.8,-112,-20.7,43,7.4
"01009","5","312","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 312 Beverage and tobacco product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
