"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","316","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 316 Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",11,29,29,28,178504,137957,5309,479,"",0.63,0.08,0.08,0.08,0.06,0.06,0.15,0.68,"",1,10.0,4,16.0,4,16.0,2,7.7,3888,2.2,9675,7.5,729,15.9,-51,-9.6
"01000","5","316","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 316 Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",11,29,32,33,193520,65554,2504,475,"",0.63,0.08,0.09,0.10,0.06,0.11,0.24,0.65,"",1,10.0,4,16.0,8,33.3,9,37.5,35429,22.4,21139,47.6,791,46.2,-25,-5.0
"01000","5","316","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 316 Leather and allied product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",11,34,35,34,210877,37827,1754,472,"",0.62,0.10,0.10,0.10,0.06,0.11,0.32,0.61,"",1,10.0,10,41.7,10,40.0,8,30.8,22580,12.0,8049,27.0,401,29.6,-107,-18.5
"01021","5","316","75","0","2021","1","N","Chilton County, Alabama","Private","NAICS 316 Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","316","75","0","2021","2","N","Chilton County, Alabama","Private","NAICS 316 Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","316","75","0","2021","3","N","Chilton County, Alabama","Private","NAICS 316 Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","316","75","0","2021","1","","DeKalb County, Alabama","Private","NAICS 316 Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,17,16,16,99283,86308,2864,468,"",18.32,4.38,4.10,4.07,3.62,3.42,7.40,0.87,"",0,0.0,1,6.2,-1,-5.9,-1,-5.9,-3258,-3.2,-1699,-1.9,-73,-2.5,-5,-1.1
"01049","5","316","75","0","2021","2","","DeKalb County, Alabama","Private","NAICS 316 Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,16,16,16,114885,33160,1276,552,"",18.18,4.14,4.12,4.07,3.86,4.35,10.49,0.94,"",0,0.0,0,0.0,0,0.0,-1,-5.9,15278,15.3,3989,13.7,248,24.1,83,17.7
"01049","5","316","75","0","2021","3","","DeKalb County, Alabama","Private","NAICS 316 Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,19,19,128501,18025,857,520,"",18.20,4.73,4.84,4.81,3.93,4.36,14.54,0.82,"",0,0.0,2,11.8,2,11.8,2,11.8,19766,18.2,5579,44.8,336,64.5,28,5.7
"01071","5","316","75","0","2021","1","N","Jackson County, Alabama","Private","NAICS 316 Leather and allied product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
