"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","321","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 321 Wood product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",397,18484,18606,18758,224607138,134540571,2167520,928,"",2.07,3.32,3.33,3.36,4.13,3.45,3.95,1.24,"",1,0.3,571,3.2,734,4.1,938,5.3,10980641,5.1,5155690,4.0,687059,46.4,8,0.9
"01000","5","321","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 321 Wood product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",400,18838,18955,19039,243228182,26856390,466409,988,"",2.08,3.40,3.42,3.42,4.10,2.30,2.80,1.20,"",5,1.3,1813,10.6,1646,9.5,1797,10.4,40390182,19.9,8225126,44.1,227233,95.0,80,8.8
"01000","5","321","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 321 Wood product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",406,19151,18918,18922,256620112,21112874,369123,1039,"",2.10,3.40,3.39,3.43,4.18,2.57,3.12,1.23,"",6,1.5,1826,10.5,1561,9.0,1405,8.0,41022024,19.0,5193884,32.6,150362,68.7,86,9.0
"01001","5","321","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","321","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","321","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.50,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","321","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,429,425,440,4179488,2811217,37699,745,"",1.12,2.05,2.01,2.05,2.60,1.93,1.96,1.28,"",0,0.0,-28,-6.1,-19,-4.3,-17,-3.7,482864,13.1,349416,14.2,15020,66.2,117,18.6
"01003","5","321","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,434,434,429,4584576,514708,7315,816,"",1.12,2.01,1.99,1.92,2.40,0.85,0.91,1.22,"",1,10.0,19,4.6,14,3.3,2,0.5,399078,9.5,28161,5.8,2485,51.4,51,6.7
"01003","5","321","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,428,445,443,5428816,391197,5373,952,"",1.11,1.89,2.02,2.05,2.69,0.96,1.00,1.35,"",1,10.0,2,0.5,33,8.0,51,13.0,1040579,23.7,59156,17.8,2065,62.4,129,15.7
"01005","5","321","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,283,289,287,3534337,2109255,27487,949,"",12.35,12.90,13.07,13.09,22.41,14.90,14.36,1.72,"",1,11.1,11,4.0,12,4.3,20,7.5,661884,23.0,226701,12.0,14714,115.2,137,16.9
"01005","5","321","75","0","2021","2","","Barbour County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,292,301,291,4537000,507713,6861,1184,"",12.43,13.58,14.01,13.40,26.41,10.36,9.75,1.93,"",1,11.1,49,20.2,40,15.3,32,12.4,1640610,56.6,161813,46.8,4355,173.8,308,35.2
"01005","5","321","75","0","2021","3","","Barbour County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,299,287,297,4112297,403440,5397,1075,"",12.48,13.76,13.30,13.90,22.87,12.73,11.51,1.68,"",1,11.1,46,18.2,21,7.9,32,12.1,524937,14.6,143654,55.3,3463,179.1,19,1.8
"01007","5","321","75","0","2021","1","","Bibb County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,250,253,252,2659801,1759501,22429,813,"",17.03,18.48,18.38,18.46,24.03,19.26,18.19,1.30,"",-1,-10.0,-9,-3.5,-8,-3.1,9,3.7,-114752,-4.1,6452,0.4,9861,78.5,-26,-3.1
"01007","5","321","75","0","2021","2","","Bibb County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,257,254,252,2974020,281739,3544,899,"",17.03,19.10,18.91,18.50,24.25,10.87,10.50,1.29,"",-1,-10.0,66,34.6,20,8.5,18,7.7,207758,7.5,74328,35.8,2298,184.4,-70,-7.2
"01007","5","321","75","0","2021","3","","Bibb County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,249,254,245,3072537,136169,1725,948,"",17.01,18.36,19.08,18.30,24.79,8.04,7.73,1.34,"",-1,-10.0,17,7.3,16,6.7,6,2.5,261025,9.3,-11686,-7.9,815,89.6,33,3.6
"01009","5","321","75","0","2021","1","","Blount County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,11,11,56902,54102,622,398,"",2.55,0.46,0.46,0.45,0.34,0.38,0.34,0.74,"",0,0.0,0,0.0,0,0.0,0,0.0,-10740,-15.9,2502,4.8,318,104.6,-75,-15.9
"01009","5","321","75","0","2021","2","","Blount County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,12,12,65840,35887,412,422,"",2.52,0.50,0.50,0.49,0.34,0.73,0.63,0.69,"",0,0.0,2,20.0,-1,-7.7,1,9.1,23363,55.0,-4690,-11.6,173,72.4,134,46.5
"01009","5","321","75","0","2021","3","","Blount County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,13,11,9,64290,12979,149,450,"",2.53,0.54,0.46,0.38,0.32,0.41,0.37,0.70,"",0,0.0,5,62.5,4,57.1,1,12.5,27973,77.0,-6557,-33.6,33,28.4,86,23.6
"01013","5","321","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",5.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","321","75","0","2021","2","N","Butler County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",5.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","321","75","0","2021","3","N","Butler County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",5.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","321","75","0","2021","1","","Calhoun County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,559,554,553,6426992,4188026,48207,890,"",1.91,4.48,4.44,4.44,6.31,5.80,5.06,1.42,"",0,0.0,1,0.2,-6,-1.1,-9,-1.6,-623386,-8.8,-10206,-0.2,21647,81.5,-78,-8.1
"01015","5","321","75","0","2021","2","","Calhoun County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,548,546,552,6633312,547886,6344,930,"",1.92,4.45,4.46,4.48,6.07,2.28,2.01,1.36,"",0,0.0,-16,-2.8,-11,-2.0,-3,-0.5,352648,5.6,-43188,-7.3,2565,67.9,65,7.5
"01015","5","321","75","0","2021","3","","Calhoun County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,572,582,579,7963830,722767,8312,1060,"",1.91,4.59,4.70,4.75,6.93,4.40,3.76,1.48,"",0,0.0,20,3.6,31,5.6,30,5.5,496947,6.7,186780,34.8,5126,160.9,17,1.6
"01017","5","321","75","0","2021","1","","Chambers County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,237,241,238,5287973,1865105,24124,1704,"",5.49,9.95,10.11,10.06,29.41,12.11,11.07,2.93,"",0,0.0,-15,-6.0,-9,-3.6,-14,-5.6,1845048,53.6,-101790,-5.2,11479,90.8,650,61.7
"01017","5","321","75","0","2021","2","","Chambers County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,233,205,220,3401204,293854,3813,1193,"",5.37,9.89,8.76,9.39,17.65,6.20,5.94,1.89,"",0,0.0,11,5.0,-40,-16.3,-22,-9.1,-51899,-1.5,94196,47.2,2498,190.0,69,6.1
"01017","5","321","75","0","2021","3","","Chambers County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,228,229,231,3523587,144863,1850,1182,"",5.38,9.56,9.44,9.78,17.82,4.03,3.31,1.86,"",0,0.0,-7,-3.0,0,0.0,-4,-1.7,153748,4.6,51288,54.8,1272,220.1,69,6.2
"01019","5","321","75","0","2021","1","","Cherokee County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,23,23,25,173636,132313,3121,564,"",6.63,1.57,1.56,1.68,1.75,1.47,2.30,1.09,"",0,0.0,4,21.1,5,27.8,7,38.9,24333,16.3,13786,11.6,712,29.6,-62,-9.9
"01019","5","321","75","0","2021","2","","Cherokee County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,24,25,25,214000,77125,1885,667,"",6.65,1.61,1.66,1.65,1.86,2.10,3.57,1.13,"",0,0.0,5,26.3,6,31.6,6,31.6,53131,33.0,19876,34.7,966,105.1,16,2.5
"01019","5","321","75","0","2021","3","","Cherokee County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,24,25,21,198288,21091,492,654,"",6.69,1.59,1.70,1.42,1.65,0.91,1.42,1.05,"",0,0.0,3,14.3,6,31.6,-1,-4.5,34420,21.0,2701,14.7,186,60.8,44,7.2
"01021","5","321","75","0","2021","1","","Chilton County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,479,482,484,7676258,3664999,49579,1226,"",7.72,18.56,18.60,18.63,39.29,21.12,19.88,2.11,"",-2,-18.2,14,3.0,10,2.1,20,4.3,416465,5.7,58156,1.6,21387,75.9,30,2.5
"01021","5","321","75","0","2021","2","","Chilton County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,492,489,495,6660045,444879,8546,1041,"",7.74,19.00,19.03,19.13,31.22,8.57,12.63,1.64,"",-1,-10.0,18,3.8,30,6.5,33,7.1,817225,14.0,200715,82.2,5629,193.0,74,7.7
"01021","5","321","75","0","2021","3","","Chilton County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,493,495,482,7434039,363620,5659,1167,"",7.78,19.04,19.23,18.79,32.43,10.53,12.75,1.70,"",-1,-10.0,41,9.1,42,9.3,29,6.4,871219,13.3,172287,90.0,3152,125.7,52,4.7
"01023","5","321","75","0","2021","1","N","Choctaw County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","321","75","0","2021","2","N","Choctaw County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","321","75","0","2021","3","N","Choctaw County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","321","75","0","2021","1","","Clarke County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,984,996,1004,13986459,7466447,102755,1082,"",12.37,43.26,44.05,44.35,75.07,48.29,52.38,1.71,"",-1,-7.7,64,7.0,79,8.6,80,8.7,1572043,12.7,603313,8.8,34712,51.0,44,4.2
"01025","5","321","75","0","2021","2","","Clarke County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,1066,1066,1079,16103741,1197745,19406,1157,"",12.43,47.19,47.13,47.28,77.58,25.54,29.74,1.64,"",-1,-7.7,129,13.8,116,12.2,172,19.0,3038835,23.3,380063,46.5,9824,102.5,78,7.2
"01025","5","321","75","0","2021","3","","Clarke County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,1114,1106,1121,16123483,844548,13333,1114,"",12.44,48.42,48.28,48.88,73.33,28.03,32.25,1.51,"",-1,-7.7,188,20.3,195,21.4,191,20.5,2789410,20.9,175363,26.2,7173,116.4,2,0.2
"01027","5","321","75","0","2021","1","N","Clay County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","321","75","0","2021","2","N","Clay County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","321","75","0","2021","3","N","Clay County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","321","75","0","2021","1","N","Cleburne County, Alabama","Private","NAICS 321 Wood product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
