"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","322","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 322 Paper manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",96,11144,11054,11053,226152324,86669317,1032869,1570,"",1.41,2.30,2.28,2.29,3.34,2.18,2.05,1.46,"",-3,-3.0,-459,-4.0,-521,-4.5,-501,-4.3,-26328705,-10.4,-4293352,-4.7,425780,70.1,-108,-6.4
"01000","5","322","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 322 Paper manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",97,11048,10999,11086,218970945,5437101,72818,1525,"",1.44,2.31,2.32,2.33,3.24,0.78,0.88,1.40,"",2,2.1,-288,-2.5,-333,-2.9,-226,-2.0,4606485,2.1,1543800,39.7,39765,120.3,69,4.7
"01000","5","322","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 322 Paper manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",99,11141,11042,11099,233687435,5297168,69882,1620,"",1.47,2.33,2.33,2.35,3.26,1.28,1.31,1.39,"",2,2.1,202,1.8,202,1.9,-122,-1.1,12413599,5.6,2398624,82.8,45462,186.2,73,4.7
"01001","5","322","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 322 Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","322","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 322 Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","322","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 322 Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","322","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 322 Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,253,263,262,3674983,1631140,21502,1090,"",1.43,1.39,1.43,1.41,1.83,1.09,1.22,1.30,"",0,0.0,12,5.0,20,8.2,21,8.7,67714,1.9,176155,12.1,12076,128.1,-58,-5.1
"01003","5","322","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 322 Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,259,261,268,3454511,138469,1844,1012,"",1.45,1.39,1.39,1.40,1.59,0.38,0.46,1.14,"",0,0.0,17,7.0,22,9.2,30,12.6,567530,19.7,59720,75.8,1276,224.6,85,9.2
"01003","5","322","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 322 Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,263,257,259,3874727,97212,1308,1148,"",1.45,1.37,1.38,1.41,1.64,0.47,0.54,1.19,"",0,0.0,48,22.3,43,20.1,45,21.0,616780,18.9,50050,106.1,967,283.6,-21,-1.8
"01013","5","322","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 322 Paper manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
