"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","323","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 323 Printing and related support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",417,3013,3013,3052,30156404,20001717,288895,767,"",1.18,0.60,0.60,0.61,0.61,0.58,0.54,1.02,"",4,1.0,-290,-8.8,-300,-9.1,-244,-7.4,-4076371,-11.9,-2145118,-9.7,40455,16.3,-30,-3.8
"01000","5","323","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 323 Printing and related support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",421,3092,3090,3052,31546938,4478195,71225,788,"",1.19,0.62,0.62,0.61,0.60,0.52,0.59,0.96,"",5,1.2,135,4.6,-21,-0.7,-51,-1.6,357826,1.1,658404,17.2,23848,50.3,3,0.4
"01000","5","323","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 323 Printing and related support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",421,3138,3149,3115,32839730,2547458,41986,806,"",1.19,0.62,0.63,0.63,0.59,0.47,0.56,0.94,"",-1,-0.2,69,2.2,25,0.8,15,0.5,1988429,6.4,398157,18.5,13079,45.2,40,5.2
"01001","5","323","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 323 Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","323","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 323 Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","323","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 323 Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","323","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 323 Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,84,88,91,681499,596732,9090,598,"",1.16,0.44,0.46,0.47,0.47,0.46,0.49,1.02,"",0,0.0,0,0.0,-2,-2.2,4,4.6,-60392,-8.1,1292,0.2,2891,46.6,-58,-8.8
"01003","5","323","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 323 Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,101,98,95,728850,171599,2754,572,"",1.10,0.52,0.50,0.47,0.43,0.38,0.47,0.86,"",-1,-4.8,26,34.7,14,16.7,7,8.0,110225,17.8,60541,54.5,195,7.6,-6,-1.0
"01003","5","323","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 323 Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,97,95,84,773349,62828,1075,647,"",1.10,0.48,0.48,0.43,0.42,0.23,0.31,0.91,"",-1,-4.8,13,15.5,5,5.6,-1,-1.2,62319,8.8,7646,13.9,-221,-17.1,13,2.1
"01009","5","323","75","0","2021","1","-","Blount County, Alabama","Private","NAICS 323 Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
