"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","325","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 325 Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",327,11006,11046,11052,249889857,89732404,1228973,1742,"",1.22,0.93,0.93,0.93,0.88,0.88,0.86,0.95,"",31,10.5,114,1.0,45,0.4,75,0.7,-9489577,-3.7,1055135,1.2,497080,67.9,-79,-4.3
"01000","5","325","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 325 Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",335,11186,11244,11295,245509959,7480720,125612,1680,"",1.24,0.95,0.96,0.95,1.08,0.53,0.66,1.14,"",35,11.7,400,3.7,509,4.7,544,5.1,7192371,3.0,2482768,49.7,68252,119.0,-24,-1.4
"01000","5","325","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 325 Chemical manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",341,11200,11093,10872,248116013,7053922,108099,1726,"",1.24,0.94,0.94,0.93,1.04,0.79,0.83,1.12,"",37,12.2,409,3.8,235,2.2,44,0.4,13889177,5.9,2558979,56.9,58252,116.9,62,3.7
"01001","5","325","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","325","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","325","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","325","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,99,101,104,1520954,813274,14627,1155,"",1.09,0.22,0.22,0.23,0.18,0.21,0.29,0.81,"",1,7.1,-4,-3.9,-2,-1.9,1,1.0,-56128,-3.6,25472,3.2,5104,53.6,-23,-2.0
"01003","5","325","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,107,105,106,1589936,149276,2994,1154,"",1.08,0.23,0.23,0.22,0.22,0.20,0.33,0.96,"",1,7.1,9,9.2,10,10.5,5,5.0,148048,10.3,66914,81.2,1897,172.9,22,1.9
"01003","5","325","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,102,108,108,1604450,96899,1640,1164,"",1.07,0.21,0.23,0.24,0.21,0.22,0.28,0.90,"",2,15.4,-3,-2.9,3,2.9,3,2.9,-30335,-1.9,-60025,-38.3,-466,-22.1,-34,-2.8
"01009","5","325","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","325","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","325","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","325","75","0","2021","1","N","Bullock County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","325","75","0","2021","2","N","Bullock County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","325","75","0","2021","3","N","Bullock County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","325","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","325","75","0","2021","2","N","Butler County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","325","75","0","2021","3","N","Butler County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","325","75","0","2021","1","","Calhoun County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,97,117,128,2446449,936748,11636,1651,"",1.37,0.36,0.44,0.48,0.46,0.50,0.47,1.08,"",0,0.0,-27,-21.8,-16,-12.0,-5,-3.8,36987,1.5,-131736,-12.3,4612,65.7,225,15.8
"01015","5","325","75","0","2021","2","","Calhoun County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,134,136,137,2461273,140170,2411,1396,"",1.56,0.51,0.52,0.52,0.59,0.48,0.67,1.14,"",1,14.3,17,14.5,2,1.5,7,5.4,9794,0.4,48052,52.2,1845,326.0,-89,-6.0
"01015","5","325","75","0","2021","3","","Calhoun County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,138,136,138,2356614,92038,1400,1320,"",1.54,0.52,0.52,0.54,0.53,0.51,0.57,1.01,"",1,14.3,20,16.9,18,15.3,17,14.0,38682,1.7,51580,127.5,1160,483.3,-178,-11.9
"01017","5","325","75","0","2021","1","N","Chambers County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","325","75","0","2021","2","N","Chambers County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","325","75","0","2021","3","N","Chambers County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","325","75","0","2021","1","N","Cherokee County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.38,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","325","75","0","2021","2","N","Cherokee County, Alabama","Private","NAICS 325 Chemical manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.37,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
