"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","326","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 326 Plastics and rubber products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",229,17528,17745,17797,216254878,132476464,2678243,940,"",1.34,1.78,1.79,1.80,1.99,1.82,2.50,1.11,"",8,3.6,-947,-5.1,-989,-5.3,-1242,-6.5,-60155935,-21.8,-9472131,-6.7,879598,48.9,-194,-17.1
"01000","5","326","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 326 Plastics and rubber products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",229,17769,17685,17648,232469423,19443975,424253,1010,"",1.33,1.82,1.82,1.80,2.02,1.28,2.00,1.11,"",4,1.8,5924,50.0,4552,34.7,1851,11.7,67311252,40.8,6611087,51.5,241960,132.7,75,8.0
"01000","5","326","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 326 Plastics and rubber products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",229,17585,17674,17568,228464477,15769764,334945,998,"",1.32,1.78,1.80,1.81,1.88,1.60,2.45,1.05,"",0,0.0,895,5.4,601,3.5,171,1.0,3990309,1.8,2285515,16.9,139267,71.2,-15,-1.5
"01001","5","326","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 326 Plastics and rubber products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","326","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 326 Plastics and rubber products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","326","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 326 Plastics and rubber products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","326","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 326 Plastics and rubber products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,71,71,77,731996,546097,16268,771,"",0.68,0.19,0.19,0.20,0.23,0.20,0.43,1.17,"",-1,-14.3,-8,-10.1,-16,-18.4,-28,-26.7,-371702,-33.7,-198337,-26.6,-1265,-7.2,-169,-18.0
"01003","5","326","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 326 Plastics and rubber products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,80,82,79,968755,208603,4724,928,"",0.68,0.21,0.21,0.20,0.26,0.26,0.46,1.26,"",-1,-14.3,2,2.6,-1,-1.2,-12,-13.2,-38506,-3.8,36387,21.1,294,6.6,6,0.7
"01003","5","326","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 326 Plastics and rubber products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,76,76,63,910950,112522,3154,978,"",0.68,0.19,0.20,0.17,0.23,0.23,0.51,1.23,"",-1,-14.3,-1,-1.3,10,15.2,-15,-19.2,74162,8.9,30904,37.9,1201,61.5,104,11.9
"01005","5","326","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 326 Plastics and rubber products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
