"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","327","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 327 Nonmetallic mineral product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",389,7242,7333,7339,110455374,56546506,843777,1163,"",1.82,1.34,1.36,1.35,1.72,1.39,1.06,1.27,"",8,2.1,-217,-2.9,-167,-2.2,-87,-1.2,-6084620,-5.2,-1198284,-2.1,253461,42.9,-38,-3.2
"01000","5","327","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 327 Nonmetallic mineral product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",388,7347,7385,7482,117195809,6885942,108887,1217,"",1.82,1.34,1.35,1.36,1.64,0.70,0.47,1.21,"",12,3.2,221,3.1,303,4.3,352,4.9,11813777,11.2,2087097,43.5,59497,120.5,77,6.8
"01000","5","327","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 327 Nonmetallic mineral product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",394,7572,7576,7603,119171860,6379341,102832,1209,"",1.84,1.36,1.38,1.39,1.60,1.04,0.73,1.17,"",14,3.7,475,6.7,558,8.0,650,9.3,14796891,14.2,2533041,65.9,59336,136.4,66,5.8
"01001","5","327","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 327 Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","327","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 327 Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","327","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 327 Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","327","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 327 Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,246,248,246,3222957,1923155,23461,1005,"",2.10,1.21,1.22,1.18,1.69,1.26,0.84,1.41,"",0,0.0,-27,-9.9,-23,-8.5,-23,-8.6,33776,1.1,-82661,-4.1,6491,38.2,100,11.0
"01003","5","327","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 327 Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,245,242,250,3395948,304378,3792,1063,"",2.11,1.15,1.12,1.13,1.47,0.60,0.34,1.30,"",1,4.5,-24,-8.9,-25,-9.4,-10,-3.8,-12425,-0.4,86182,39.5,2019,113.9,75,7.6
"01003","5","327","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 327 Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,245,248,260,3516847,396197,6249,1078,"",2.19,1.10,1.14,1.22,1.44,1.30,0.98,1.25,"",3,14.3,5,2.1,5,2.1,24,10.2,537546,18.0,179482,82.8,4147,197.3,122,12.8
"01005","5","327","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 327 Nonmetallic mineral product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
