"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","331","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 331 Primary metal manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",143,16812,16832,16838,348960252,133920926,1976427,1595,"",2.01,3.53,3.52,3.53,5.16,3.59,3.17,1.46,"",0,0.0,-626,-3.6,-623,-3.6,-510,-2.9,-25798931,-6.9,-6426805,-4.6,292430,17.4,-60,-3.6
"01000","5","331","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 331 Primary metal manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",144,16762,16707,16801,364183462,10258341,167468,1672,"",2.02,3.56,3.56,3.56,5.11,1.71,1.69,1.43,"",1,0.7,44,0.3,436,2.7,409,2.5,52057996,16.7,3496463,51.7,74428,80.0,213,14.6
"01000","5","331","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 331 Primary metal manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",146,16839,16841,16823,370614956,10464718,163139,1693,"",2.03,3.54,3.56,3.58,4.96,2.79,2.47,1.39,"",3,2.1,546,3.4,490,3.0,470,2.9,59262256,19.0,4209000,67.3,44125,37.1,227,15.5
"01005","5","331","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","331","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","331","75","0","2021","3","N","Barbour County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","331","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","331","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","331","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","331","75","0","2021","1","","Blount County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,38,37,38,309478,247460,3061,632,"",6.86,1.85,1.79,1.83,1.48,1.82,1.48,0.81,"",0,0.0,-3,-7.3,-5,-11.9,-5,-11.6,-25561,-7.6,-19351,-7.3,890,41.0,18,2.9
"01009","5","331","75","0","2021","2","","Blount County, Alabama","Private","NAICS 331 Primary metal manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,41,37,35,335604,45882,558,685,"",6.81,2.01,1.81,1.70,1.46,1.81,1.43,0.79,"",0,0.0,1,2.5,-2,-5.1,-4,-10.3,-9735,-2.8,-8985,-16.4,208,59.4,10,1.5
