"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","332","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 332 Fabricated metal product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1141,25455,25579,25769,346444583,193681088,3189215,1041,"",1.52,1.36,1.36,1.37,1.62,1.38,1.37,1.19,"",40,3.6,-1274,-4.8,-1214,-4.5,-1100,-4.1,-12875266,-3.6,-8867726,-4.4,688183,27.5,10,1.0
"01000","5","332","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 332 Fabricated metal product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1154,25747,25801,25899,357515113,28704909,508519,1065,"",1.54,1.38,1.38,1.38,1.55,1.00,1.14,1.13,"",43,3.9,377,1.5,62,0.2,-44,-0.2,29487196,9.0,5251990,22.4,170552,50.5,83,8.5
"01000","5","332","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 332 Fabricated metal product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1162,25916,25840,25834,371369302,23095377,411483,1105,"",1.55,1.37,1.38,1.39,1.51,1.26,1.40,1.10,"",39,3.5,102,0.4,174,0.7,160,0.6,32272957,9.5,6476680,39.0,163078,65.7,91,9.0
"01001","5","332","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 332 Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,62,60,58,558447,419347,9570,716,"",1.35,0.59,0.57,0.54,0.56,0.62,0.80,1.00,"",0,0.0,9,17.0,5,9.1,4,7.4,30375,5.8,30386,7.8,2270,31.1,-36,-4.8
"01001","5","332","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 332 Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,60,60,63,640400,81447,1779,808,"",1.36,0.56,0.56,0.59,0.62,0.50,0.67,1.08,"",-1,-12.5,6,11.1,5,9.1,6,10.5,100015,18.5,16048,24.5,136,8.3,57,7.6
"01001","5","332","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 332 Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,63,63,64,1410822,70778,1586,1714,"",1.35,0.59,0.60,0.61,1.20,0.71,0.96,2.02,"",-1,-12.5,6,10.5,4,6.8,4,6.7,322004,29.6,7505,11.9,468,41.9,286,20.0
"01003","5","332","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 332 Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",32,241,241,246,3136585,1849810,34250,994,"",0.83,0.34,0.34,0.34,0.49,0.35,0.42,1.46,"",5,18.5,1,0.4,1,0.4,-1,-0.4,-69912,-2.2,17716,1.0,14462,73.1,-24,-2.4
"01003","5","332","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 332 Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",33,240,253,247,3379552,329101,5402,1054,"",0.86,0.33,0.34,0.33,0.46,0.22,0.25,1.37,"",5,17.9,-1,-0.4,9,3.7,-2,-0.8,223930,7.1,105515,47.2,3312,158.5,62,6.2
"01003","5","332","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 332 Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",33,248,245,246,3473943,247974,4051,1085,"",0.86,0.33,0.33,0.34,0.43,0.27,0.30,1.30,"",5,17.9,1,0.4,-4,-1.6,-7,-2.8,200643,6.1,86716,53.8,2361,139.7,76,7.5
"01005","5","332","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 332 Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
