"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","333","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 333 Machinery manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",416,9422,9519,9606,141165928,73574498,1383161,1141,"",1.04,0.66,0.66,0.67,0.66,0.63,0.69,1.00,"",17,4.3,-883,-8.6,-732,-7.1,-599,-5.9,-14487066,-9.3,-6925080,-8.6,85330,6.6,-27,-2.3
"01000","5","333","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 333 Machinery manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",424,9498,9421,9549,147148287,8927169,185375,1193,"",1.05,0.67,0.66,0.66,0.69,0.40,0.52,1.04,"",18,4.4,10,0.1,-34,-0.4,13,0.1,5302526,3.7,2041137,29.6,60366,48.3,44,3.8
"01000","5","333","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 333 Machinery manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",432,9546,9676,9751,154060579,7288750,150400,1227,"",1.07,0.66,0.67,0.68,0.71,0.54,0.67,1.05,"",21,5.1,71,0.7,200,2.1,175,1.8,14536005,10.4,996763,15.8,46989,45.4,98,8.7
"01001","5","333","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 333 Machinery manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","333","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 333 Machinery manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","333","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 333 Machinery manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 333 Machinery manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,375,376,369,6346574,2817378,50596,1308,"",0.87,0.70,0.69,0.67,1.01,0.64,0.72,1.47,"",1,5.9,-12,-3.1,-8,-2.1,-13,-3.4,347873,5.8,-70187,-2.4,21734,75.3,107,8.9
"01003","5","333","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 333 Machinery manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,367,370,376,6415044,337520,4625,1330,"",0.82,0.66,0.66,0.65,0.94,0.29,0.27,1.43,"",1,6.2,-2,-0.5,16,4.5,20,5.6,423774,7.1,51828,18.1,2426,110.3,49,3.8
"01003","5","333","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 333 Machinery manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,375,373,375,6629785,211879,2951,1362,"",0.82,0.64,0.66,0.67,0.93,0.32,0.29,1.41,"",1,6.2,24,6.8,22,6.3,12,3.3,1543430,30.3,62759,42.1,1074,57.2,260,23.6
"01009","5","333","75","0","2021","1","","Blount County, Alabama","Private","NAICS 333 Machinery manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,29,31,33,287968,193792,3328,715,"",1.62,0.47,0.50,0.53,0.44,0.46,0.50,0.87,"",0,0.0,4,16.0,6,24.0,6,22.2,16791,6.2,18207,10.4,1221,57.9,-98,-12.1
