"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","334","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 334 Computer and electronic product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",248,7803,7799,7789,140550327,60797577,1148163,1387,"",0.89,0.54,0.54,0.54,0.36,0.47,0.53,0.67,"",24,10.7,-660,-7.8,-659,-7.8,-595,-7.1,-5433486,-3.7,-864778,-1.4,231088,25.2,56,4.2
"01000","5","334","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 334 Computer and electronic product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",266,7774,7677,7652,146231709,6508213,111522,1461,"",0.94,0.54,0.54,0.53,0.34,0.34,0.45,0.63,"",31,13.2,-314,-3.9,-376,-4.7,-301,-3.8,2824124,2.0,1120762,20.8,44156,65.5,87,6.3
"01000","5","334","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 334 Computer and electronic product manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",272,7636,7604,7597,139896359,4103861,76828,1414,"",0.94,0.53,0.53,0.54,0.36,0.37,0.45,0.68,"",35,14.8,-283,-3.6,-302,-3.8,-175,-2.3,6393644,4.8,1556267,61.1,39457,105.6,108,8.3
"01003","5","334","75","0","2021","1","N","Baldwin County, Alabama","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","334","75","0","2021","2","N","Baldwin County, Alabama","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","334","75","0","2021","3","N","Baldwin County, Alabama","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","334","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","334","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","334","75","0","2021","3","N","Barbour County, Alabama","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","334","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
