"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","336","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",39.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","336","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",39.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","336","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",39.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","336","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",457,64609,64929,64940,1061631388,506171048,8066183,1260,"",2.26,2.85,2.85,2.86,3.07,2.78,2.50,1.08,"",15,3.4,327,0.5,342,0.5,-197,-0.3,-34626725,-3.2,-6577524,-1.3,2195181,37.4,-44,-3.4
"01000","5","336","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",473,64669,64678,64969,1080510662,52740539,946632,1283,"",2.32,2.91,2.93,2.92,3.13,1.90,2.20,1.07,"",32,7.3,19833,44.2,12074,23.0,4372,7.2,260858041,31.8,20225024,62.2,472253,99.6,86,7.2
"01000","5","336","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",483,65076,65191,65051,1078696896,47634923,841467,1274,"",2.35,2.92,2.95,2.94,3.08,2.86,2.93,1.05,"",30,6.6,3062,4.9,2757,4.4,2547,4.1,53236006,5.2,14036000,41.8,385850,84.7,8,0.6
"01001","5","336","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","336","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.14,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","336","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.12,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","336","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,759,753,746,10786287,6002647,75441,1102,"",1.16,0.89,0.87,0.85,1.05,0.88,0.67,1.21,"",1,9.1,-258,-25.4,-264,-26.0,-275,-26.9,-4856338,-31.0,-2107173,-26.0,19567,35.0,-80,-6.8
"01003","5","336","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,768,776,780,12695443,445250,6080,1261,"",1.15,0.89,0.89,0.87,1.14,0.31,0.29,1.29,"",2,20.0,-214,-21.8,-197,-20.2,-156,-16.7,-1417761,-10.0,269835,153.8,4146,214.4,134,11.9
"01003","5","336","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,801,798,807,12296489,508661,6740,1179,"",1.14,0.89,0.92,0.93,1.07,0.61,0.51,1.17,"",2,20.0,-49,-5.8,14,1.8,35,4.5,2580417,26.6,307568,152.9,4528,204.7,247,26.5
"01007","5","336","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","336","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","336","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","336","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","336","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","336","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","336","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",5.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","336","75","0","2021","2","N","Butler County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",5.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","336","75","0","2021","3","N","Butler County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",5.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","336","75","0","2021","1","","Calhoun County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,2268,2245,2256,30471284,17625401,295796,1039,"",4.92,4.46,4.41,4.45,4.71,5.23,5.29,1.06,"",0,0.0,-150,-6.2,-152,-6.3,-138,-5.8,-4521545,-12.9,-1219149,-6.5,49532,20.1,-81,-7.2
"01015","5","336","75","0","2021","2","","Calhoun County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,2254,2201,2161,30177657,1327530,23046,1053,"",4.90,4.57,4.50,4.39,4.75,2.32,2.82,1.06,"",0,0.0,623,38.2,153,7.5,-117,-5.1,5063319,20.2,758658,133.4,15847,220.1,80,8.2
"01015","5","336","75","0","2021","3","","Calhoun County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,2199,2183,2078,30252450,1127916,26856,1081,"",5.14,4.45,4.46,4.26,4.61,3.39,5.00,1.05,"",1,5.3,-84,-3.7,-40,-1.8,-151,-6.8,-1285306,-4.1,396885,54.3,19229,252.1,0,0.0
"01017","5","336","75","0","2021","1","","Chambers County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,878,872,864,10015902,6657760,130916,884,"",7.28,9.05,8.97,8.98,8.76,9.27,10.24,0.97,"",0,0.0,-22,-2.4,-37,-4.1,-54,-5.9,-272604,-2.6,-59987,-0.9,51493,64.8,13,1.5
"01017","5","336","75","0","2021","2","","Chambers County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,843,847,835,11104666,915235,21659,1015,"",7.08,8.93,9.07,8.93,9.90,8.10,13.04,1.10,"",0,0.0,85,11.2,196,30.1,-19,-2.2,4236742,61.7,170007,22.8,11128,105.7,315,45.0
"01017","5","336","75","0","2021","3","","Chambers County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,779,802,790,9360822,877391,25370,911,"",7.07,8.24,8.35,8.36,8.30,12.04,18.68,1.00,"",0,0.0,-58,-6.9,-38,-4.5,-46,-5.5,-972862,-9.4,398674,83.3,19383,323.8,-38,-4.0
"01019","5","336","75","0","2021","1","N","Cherokee County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","336","75","0","2021","2","N","Cherokee County, Alabama","Private","NAICS 336 Transportation equipment manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
