"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","339","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 339 Miscellaneous manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",391,7314,7595,7578,87966943,53607486,876492,903,"",0.91,0.90,0.93,0.92,0.77,0.87,0.90,0.84,"",20,5.4,303,4.3,245,3.3,224,3.0,1788290,2.1,2015983,3.9,203367,30.2,-13,-1.4
"01000","5","339","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 339 Miscellaneous manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",402,7607,7668,7794,99641285,9912251,179000,997,"",0.93,0.93,0.94,0.95,0.86,0.75,0.96,0.92,"",25,6.6,678,9.8,562,7.9,577,8.0,16407734,19.7,2461950,33.0,74462,71.2,93,10.3
"01000","5","339","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 339 Miscellaneous manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",412,7796,7768,7712,100677335,7938899,148218,998,"",0.95,0.94,0.95,0.95,0.85,0.90,1.20,0.90,"",26,6.7,532,7.3,242,3.2,127,1.7,14757373,17.2,509320,6.9,46120,45.2,112,12.6
"01001","5","339","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,6,7,5,73174,41058,946,938,"",1.34,0.13,0.15,0.11,0.14,0.14,0.19,1.07,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","339","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,6,6,6,69987,6140,71,897,"",1.35,0.13,0.13,0.13,0.14,0.08,0.06,1.05,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","339","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,9,9,9,97997,18193,209,838,"",1.33,0.19,0.20,0.20,0.17,0.38,0.30,0.89,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","339","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,420,418,420,5267905,3169785,53348,966,"",0.95,1.37,1.35,1.33,1.57,1.38,1.57,1.16,"",2,10.5,-16,-3.7,-15,-3.5,-8,-1.9,-398442,-7.0,-157196,-4.7,20819,64.0,-42,-4.2
"01003","5","339","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,426,432,449,5859624,362580,5145,1035,"",0.95,1.34,1.35,1.36,1.58,0.53,0.57,1.17,"",2,10.5,29,7.3,26,6.4,30,7.2,763855,15.0,151740,72.0,2920,131.2,73,7.6
"01003","5","339","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,455,448,431,5867717,367487,7189,1015,"",0.94,1.37,1.39,1.36,1.51,0.84,1.28,1.10,"",2,10.5,44,10.7,38,9.3,32,8.0,741945,14.5,237582,182.9,5790,413.9,45,4.6
"01005","5","339","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","339","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","339","75","0","2021","3","N","Barbour County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","339","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","339","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","339","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","339","75","0","2021","1","","Blount County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,14,14,183121,100982,1422,1006,"",1.52,0.40,0.39,0.39,0.52,0.45,0.44,1.31,"",1,33.3,1,7.7,1,7.7,2,16.7,32584,21.6,12545,14.2,630,79.5,92,10.1
"01009","5","339","75","0","2021","2","","Blount County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,13,13,13,193705,28717,425,1146,"",1.50,0.37,0.37,0.36,0.52,0.51,0.58,1.42,"",0,0.0,1,8.3,0,0.0,0,0.0,29357,17.9,10009,53.5,272,177.8,148,14.8
"01009","5","339","75","0","2021","3","","Blount County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,15,15,15,213879,33661,636,1097,"",1.12,0.43,0.43,0.43,0.55,1.00,1.49,1.30,"",-1,-25.0,2,15.4,1,7.1,1,7.1,36227,20.4,15363,84.0,469,280.8,97,9.7
"01011","5","339","75","0","2021","1","N","Bullock County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","339","75","0","2021","2","N","Bullock County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","339","75","0","2021","3","N","Bullock County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","339","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","339","75","0","2021","2","N","Butler County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","339","75","0","2021","3","N","Butler County, Alabama","Private","NAICS 339 Miscellaneous manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
