"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","424","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 424 Merchant wholesalers, nondurable goods","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1196,21466,21451,21521,305168652,152104879,2204599,1093,"",0.55,0.77,0.76,0.77,0.67,0.70,0.67,0.87,"",51,4.5,-652,-2.9,-780,-3.5,-795,-3.6,-11430015,-3.6,-6031426,-3.8,690690,45.6,-3,-0.3
"01000","5","424","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 424 Merchant wholesalers, nondurable goods","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1198,21560,21522,21653,314946994,25324598,390511,1123,"",0.55,0.77,0.77,0.77,0.71,0.56,0.60,0.92,"",43,3.7,194,0.9,62,0.3,222,1.0,18332882,6.2,3619024,16.7,153119,64.5,58,5.4
"01000","5","424","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 424 Merchant wholesalers, nondurable goods","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1200,21890,21761,21508,330335810,21551374,322673,1170,"",0.55,0.77,0.77,0.77,0.72,0.69,0.69,0.94,"",26,2.2,404,1.9,357,1.7,144,0.7,28904020,9.6,6796194,46.1,156645,94.3,87,8.0
"01001","5","424","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 424 Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,14,15,130337,96515,1927,792,"",0.20,0.06,0.09,0.09,0.06,0.09,0.11,0.78,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","424","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 424 Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,17,16,14,185765,28234,661,912,"",0.20,0.11,0.10,0.09,0.09,0.11,0.17,0.95,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","424","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 424 Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,16,15,16,193427,15919,304,950,"",0.20,0.10,0.09,0.10,0.09,0.09,0.12,0.90,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","424","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 424 Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",50,565,561,577,7160477,3600642,60254,970,"",0.45,0.54,0.53,0.53,0.53,0.44,0.52,1.00,"",1,2.0,-91,-13.9,-99,-15.0,-93,-13.9,-1055720,-12.8,-904377,-20.1,17627,41.4,15,1.6
"01003","5","424","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 424 Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",52,589,595,610,7835480,838312,14891,1008,"",0.46,0.54,0.54,0.54,0.55,0.35,0.47,1.01,"",4,8.3,-23,-3.8,-43,-6.7,-14,-2.2,-404136,-4.9,171825,25.8,8006,116.3,-7,-0.7
"01003","5","424","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 424 Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",50,643,636,610,8665192,752884,12395,1059,"",0.44,0.56,0.57,0.56,0.57,0.48,0.59,1.02,"",3,6.4,60,10.3,65,11.4,39,6.8,778996,9.9,311723,70.7,7569,156.8,4,0.4
"01005","5","424","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 424 Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,39,33,34,208695,164957,8809,454,"",0.76,0.35,0.30,0.31,0.16,0.21,0.77,0.49,"",1,16.7,2,5.4,2,6.5,10,41.7,32090,18.2,14715,9.8,2029,29.9,11,2.5
