"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","441","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,3,2,2328,0,0,77,"",1.96,1.23,1.82,1.21,0.30,0.00,0.00,0.21,"",0,0.0,0,0.0,1,50.0,0,0.0,-3465,-59.8,0,0.0,0,0.0,-146,-65.5
"01000","1","441","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,1,2180,0,0,101,"",1.97,1.22,1.22,0.60,0.26,0.00,0.00,0.26,"",0,0.0,0,0.0,0,0.0,-1,-50.0,-3088,-58.6,0,0.0,0,0.0,-102,-50.2
"01000","1","441","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,2,2,3006,0,0,139,"",1.97,0.60,1.22,1.28,0.30,0.00,0.00,0.30,"",0,0.0,-1,-50.0,0,0.0,0,0.0,-2660,-46.9,0,0.0,0,0.0,-79,-36.2
"01000","5","441","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2456,31630,31830,31875,411553748,218901936,3230238,996,"",1.62,1.20,1.20,1.20,1.43,1.24,1.34,1.19,"",49,2.0,-841,-2.6,-885,-2.7,-651,-2.0,24629366,6.4,-1104001,-0.5,1056972,48.6,82,9.0
"01000","5","441","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2470,32533,32657,32708,507104683,54135436,823548,1195,"",1.62,1.23,1.23,1.23,1.36,1.18,1.31,1.11,"",64,2.7,2196,7.2,2092,6.8,1759,5.7,135896039,36.6,12129457,28.9,413569,100.9,262,28.1
"01000","5","441","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2466,32525,32513,32280,500589482,36938889,569847,1187,"",1.62,1.21,1.22,1.23,1.32,1.21,1.34,1.08,"",24,1.0,1595,5.2,1282,4.1,1107,3.6,89566069,21.8,5576528,17.8,217428,61.7,171,16.8
"01001","5","441","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 441 Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,205,202,206,2368708,1321978,18800,892,"",1.71,1.38,1.35,1.37,1.78,1.56,1.52,1.30,"",0,0.0,-8,-3.8,-7,-3.3,-1,-0.5,189804,8.7,-32829,-2.4,8374,80.3,93,11.6
"01001","5","441","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 441 Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,229,221,204,2860816,443946,6363,1009,"",1.82,1.52,1.46,1.35,1.72,1.72,1.72,1.19,"",1,5.6,29,14.5,20,10.0,2,1.0,691508,31.9,152373,52.3,4172,190.4,179,21.6
"01001","5","441","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 441 Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,205,204,200,2734601,264467,3906,1036,"",1.72,1.35,1.36,1.34,1.52,1.60,1.63,1.12,"",0,0.0,11,5.7,4,2.0,-6,-2.9,240425,9.6,20470,8.4,2031,108.3,77,8.0
"01003","5","441","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 441 Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",130,1795,1817,1815,25202027,14233790,215624,1072,"",1.67,1.80,1.80,1.78,2.96,2.16,2.55,1.65,"",7,5.7,-13,-0.7,-19,-1.0,61,3.5,3909877,18.4,1095976,8.3,85820,66.1,162,17.8
