"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","443","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 443 Electronics and appliance stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",669,5389,5351,5344,65765635,37476537,812195,944,"",1.22,0.91,0.91,0.93,0.98,1.02,1.54,1.07,"",-69,-9.3,-748,-12.2,-668,-11.1,-617,-10.4,-1616674,-2.4,-2207215,-5.6,90462,12.5,86,10.0
"01000","5","443","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 443 Electronics and appliance stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",665,5310,5301,5336,62756163,8429873,145344,908,"",1.22,0.93,0.94,0.94,0.92,0.99,1.23,0.99,"",-11,-1.6,-287,-5.1,-387,-6.8,-395,-6.9,309029,0.5,1155720,15.9,58944,68.2,61,7.2
"01000","5","443","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 443 Electronics and appliance stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",664,5848,5866,5921,68269217,5986522,122132,893,"",1.23,1.03,1.03,1.04,1.04,1.02,1.45,1.00,"",-12,-1.8,326,5.9,362,6.6,478,8.8,6366107,10.3,1807179,43.2,66124,118.1,26,3.0
"01001","5","443","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","443","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","443","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","443","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,249,227,223,2460982,1556074,35165,812,"",1.28,1.11,1.02,1.01,1.24,1.13,1.91,1.18,"",-7,-16.3,-34,-12.0,-59,-20.6,-56,-20.1,27982,1.2,-81456,-5.0,7232,25.9,150,22.7
"01003","5","443","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,220,228,230,2202273,405636,7191,750,"",1.29,0.99,1.02,1.01,1.01,0.91,1.25,1.00,"",-2,-5.3,-35,-13.7,-24,-9.5,-26,-10.2,221837,11.2,-2454,-0.6,2323,47.7,151,25.2
"01003","5","443","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",36,243,237,248,2440314,361830,7327,774,"",1.30,1.06,1.06,1.12,1.13,1.23,1.91,1.05,"",-1,-2.7,-15,-5.8,-2,-0.8,35,16.4,184415,8.2,120140,49.7,4228,136.4,41,5.6
"01005","5","443","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","443","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","443","75","0","2021","3","N","Barbour County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","443","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","443","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","443","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","443","75","0","2021","1","","Blount County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,23,25,25,349000,227792,3558,1103,"",1.78,0.90,0.98,1.00,1.68,1.70,2.04,1.75,"",-3,-33.3,1,4.5,2,8.7,2,8.7,63879,22.4,30012,15.2,1497,72.6,135,13.9
"01009","5","443","75","0","2021","2","","Blount County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,25,25,25,300019,67550,1241,923,"",1.78,1.01,1.01,1.01,1.37,1.86,2.65,1.35,"",-1,-14.3,3,13.6,3,13.6,4,19.0,41915,16.2,5430,8.7,457,58.3,7,0.8
"01009","5","443","75","0","2021","3","","Blount County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,25,25,25,324068,24031,446,997,"",1.80,1.03,1.03,1.02,1.51,1.07,1.54,1.47,"",-1,-14.3,2,8.7,2,8.7,2,8.7,77872,31.6,5972,33.1,191,74.9,174,21.1
"01013","5","443","75","0","2021","1","","Butler County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,9,9,10,115531,64157,710,952,"",1.98,0.45,0.46,0.53,0.72,0.54,0.35,1.51,"",0,0.0,-2,-18.2,-2,-18.2,-1,-9.1,3508,3.1,-12522,-16.3,257,56.7,169,21.6
"01013","5","443","75","0","2021","2","","Butler County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,9,9,9,110219,14304,165,942,"",2.03,0.48,0.49,0.48,0.66,0.47,0.35,1.36,"",0,0.0,-1,-10.0,-1,-10.0,-1,-10.0,17028,18.3,-2598,-15.4,65,65.0,225,31.4
"01013","5","443","75","0","2021","3","","Butler County, Alabama","Private","NAICS 443 Electronics and appliance stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,11,12,11,128073,15020,173,869,"",2.05,0.59,0.64,0.60,0.81,0.71,0.54,1.32,"",0,0.0,1,10.0,2,20.0,1,10.0,5073,4.1,6614,78.7,123,246.0,-77,-8.1
