"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","445","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,227,231,229,1939859,0,0,652,"",1.58,1.50,1.52,1.52,1.65,0.00,0.00,1.09,"",0,0.0,25,12.4,26,12.7,30,15.1,194377,11.1,0,0.0,0,0.0,-13,-2.0
"01000","1","445","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,218,201,200,2078526,0,0,775,"",1.58,1.48,1.40,1.40,1.51,0.00,0.00,1.06,"",0,0.0,4,1.9,-35,-14.8,-36,-15.3,-347553,-14.3,0,0.0,0,0.0,-41,-5.0
"01000","1","445","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,193,184,186,1763236,0,0,723,"",1.58,1.36,1.31,1.33,1.40,0.00,0.00,1.05,"",0,0.0,-44,-18.6,-42,-18.6,-36,-16.2,-304264,-14.7,0,0.0,0,0.0,26,3.7
"01000","2","445","55","0","2021","1","N","Alabama -- Statewide","State Government","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",173,0,0,0,0,0,0,0,"N",31.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","445","55","0","2021","2","N","Alabama -- Statewide","State Government","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",166,0,0,0,0,0,0,0,"N",30.49,0,0,0,0,0,0,0,"N",-6,-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","445","55","0","2021","3","N","Alabama -- Statewide","State Government","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",165,0,0,0,0,0,0,0,"N",30.46,0,0,0,0,0,0,0,"N",-7,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","445","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1315,33316,34304,33697,190886680,151615854,1947480,435,"",0.70,0.76,0.79,0.78,0.86,0.83,1.08,1.10,"",49,3.9,1122,3.5,1991,6.2,1544,4.8,7116751,3.9,4089426,2.8,815200,72.0,-4,-0.9
"01000","5","445","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1310,33615,33582,33677,203494079,71918295,973219,466,"",0.69,0.79,0.80,0.79,0.85,1.12,1.43,1.07,"",35,2.7,1163,3.6,430,1.3,-349,-1.0,1772008,0.9,-1275582,-1.7,392017,67.4,-1,-0.2
"01000","5","445","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 445 Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1317,33755,33380,33968,218493314,46083169,627673,499,"",0.69,0.80,0.80,0.83,0.85,0.96,1.23,1.06,"",35,2.7,206,0.6,-351,-1.0,165,0.5,18115471,9.0,4470769,10.7,282291,81.7,42,9.2
"01001","2","445","75","0","2021","1","N","Autauga County, Alabama","State Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",52.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","2","445","75","0","2021","2","N","Autauga County, Alabama","State Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",53.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
