"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","446","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 446 Health and personal care stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","446","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 446 Health and personal care stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","446","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 446 Health and personal care stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","446","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 446 Health and personal care stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2001,15328,15486,15446,141954569,85145725,1118095,708,"",1.40,1.10,1.11,1.11,1.28,1.17,1.27,1.15,"",-9,-0.4,-450,-2.9,-151,-1.0,-188,-1.2,-9444570,-6.2,-3482092,-3.9,401571,56.0,-35,-4.7
"01000","5","446","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 446 Health and personal care stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1992,15567,15742,15806,150456752,27518961,366973,737,"",1.39,1.12,1.13,1.14,1.24,1.35,1.43,1.10,"",-28,-1.4,1232,8.6,1905,13.8,1581,11.1,14701721,10.8,5991285,27.8,192843,110.7,-2,-0.3
"01000","5","446","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 446 Health and personal care stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1993,15675,15652,15633,153849815,17847588,237996,756,"",1.39,1.13,1.14,1.15,1.23,1.20,1.32,1.08,"",-21,-1.0,993,6.8,733,4.9,648,4.3,5160882,3.5,4068525,29.5,121152,103.7,-14,-1.8
"01001","5","446","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 446 Health and personal care stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,150,157,149,1408217,742360,9668,713,"",1.62,1.91,1.99,1.89,2.74,2.13,2.15,1.42,"",-1,-5.9,-14,-8.5,11,7.5,5,3.5,-102477,-6.8,-21888,-2.9,4907,103.1,-55,-7.2
"01001","5","446","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 446 Health and personal care stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,146,154,156,1332736,240918,2974,674,"",1.63,1.85,1.95,1.98,2.46,2.10,1.97,1.28,"",-2,-11.1,2,1.4,34,28.3,33,26.8,84190,6.7,78073,47.9,1857,166.2,-71,-9.5
"01001","5","446","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 446 Health and personal care stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,159,152,152,1546703,198218,2511,771,"",1.62,2.03,1.97,1.97,2.59,2.46,2.47,1.30,"",-2,-11.1,11,7.4,-1,-0.7,1,0.7,65175,4.4,60599,44.0,1623,182.8,15,2.0
"01003","5","446","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 446 Health and personal care stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",99,672,678,661,5664176,3679907,44181,650,"",1.35,1.28,1.28,1.24,1.72,1.36,1.43,1.36,"",1,1.0,-25,-3.6,-14,-2.0,-42,-6.0,-300753,-5.0,-174446,-4.5,18492,72.0,-8,-1.2
