"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","448","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 448 Clothing and clothing accessories stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1735,13321,13054,13033,63090491,48269123,641517,369,"",1.21,0.97,0.99,0.99,0.94,0.99,0.93,0.96,"",-23,-1.3,-2183,-14.1,-2374,-15.4,-2147,-14.1,-6993090,-10.0,-6685239,-12.2,181371,39.4,18,5.1
"01000","5","448","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 448 Clothing and clothing accessories stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1728,13085,13314,13474,70995544,26379110,362463,411,"",1.21,0.99,0.98,0.97,0.91,1.41,1.32,0.93,"",-8,-0.5,5525,73.1,4044,43.6,1571,13.2,22761067,47.2,10226372,63.3,226434,166.5,24,6.2
"01000","5","448","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 448 Clothing and clothing accessories stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1735,13792,13410,13224,73829070,19384229,270728,421,"",1.21,0.97,0.94,0.96,0.88,1.19,1.11,0.92,"",-27,-1.5,1094,8.6,731,5.8,595,4.7,9710407,15.1,1990442,11.4,120318,80.0,32,8.2
"01001","5","448","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,86,89,87,350271,274853,3581,309,"",1.30,1.11,1.20,1.16,1.13,1.18,1.01,0.98,"",3,30.0,-5,-5.5,1,1.1,-1,-1.1,37105,11.8,16863,6.5,1671,87.5,38,14.0
"01001","5","448","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,81,85,88,386926,142717,1968,352,"",1.33,1.07,1.10,1.11,1.10,1.36,1.21,1.01,"",4,44.4,17,26.6,14,19.7,12,15.8,129107,50.1,62507,77.9,1294,192.0,70,24.8
"01001","5","448","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,86,85,81,370126,96040,1325,339,"",1.32,1.06,1.06,1.03,0.93,1.09,0.97,0.88,"",2,18.2,10,13.2,8,10.4,4,5.2,93822,34.0,28130,41.4,745,128.4,62,22.4
"01003","5","448","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",154,1280,1231,1222,6719191,5122083,66083,415,"",2.09,2.48,2.46,2.41,3.39,2.82,2.73,1.38,"",-9,-5.5,-263,-17.0,-309,-20.1,-317,-20.6,-662941,-9.0,-712174,-12.2,16167,32.4,46,12.5
"01003","5","448","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",149,1171,1181,1249,7220658,2636414,34725,463,"",2.04,2.26,2.20,2.23,2.87,2.72,2.60,1.28,"",-14,-8.6,326,38.6,262,28.5,10,0.8,2070561,40.2,825648,45.6,19599,129.6,67,16.9
"01003","5","448","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",154,1285,1218,1213,7738294,2033790,27670,481,"",2.10,2.24,2.16,2.24,2.80,2.51,2.50,1.27,"",-10,-6.1,-65,-4.8,-84,-6.5,-34,-2.7,502161,6.9,-35210,-1.7,8805,46.7,53,12.4
"01005","5","448","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,26,25,26,93742,80274,1104,281,"",1.48,0.48,0.48,0.50,0.48,0.46,0.46,0.99,"",0,0.0,-3,-10.3,-3,-10.7,-4,-13.3,-2779,-2.9,-5376,-6.3,511,86.2,25,9.8
"01005","5","448","75","0","2021","2","","Barbour County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,23,26,28,93019,57898,811,279,"",1.34,0.45,0.49,0.52,0.41,0.74,0.70,0.85,"",-1,-11.1,10,76.9,3,13.0,1,3.7,20754,28.7,13564,30.6,519,177.7,14,5.3
"01005","5","448","75","0","2021","3","","Barbour County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,28,27,26,86588,35442,524,247,"",1.35,0.51,0.49,0.49,0.35,0.56,0.54,0.71,"",-1,-11.1,4,16.7,-1,-3.6,-3,-10.3,-11376,-11.6,-4245,-10.7,220,72.4,-32,-11.5
"01007","5","448","75","0","2021","1","","Bibb County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,7,8,8,17425,11475,223,175,"",0.76,0.21,0.25,0.25,0.13,0.10,0.14,0.54,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","448","75","0","2021","2","","Bibb County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,9,9,21202,11316,264,181,"",0.77,0.28,0.27,0.26,0.13,0.27,0.47,0.48,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","448","75","0","2021","3","","Bibb County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,10,9,10,24185,10700,251,192,"",0.77,0.29,0.26,0.30,0.14,0.32,0.55,0.50,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","448","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","448","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","448","75","0","2021","3","","Blount County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,8,8,8,32358,8813,108,311,"",0.68,0.13,0.13,0.13,0.12,0.14,0.13,0.89,"",0,0.0,-2,-20.0,0,0.0,0,0.0,-2207,-6.4,-38,-0.4,53,96.4,4,1.3
"01011","5","448","75","0","2021","1","N","Bullock County, Alabama","Private","NAICS 448 Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
