"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","453","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 453 Miscellaneous store retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","453","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 453 Miscellaneous store retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","453","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 453 Miscellaneous store retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","453","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 453 Miscellaneous store retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1612,10457,10572,10620,70528546,47917805,716211,514,"",1.12,1.00,0.99,1.00,1.16,1.11,1.16,1.16,"",55,3.5,-258,-2.4,-241,-2.2,-131,-1.2,2284158,3.3,140004,0.3,160705,28.9,26,5.3
"01000","5","453","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 453 Miscellaneous store retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1618,10649,10693,10918,75836621,21302091,318687,542,"",1.12,0.99,0.98,0.98,1.06,1.27,1.20,1.07,"",61,3.9,2494,30.6,1465,15.9,1084,11.0,16430145,27.7,5437184,34.3,128135,67.2,38,7.5
"01000","5","453","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 453 Miscellaneous store retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1620,11049,10868,10858,79914818,14308372,211147,563,"",1.12,0.98,0.97,0.98,1.06,1.06,1.00,1.09,"",46,2.9,1013,10.1,801,8.0,702,6.9,12343305,18.3,1017541,7.7,55233,35.4,48,9.3
"01001","5","453","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 453 Miscellaneous store retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,129,133,134,561978,484409,7237,327,"",1.91,2.18,2.22,2.22,2.00,2.34,2.30,0.91,"",2,11.8,70,118.6,62,87.3,66,97.1,166725,42.2,148244,44.1,3335,85.5,-134,-29.1
"01001","5","453","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 453 Miscellaneous store retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,133,133,145,550505,268081,4716,309,"",2.02,2.17,2.13,2.30,1.71,2.84,3.01,0.78,"",3,17.6,79,146.3,69,107.8,77,113.2,258424,88.5,136009,103.0,2880,156.9,-53,-14.6
"01001","5","453","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 453 Miscellaneous store retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,141,131,136,631442,211860,3791,357,"",2.00,2.20,2.07,2.17,1.77,2.89,3.17,0.82,"",3,17.6,82,139.0,69,111.3,75,123.0,317853,101.4,122268,136.5,2667,237.3,-41,-10.3
"01003","5","453","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 453 Miscellaneous store retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",104,688,704,696,3907274,2732789,41338,432,"",1.41,1.74,1.75,1.70,2.18,1.69,1.92,1.26,"",5,5.1,35,5.4,49,7.5,29,4.3,383275,10.9,198164,7.8,15600,60.6,20,4.9
