"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","454","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 454 Nonstore retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",731,3455,3466,3484,36338650,23274287,400781,806,"",0.91,0.41,0.41,0.41,0.27,0.30,0.38,0.66,"",99,15.7,-49,-1.4,-33,-0.9,22,0.6,2014685,5.9,603622,2.7,119617,42.5,49,6.5
"01000","5","454","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 454 Nonstore retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",752,3658,3736,3768,40605580,6773248,115548,840,"",0.91,0.44,0.45,0.45,0.25,0.32,0.45,0.57,"",104,16.0,499,15.8,406,12.2,352,10.3,7536960,22.8,1749530,34.8,54734,90.0,70,9.1
"01000","5","454","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 454 Nonstore retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",774,3889,3955,3992,43334788,5259974,93459,845,"",0.91,0.46,0.46,0.47,0.31,0.38,0.50,0.66,"",99,14.7,388,11.1,485,14.0,460,13.0,7755671,21.8,1127331,27.3,38566,70.3,63,8.1
"01001","5","454","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,29,28,30,316040,213479,2903,838,"",1.80,0.61,0.59,0.63,0.51,0.57,0.54,0.84,"",1,11.1,-2,-6.5,-2,-6.7,2,7.1,-45044,-12.5,-27302,-11.3,1123,63.1,-98,-10.5
"01001","5","454","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,28,28,29,316618,45138,784,860,"",1.76,0.59,0.59,0.61,0.44,0.38,0.51,0.74,"",2,25.0,0,0.0,0,0.0,1,3.6,12305,4.0,12338,37.6,543,225.3,24,2.9
"01001","5","454","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,30,28,28,353842,23298,360,949,"",1.70,0.62,0.58,0.58,0.52,0.31,0.34,0.88,"",1,11.1,1,3.4,0,0.0,1,3.7,47647,15.6,3813,19.6,147,69.0,108,12.8
"01003","5","454","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",34,67,71,71,894170,505260,7126,987,"",0.83,0.21,0.22,0.22,0.23,0.17,0.19,1.04,"",3,9.7,8,13.6,6,9.2,7,10.9,160407,21.9,41417,8.9,2943,70.4,86,9.5
"01003","5","454","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",32,69,66,67,803541,122017,1929,918,"",0.75,0.21,0.20,0.20,0.16,0.11,0.15,0.76,"",2,6.7,7,11.3,-2,-2.9,2,3.1,63255,8.5,50348,70.3,853,79.3,42,4.8
"01003","5","454","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",35,63,64,69,910412,81334,1533,1072,"",0.80,0.18,0.19,0.21,0.19,0.12,0.18,1.01,"",3,9.4,-1,-1.6,-4,-5.9,2,3.0,126348,16.1,31492,63.2,551,56.1,163,17.9
"01005","5","454","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,20,21,20,175727,128128,1959,665,"",1.18,0.60,0.63,0.61,0.45,0.45,0.53,0.74,"",1,33.3,0,0.0,3,16.7,3,17.6,34444,24.4,35153,37.8,1102,128.6,72,12.1
"01005","5","454","75","0","2021","2","","Barbour County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,19,19,19,163789,19262,253,663,"",1.15,0.59,0.59,0.58,0.35,0.22,0.23,0.60,"",1,33.3,0,0.0,-1,-5.0,1,5.6,18341,12.6,1201,6.6,127,100.8,74,12.6
"01005","5","454","75","0","2021","3","","Barbour County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,19,20,20,164243,8895,146,642,"",1.13,0.58,0.61,0.61,0.39,0.17,0.20,0.66,"",1,33.3,2,11.8,4,25.0,4,25.0,25539,18.4,2386,36.7,94,180.8,-11,-1.7
"01007","5","454","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","454","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","454","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","454","75","0","2021","1","","Blount County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,12,10,11,94855,71481,1422,663,"",0.81,0.33,0.27,0.30,0.23,0.25,0.40,0.76,"",1,33.3,1,9.1,-2,-16.7,0,0.0,5999,6.8,2824,4.1,476,50.3,60,10.0
"01009","5","454","75","0","2021","2","","Blount County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,9,10,13,95124,6280,118,686,"",0.78,0.25,0.28,0.36,0.18,0.07,0.12,0.63,"",1,33.3,-1,-10.0,-1,-9.1,2,18.2,5197,5.8,-2507,-28.5,-58,-33.0,37,5.7
"01009","5","454","75","0","2021","3","","Blount County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,10,10,10,78806,2707,60,606,"",0.76,0.28,0.27,0.27,0.17,0.05,0.09,0.62,"",1,33.3,0,0.0,1,11.1,0,0.0,6809,9.5,1751,183.2,53,757.1,33,5.8
"01011","5","454","75","0","2021","1","","Bullock County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,11,11,11,108665,68921,1121,760,"",4.42,0.88,0.87,0.89,0.73,0.60,0.52,0.83,"",1,25.0,6,120.0,6,120.0,6,120.0,74085,214.2,44029,176.9,792,240.7,228,42.9
"01011","5","454","75","0","2021","2","","Bullock County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,11,11,11,103468,5271,83,724,"",4.36,0.92,0.92,0.90,0.56,0.17,0.13,0.61,"",1,25.0,5,83.3,5,83.3,5,83.3,62378,151.8,3800,258.3,63,315.0,197,37.4
"01011","5","454","75","0","2021","3","","Bullock County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,11,11,11,98587,8134,128,689,"",4.26,0.92,0.92,0.92,0.60,0.48,0.44,0.65,"",1,25.0,4,57.1,4,57.1,4,57.1,50877,106.6,7249,819.1,113,753.3,165,31.5
"01013","5","454","75","0","2021","1","","Butler County, Alabama","Private","NAICS 454 Nonstore retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,9,9,9,80105,48014,958,685,"",1.69,0.32,0.32,0.32,0.25,0.19,0.23,0.78,"",1,25.0,-8,-47.1,-8,-47.1,-7,-43.8,-90041,-52.9,-76737,-61.5,-902,-48.5,-100,-12.7
