"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","483","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 483 Water transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",29,406,407,413,8560080,3501418,47140,1611,"",1.04,0.54,0.53,0.54,0.59,0.58,0.42,1.09,"",0,0.0,-148,-26.7,-148,-26.7,-134,-24.5,-2054246,-19.4,-861699,-19.7,5738,13.9,132,8.9
"01000","5","483","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 483 Water transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",31,432,438,442,9141915,511435,8691,1608,"",1.10,0.56,0.56,0.55,0.63,0.45,0.28,1.14,"",1,3.3,-60,-12.2,-47,-9.7,-54,-10.9,-683770,-7.0,213241,71.5,5319,157.7,69,4.5
"01000","5","483","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 483 Water transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",31,452,454,451,9750089,452674,7087,1658,"",1.08,0.54,0.54,0.55,0.64,0.45,0.25,1.17,"",1,3.3,-16,-3.4,-46,-9.2,6,1.3,14273,0.1,48393,12.0,2327,48.9,68,4.3
"01003","5","483","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 483 Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,24,24,24,341277,174623,5301,1094,"",4.20,0.84,0.83,0.82,0.79,0.78,1.35,0.95,"",-1,-14.3,3,14.3,-3,-11.1,-1,-4.0,30445,9.8,6274,3.7,607,12.9,111,11.3
"01003","5","483","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 483 Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,27,25,28,404118,43208,1793,1166,"",4.85,0.90,0.81,0.86,0.87,0.73,1.21,1.02,"",0,0.0,6,28.6,2,8.7,5,21.7,103365,34.4,-1328,-3.0,895,99.7,130,12.5
"01003","5","483","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 483 Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,30,28,28,459043,28654,986,1232,"",4.77,0.89,0.85,0.88,0.92,0.58,0.77,1.05,"",0,0.0,9,42.9,6,27.3,4,16.7,102059,28.6,-40822,-58.8,-188,-16.0,2,0.2
"01073","5","483","75","0","2021","1","N","Jefferson County, Alabama","Private","NAICS 483 Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","483","75","0","2021","2","N","Jefferson County, Alabama","Private","NAICS 483 Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","483","75","0","2021","3","N","Jefferson County, Alabama","Private","NAICS 483 Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","483","75","0","2021","1","N","Lee County, Alabama","Private","NAICS 483 Water transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
