"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","484","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 484 Truck transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2491,26148,26096,26355,342802842,203930582,2819360,1006,"",1.27,1.29,1.29,1.29,1.63,1.37,1.36,1.27,"",195,8.5,-639,-2.4,-752,-2.8,-511,-1.9,701506,0.2,-3128631,-1.5,1019795,56.7,25,2.5
"01000","5","484","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 484 Truck transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2551,26459,26654,26789,374805758,38832252,588801,1082,"",1.27,1.30,1.31,1.30,1.55,1.03,1.03,1.19,"",215,9.2,1348,5.4,981,3.8,456,1.7,45617207,13.9,6184110,18.9,258700,78.4,97,9.8
"01000","5","484","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 484 Truck transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2611,26448,26349,26017,385003910,31371504,470043,1127,"",1.27,1.28,1.28,1.28,1.50,1.16,1.09,1.17,"",215,9.0,-36,-0.1,-54,-0.2,-367,-1.4,36276794,10.4,2408314,8.3,170513,56.9,112,11.0
"01001","5","484","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 484 Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","484","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 484 Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,55,54,56,647562,58341,671,906,"",0.36,0.48,0.47,0.48,0.60,0.27,0.20,1.26,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","484","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 484 Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","484","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 484 Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",81,417,426,433,4916245,3072302,38883,889,"",0.81,0.54,0.55,0.55,0.79,0.55,0.54,1.44,"",9,12.5,-20,-4.6,-13,-3.0,-8,-1.8,55669,1.1,33875,1.1,16232,71.7,37,4.3
"01003","5","484","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 484 Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",79,443,432,439,5803364,683311,10342,1019,"",0.77,0.56,0.54,0.53,0.75,0.35,0.37,1.38,"",2,2.6,-3,-0.7,-26,-5.7,-20,-4.4,377444,7.0,74710,12.3,4683,82.8,100,10.9
"01003","5","484","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 484 Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",82,452,436,435,5826382,558290,8055,1016,"",0.78,0.54,0.54,0.55,0.69,0.41,0.41,1.27,"",2,2.5,13,3.0,3,0.7,18,4.3,649323,12.5,43598,8.5,2888,55.9,89,9.6
"01005","5","484","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 484 Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",28,293,283,290,3811203,2060108,26159,1016,"",3.38,3.65,3.53,3.63,6.26,3.82,3.62,1.74,"",-1,-3.4,-64,-17.9,-62,-18.0,-47,-13.9,-660756,-14.8,-569810,-21.7,5678,27.7,23,2.3
