"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","485","55","0","2021","1","","Alabama -- Statewide","Local Government","NAICS 485 Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",112,4534,4508,4456,28244502,0,0,483,"",5.05,1.40,1.39,1.38,0.73,0.00,0.00,0.53,"",0,0.0,-243,-5.1,-283,-5.9,-318,-6.7,-513994,-1.8,0,0.0,0,0.0,20,4.3
"01000","3","485","55","0","2021","2","","Alabama -- Statewide","Local Government","NAICS 485 Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",113,4477,4509,4520,27799131,0,0,475,"",5.10,1.40,1.42,1.43,0.65,0.00,0.00,0.46,"",1,0.9,-228,-4.8,19,0.4,-7,-0.2,1241275,4.7,0,0.0,0,0.0,28,6.3
"01000","3","485","55","0","2021","3","","Alabama -- Statewide","Local Government","NAICS 485 Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",113,4330,4397,4472,29210545,0,0,511,"",5.10,1.47,1.49,1.44,0.68,0.00,0.00,0.46,"",1,0.9,-181,-4.0,-171,-3.7,-96,-2.1,2436126,9.1,0,0.0,0,0.0,58,12.8
"01000","5","485","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 485 Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",145,1610,1634,1641,11214918,9095186,255492,530,"",0.56,0.33,0.33,0.32,0.27,0.37,0.31,0.84,"",2,1.4,-674,-29.5,-738,-31.1,-586,-26.3,-3097337,-21.6,-2974683,-24.6,-11902,-4.5,50,10.4
"01000","5","485","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 485 Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",145,1751,1712,1540,12476548,3834342,115748,575,"",0.56,0.34,0.33,0.31,0.27,0.39,0.30,0.83,"",-6,-4.0,410,30.6,279,19.5,159,11.5,2988603,31.5,1268769,49.5,59882,107.2,48,9.1
"01000","5","485","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 485 Transit and ground passenger transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",149,1430,1763,1693,13022870,2129401,58161,615,"",0.57,0.33,0.40,0.33,0.30,0.35,0.32,0.85,"",2,1.4,219,18.1,348,24.6,38,2.3,3501424,36.8,522166,32.5,21406,58.2,102,19.9
"01001","3","485","75","0","2021","1","N","Autauga County, Alabama","Local Government","NAICS 485 Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","485","75","0","2021","2","N","Autauga County, Alabama","Local Government","NAICS 485 Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","485","75","0","2021","3","N","Autauga County, Alabama","Local Government","NAICS 485 Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","485","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 485 Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","485","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 485 Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","485","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 485 Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",-3,-60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","485","75","0","2021","1","N","Baldwin County, Alabama","Local Government","NAICS 485 Transit and ground passenger transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
