"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","487","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 487 Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",48,69,73,79,787977,451576,7495,823,"",1.11,0.38,0.38,0.36,0.56,0.43,0.38,1.51,"",3,6.7,-11,-13.8,-8,-9.9,-1,-1.2,96049,13.9,-20165,-4.3,2888,62.7,160,24.1
"01000","5","487","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 487 Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",49,74,80,88,801882,177130,3158,765,"",1.10,0.27,0.25,0.23,0.32,0.23,0.15,1.30,"",1,2.1,7,10.4,-5,-5.9,-8,-8.3,63565,8.6,-35845,-16.8,88,2.9,78,11.4
"01000","5","487","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 487 Scenic and sightseeing transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",49,90,83,78,808020,90398,1553,743,"",1.09,0.21,0.19,0.20,0.24,0.09,0.05,1.19,"",1,2.1,-4,-4.3,-9,-9.8,-6,-7.1,-68886,-7.9,-68840,-43.2,-766,-33.0,-6,-0.8
"01003","5","487","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,38,38,47,508885,264210,4009,955,"",11.27,5.50,5.18,5.59,12.25,6.73,5.87,2.26,"",1,4.2,-2,-5.0,-2,-5.0,3,6.8,141124,38.4,7244,2.8,1849,85.6,271,39.6
"01003","5","487","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,42,47,53,498817,117648,1844,811,"",10.99,3.98,3.65,3.42,6.17,2.95,1.77,1.69,"",0,0.0,0,0.0,0,0.0,3,6.0,88146,21.5,15987,15.7,799,76.5,129,18.9
"01003","5","487","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,53,48,44,490677,53888,760,781,"",10.90,3.07,2.82,2.82,4.36,1.06,0.57,1.50,"",0,0.0,4,8.2,2,4.3,-1,-2.2,18091,3.8,-12510,-18.8,-4,-0.5,2,0.3
"01069","5","487","75","0","2021","1","N","Houston County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","487","75","0","2021","2","N","Houston County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","487","75","0","2021","3","N","Houston County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","487","75","0","2021","1","N","Jefferson County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","487","75","0","2021","2","N","Jefferson County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","487","75","0","2021","3","N","Jefferson County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","487","75","0","2021","1","N","Madison County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","487","75","0","2021","2","N","Madison County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","487","75","0","2021","3","N","Madison County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","487","75","0","2021","1","N","Mobile County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,0,"N",3.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","487","75","0","2021","2","N","Mobile County, Alabama","Private","NAICS 487 Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,0,"N",3.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
