"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","491","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 491 Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",583,8791,8873,8895,127240594,0,0,1106,"",1.56,1.05,1.06,1.07,1.28,0.00,0.00,1.21,"",-2,-0.3,39,0.4,200,2.3,232,2.7,10426489,8.9,0,0.0,0,0.0,73,7.1
"01000","1","491","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 491 Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",585,8911,8875,8876,144197844,0,0,1248,"",1.57,1.06,1.08,1.09,1.24,0.00,0.00,1.15,"",1,0.2,234,2.7,45,0.5,49,0.6,4862090,3.5,0,0.0,0,0.0,27,2.2
"01000","1","491","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 491 Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",582,8880,8874,9035,124953427,0,0,1076,"",1.57,1.08,1.09,1.11,1.23,0.00,0.00,1.13,"",-3,-0.5,152,1.7,97,1.1,261,3.0,5063675,4.2,0,0.0,0,0.0,23,2.2
"01000","5","491","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 491 Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,63,68,66,728869,506001,6120,854,"",0.64,0.62,0.68,0.66,1.10,0.90,0.80,1.69,"",0,0.0,-4,-6.0,5,7.9,4,6.5,-16481,-2.2,7873,1.6,1526,33.2,-42,-4.7
"01000","5","491","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 491 Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,64,67,64,757250,65174,821,896,"",0.63,0.66,0.69,0.65,1.05,0.34,0.32,1.57,"",0,0.0,6,10.3,6,9.8,-1,-1.5,17339,2.3,6393,10.9,331,67.6,-32,-3.4
"01000","5","491","55","0","2021","3","N","Alabama -- Statewide","Private","NAICS 491 Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","491","75","0","2021","1","","Autauga County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,72,69,68,953171,0,0,1052,"",1.93,1.53,1.46,1.44,2.08,0.00,0.00,1.41,"",1,25.0,1,1.4,-5,-6.8,-6,-8.1,61373,6.9,0,0.0,0,0.0,112,11.9
"01001","1","491","75","0","2021","2","","Autauga County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,66,67,69,1104361,0,0,1262,"",1.57,1.38,1.44,1.49,2.11,0.00,0.00,1.47,"",-1,-20.0,-4,-5.7,-5,-6.9,-5,-6.8,-58660,-5.0,0,0.0,0,0.0,19,1.5
"01001","1","491","75","0","2021","3","","Autauga County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,64,70,66,909117,0,0,1049,"",1.56,1.38,1.53,1.43,1.89,0.00,0.00,1.30,"",-1,-20.0,-7,-9.9,-3,-4.1,-10,-13.2,-54242,-5.6,0,0.0,0,0.0,38,3.8
"01003","1","491","75","0","2021","1","","Baldwin County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,258,262,261,3402651,0,0,1005,"",1.04,0.82,0.82,0.81,1.16,0.00,0.00,1.41,"",0,0.0,10,4.0,21,8.7,11,4.4,301062,9.7,0,0.0,0,0.0,36,3.7
