"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","492","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 492 Couriers and messengers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",255,10745,10602,10603,98638909,56878573,721639,712,"",0.97,0.68,0.71,0.73,0.75,0.70,0.74,1.06,"",26,11.4,1619,17.7,3087,41.1,3115,41.6,14760585,17.6,9917081,21.1,330952,84.7,-90,-11.2
"01000","5","492","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 492 Couriers and messengers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",261,9209,9304,9261,99787929,16995356,236453,829,"",0.97,0.68,0.69,0.68,0.67,0.74,0.79,0.99,"",26,11.1,1699,22.6,1426,18.1,1190,14.7,14442824,16.9,2522076,17.4,89723,61.1,-11,-1.3
"01000","5","492","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 492 Couriers and messengers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",269,9346,9391,9643,105633165,11655826,181389,859,"",0.98,0.68,0.68,0.70,0.70,0.69,0.80,1.01,"",34,14.5,939,11.2,780,9.1,915,10.5,13373689,14.5,1009,0.0,50891,39.0,32,3.9
"01003","5","492","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,334,335,340,3230059,1903712,31270,739,"",0.96,0.56,0.59,0.61,0.83,0.62,0.91,1.41,"",2,18.2,59,21.5,127,61.1,124,57.4,625639,24.0,449313,30.9,18215,139.5,-121,-14.1
"01003","5","492","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,298,301,308,3376533,412489,7573,859,"",1.02,0.56,0.57,0.56,0.71,0.35,0.53,1.26,"",2,16.7,84,39.3,76,33.8,68,28.3,712759,26.8,-11199,-2.6,2230,41.7,-46,-5.1
"01003","5","492","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,315,309,313,3696685,396397,8846,910,"",0.93,0.57,0.57,0.58,0.74,0.47,0.85,1.29,"",0,0.0,63,25.0,40,14.9,40,14.7,653558,21.5,-21589,-5.2,1809,25.7,26,2.9
"01013","5","492","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","492","75","0","2021","2","N","Butler County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","492","75","0","2021","3","N","Butler County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","492","75","0","2021","1","","Calhoun County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,451,447,423,3299740,2280037,30786,576,"",1.19,1.27,1.34,1.30,1.33,1.51,1.81,1.02,"",0,0.0,171,61.1,212,90.2,191,82.3,1004181,43.7,852599,59.7,18640,153.5,-133,-18.8
"01015","5","492","75","0","2021","2","","Calhoun County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,370,340,352,3249386,753315,10326,706,"",1.18,1.23,1.14,1.16,1.19,1.60,1.82,1.01,"",0,0.0,127,52.3,85,33.3,71,25.3,582647,21.8,117230,18.4,4709,83.8,-84,-10.6
"01015","5","492","75","0","2021","3","","Calhoun County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,355,362,361,3281287,535821,8975,702,"",1.16,1.17,1.19,1.18,1.16,1.58,2.11,0.98,"",0,0.0,43,13.8,45,14.2,23,6.8,244041,8.0,-72196,-11.9,2957,49.1,-23,-3.2
"01023","5","492","75","0","2021","1","N","Choctaw County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.52,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","492","75","0","2021","2","N","Choctaw County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.50,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","492","75","0","2021","3","N","Choctaw County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.47,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","492","75","0","2021","1","N","Clarke County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","492","75","0","2021","2","N","Clarke County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.49,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","492","75","0","2021","3","N","Clarke County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.19,0,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","492","75","0","2021","1","N","Clay County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","492","75","0","2021","2","N","Clay County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","492","75","0","2021","3","N","Clay County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","492","75","0","2021","1","N","Coffee County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","492","75","0","2021","2","N","Coffee County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","492","75","0","2021","3","N","Coffee County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","492","75","0","2021","1","","Colbert County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,288,279,276,2652281,1553422,18216,726,"",1.47,1.49,1.55,1.57,1.81,1.53,1.28,1.17,"",0,0.0,21,7.9,63,29.2,60,27.8,200083,8.2,131512,9.2,9827,117.1,-84,-10.4
"01033","5","492","75","0","2021","2","","Colbert County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,216,216,217,2592177,342144,4118,922,"",1.46,1.34,1.35,1.34,1.57,1.26,1.10,1.16,"",0,0.0,-3,-1.4,-2,-0.9,-8,-3.6,-85657,-3.2,-87939,-20.4,1580,62.3,-11,-1.2
"01033","5","492","75","0","2021","3","","Colbert County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,245,242,250,2709052,202554,2555,848,"",1.43,1.52,1.48,1.51,1.57,1.04,0.88,1.05,"",0,0.0,-27,-9.9,-33,-12.0,-23,-8.4,-26321,-1.0,-129030,-38.9,599,30.6,78,10.1
"01035","5","492","75","0","2021","1","N","Conecuh County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","492","75","0","2021","2","N","Conecuh County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","492","75","0","2021","3","N","Conecuh County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","492","75","0","2021","1","N","Covington County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","492","75","0","2021","2","N","Covington County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","492","75","0","2021","3","N","Covington County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","492","75","0","2021","1","-","Cullman County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","492","75","0","2021","2","N","Cullman County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","492","75","0","2021","3","N","Cullman County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","492","75","0","2021","1","N","DeKalb County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","492","75","0","2021","2","N","DeKalb County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","492","75","0","2021","3","N","DeKalb County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","492","75","0","2021","1","N","Elmore County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","492","75","0","2021","2","N","Elmore County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","492","75","0","2021","3","N","Elmore County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","492","75","0","2021","1","N","Etowah County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","492","75","0","2021","2","N","Etowah County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","492","75","0","2021","3","N","Etowah County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","492","75","0","2021","1","N","Henry County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","492","75","0","2021","2","N","Henry County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","492","75","0","2021","3","N","Henry County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","492","75","0","2021","1","","Houston County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,452,457,436,3840502,2376949,30313,659,"",1.81,1.15,1.24,1.21,1.33,1.23,1.37,1.11,"",1,10.0,99,28.0,155,51.3,114,35.4,749134,24.2,519371,28.0,15839,109.4,-71,-9.7
"01069","5","492","75","0","2021","2","","Houston County, Alabama","Private","NAICS 492 Couriers and messengers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,410,405,394,4109472,648996,7795,784,"",1.78,1.24,1.23,1.18,1.26,1.08,1.05,1.03,"",1,10.0,96,30.6,71,21.3,54,15.9,787352,23.7,51870,8.7,3666,88.8,8,1.0
