"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","493","55","0","2021","1","N","Alabama -- Statewide","State Government","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","493","55","0","2021","2","N","Alabama -- Statewide","State Government","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","493","55","0","2021","3","N","Alabama -- Statewide","State Government","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","493","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","493","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","493","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","493","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",259,25066,24817,24324,226148318,164928262,2412323,703,"",1.03,1.09,1.09,1.09,1.23,1.27,1.17,1.13,"",6,2.4,10845,76.3,10501,73.4,9969,69.4,71819151,46.5,57792291,53.9,1242379,106.2,-127,-15.3
"01000","5","493","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",264,24291,24668,25381,234366241,52668491,756750,728,"",1.05,1.12,1.14,1.16,1.13,1.36,1.25,0.99,"",8,3.1,11479,89.6,11267,84.1,11068,77.3,85953425,57.9,23908492,83.1,496543,190.8,-117,-13.8
"01000","5","493","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 493 Warehousing and storage","State, NAICS 3-digit -- by ownership sector","All establishment sizes",269,25315,25202,25773,251039853,40217906,579679,759,"",1.06,1.13,1.12,1.13,1.15,1.26,1.16,1.02,"",8,3.1,11182,79.1,10839,75.5,10668,70.6,91296453,57.2,20867418,107.8,394902,213.7,-86,-10.2
"01003","5","493","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 493 Warehousing and storage","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,574,569,561,6742938,4292122,58517,913,"",0.62,0.66,0.66,0.65,1.24,0.88,0.81,1.89,"",0,0.0,111,24.0,98,20.8,79,16.4,1288696,23.6,716273,20.0,31940,120.2,24,2.7
