"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","511","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 511 Publishing industries, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1093,5114,5178,5216,99853678,38971184,724963,1486,"",1.27,0.47,0.48,0.48,0.28,0.31,0.40,0.59,"",230,26.7,-427,-7.7,-375,-6.8,-167,-3.1,9979917,11.1,1188520,3.1,85570,13.4,227,18.0
"01000","5","511","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 511 Publishing industries, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1210,5283,5351,5431,103967710,6749521,135977,1493,"",1.32,0.49,0.50,0.50,0.31,0.37,0.53,0.62,"",314,35.0,340,6.9,443,9.0,560,11.5,22564258,27.7,1676948,33.1,61366,82.2,217,17.0
"01000","5","511","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 511 Publishing industries, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1300,5526,5532,5338,112744069,6131848,122275,1587,"",1.35,0.50,0.51,0.49,0.28,0.53,0.64,0.57,"",336,34.9,596,12.1,581,11.7,392,7.9,26747013,31.1,1701327,38.4,48436,65.6,249,18.6
"01001","5","511","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 511 Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,4,4,4,72847,30425,452,1401,"",0.50,0.07,0.07,0.07,0.04,0.05,0.05,0.68,"",0,0.0,0,0.0,0,0.0,0,0.0,-5445,-7.0,-1690,-5.3,201,80.1,-105,-7.0
"01001","5","511","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 511 Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","511","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 511 Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","511","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 511 Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",33,75,76,76,1299197,605502,11219,1321,"",0.74,0.18,0.19,0.18,0.12,0.13,0.18,0.68,"",15,83.3,4,5.6,4,5.6,6,8.6,191088,17.2,55172,10.0,2853,34.1,120,10.0
"01003","5","511","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 511 Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",39,73,79,82,1520611,116320,2741,1500,"",0.83,0.17,0.19,0.19,0.14,0.12,0.22,0.77,"",19,95.0,5,7.4,11,16.2,14,20.6,421574,38.4,71288,158.3,2141,356.8,257,20.7
"01003","5","511","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 511 Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,83,77,75,1481678,47608,1004,1455,"",0.81,0.19,0.18,0.18,0.11,0.08,0.11,0.63,"",17,73.9,14,20.3,8,11.6,7,10.3,337519,29.5,-47558,-50.0,-1340,-57.2,173,13.5
"01005","5","511","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 511 Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
