"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","512","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 512 Motion picture and sound recording industries","State, NAICS 3-digit -- by ownership sector","All establishment sizes",210,927,941,974,7681083,4402994,71418,624,"",0.47,0.25,0.21,0.22,0.09,0.16,0.08,0.42,"",2,1.0,-892,-49.0,-994,-51.4,-853,-46.7,-4359658,-36.2,-3478284,-44.1,-27461,-27.8,126,25.3
"01000","5","512","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 512 Motion picture and sound recording industries","State, NAICS 3-digit -- by ownership sector","All establishment sizes",220,1063,1186,1272,9802793,2495812,40407,642,"",0.48,0.25,0.24,0.27,0.11,0.29,0.13,0.45,"",15,7.3,70,7.0,249,26.6,327,34.6,3862010,65.0,1768890,243.3,33695,502.0,165,34.6
"01000","5","512","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 512 Motion picture and sound recording industries","State, NAICS 3-digit -- by ownership sector","All establishment sizes",225,1524,1567,1448,11513390,3099438,50943,585,"",0.48,0.29,0.28,0.27,0.12,0.32,0.15,0.43,"",19,9.2,726,91.0,726,86.3,462,46.9,5039691,77.8,2056370,197.1,38339,304.2,16,2.8
"01001","5","512","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","512","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","512","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","512","75","0","2021","1","N","Baldwin County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","512","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,49,51,54,280370,54016,755,420,"",0.68,0.30,0.26,0.28,0.10,0.12,0.05,0.36,"",1,6.7,-12,-19.7,-11,-17.7,-7,-11.5,64965,30.2,27726,105.5,599,384.0,150,55.6
"01003","5","512","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,48,50,50,347208,79738,917,541,"",0.67,0.23,0.23,0.24,0.11,0.17,0.06,0.48,"",0,0.0,5,11.6,8,19.0,-1,-2.0,126162,57.1,52865,196.7,677,282.1,166,44.3
"01015","5","512","75","0","2021","1","N","Calhoun County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512","75","0","2021","2","N","Calhoun County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512","75","0","2021","3","N","Calhoun County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","512","75","0","2021","1","N","Cleburne County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","512","75","0","2021","2","N","Cleburne County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.21,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","512","75","0","2021","3","N","Cleburne County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","512","75","0","2021","1","N","Coffee County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","512","75","0","2021","2","N","Coffee County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","512","75","0","2021","3","N","Coffee County, Alabama","Private","NAICS 512 Motion picture and sound recording industries","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
