"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","515","55","0","2021","1","","Alabama -- Statewide","State Government","NAICS 515 Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,37,37,37,483628,0,0,1005,"",8.32,2.84,2.83,2.85,4.01,0.00,0.00,1.41,"",0,0.0,1,2.8,0,0.0,-1,-2.6,21874,4.7,0,0.0,0,0.0,45,4.7
"01000","2","515","55","0","2021","2","","Alabama -- Statewide","State Government","NAICS 515 Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,37,37,37,582142,0,0,1210,"",8.34,2.87,2.92,2.91,4.50,0.00,0.00,1.55,"",0,0.0,-1,-2.6,-1,-2.6,-1,-2.6,-787,-0.1,0,0.0,0,0.0,30,2.5
"01000","2","515","55","0","2021","3","","Alabama -- Statewide","State Government","NAICS 515 Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,37,37,38,589408,0,0,1214,"",8.36,2.96,2.98,3.08,4.30,0.00,0.00,1.43,"",0,0.0,0,0.0,0,0.0,1,2.7,23947,4.2,0,0.0,0,0.0,38,3.2
"01000","5","515","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 515 Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",212,2847,2846,2842,40543547,20266511,394104,1096,"",1.76,0.87,0.87,0.87,0.53,0.85,0.84,0.61,"",12,6.0,-188,-6.2,-140,-4.7,-135,-4.5,-6671885,-14.1,-1372150,-6.3,157192,66.4,-115,-9.5
"01000","5","515","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 515 Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",212,2823,2837,2812,40184847,2270475,42836,1095,"",1.74,0.88,0.88,0.88,0.65,0.66,0.80,0.74,"",9,4.4,-134,-4.5,-53,-1.8,-71,-2.5,-227690,-0.6,-23313,-1.0,17164,66.9,27,2.5
"01000","5","515","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 515 Broadcasting, except internet","State, NAICS 3-digit -- by ownership sector","All establishment sizes",212,2796,2792,2779,40976651,1729695,32851,1130,"",1.74,0.87,0.87,0.88,0.62,0.73,0.82,0.71,"",6,2.9,-125,-4.3,-148,-5.0,-141,-4.8,580485,1.4,474919,37.8,18531,129.4,68,6.4
"01001","5","515","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","515","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","515","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","2","515","75","0","2021","1","N","Baldwin County, Alabama","State Government","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",23.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","2","515","75","0","2021","2","N","Baldwin County, Alabama","State Government","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",23.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","2","515","75","0","2021","3","N","Baldwin County, Alabama","State Government","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",23.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","515","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,69,68,69,763835,495486,7992,856,"",1.46,0.56,0.55,0.55,0.34,0.56,0.49,0.62,"",1,12.5,-6,-8.0,-7,-9.3,-7,-9.2,-58833,-7.2,-32227,-6.1,2079,35.2,16,1.9
"01003","5","515","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,66,63,61,837677,62454,903,1017,"",1.45,0.53,0.50,0.47,0.42,0.35,0.35,0.84,"",0,0.0,-8,-10.8,-14,-18.2,-13,-17.6,-113824,-12.0,-17894,-22.3,140,18.3,41,4.2
"01003","5","515","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,63,63,64,769263,28974,476,934,"",1.44,0.49,0.50,0.52,0.35,0.24,0.26,0.71,"",0,0.0,-11,-14.9,-13,-17.1,-10,-13.5,-35598,-4.4,-637,-2.2,213,81.0,105,12.7
"01009","5","515","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","515","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","515","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","515","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","515","75","0","2021","2","N","Butler County, Alabama","Private","NAICS 515 Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
