"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","517","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 517 Telecommunications","State, NAICS 3-digit -- by ownership sector","All establishment sizes",503,7117,7165,7149,144311869,55134102,1242193,1554,"",1.11,0.76,0.77,0.77,0.66,0.65,0.83,0.87,"",18,3.7,-516,-6.8,-453,-5.9,-488,-6.4,-6256971,-4.2,-4146242,-7.0,63129,5.4,36,2.4
"01000","5","517","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 517 Telecommunications","State, NAICS 3-digit -- by ownership sector","All establishment sizes",517,7161,7207,7309,133798752,6055089,126052,1424,"",1.13,0.78,0.79,0.80,0.75,0.51,0.74,0.95,"",34,7.0,-323,-4.3,-246,-3.3,-101,-1.4,-1541112,-1.1,3080515,103.6,73757,141.0,26,1.9
"01000","5","517","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 517 Telecommunications","State, NAICS 3-digit -- by ownership sector","All establishment sizes",523,7389,7399,7324,138752684,6002109,123452,1448,"",1.14,0.81,0.82,0.82,0.76,0.90,1.16,0.93,"",33,6.7,-17,-0.2,96,1.3,53,0.7,8107886,6.2,3692393,159.9,85216,222.9,76,5.5
"01001","5","517","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","517","75","0","2021","2","N","Autauga County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","517","75","0","2021","3","N","Autauga County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","517","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,121,123,122,2157542,873378,27664,1360,"",0.73,0.34,0.35,0.34,0.34,0.27,0.53,0.98,"",-7,-29.2,-4,-3.2,-4,-3.1,-9,-6.9,-94946,-4.2,-12489,-1.4,-969,-3.4,3,0.2
"01003","5","517","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,125,128,122,2185211,79895,1499,1345,"",0.73,0.35,0.36,0.33,0.38,0.13,0.18,1.10,"",-7,-29.2,15,13.6,7,5.8,0,0.0,73267,3.5,16342,25.7,135,9.9,-36,-2.6
"01003","5","517","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,137,134,125,2282511,78474,1764,1330,"",0.73,0.37,0.38,0.36,0.38,0.24,0.36,1.03,"",-2,-10.5,17,14.2,8,6.3,-2,-1.6,69783,3.2,48805,164.5,1183,203.6,-39,-2.8
"01005","5","517","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","517","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","517","75","0","2021","3","N","Barbour County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","517","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.79,0,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","517","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","517","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","517","75","0","2021","1","N","Bullock County, Alabama","Private","NAICS 517 Telecommunications","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
