"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","519","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,10,10,83887,0,0,645,"",1.39,0.14,0.14,0.14,0.07,0.00,0.00,0.51,"",0,0.0,-2,-16.7,-3,-23.1,-3,-23.1,-3953,-4.5,0,0.0,0,0.0,112,21.0
"01000","1","519","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,11,11,86462,0,0,605,"",1.33,0.16,0.16,0.16,0.06,0.00,0.00,0.39,"",0,0.0,1,10.0,1,10.0,1,10.0,3273,3.9,0,0.0,0,0.0,-35,-5.5
"01000","1","519","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,10,10,84779,0,0,631,"",1.30,0.16,0.14,0.15,0.07,0.00,0.00,0.47,"",0,0.0,1,10.0,1,11.1,0,0.0,3863,4.8,0,0.0,0,0.0,-13,-2.0
"01000","2","519","55","0","2021","1","N","Alabama -- Statewide","State Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","519","55","0","2021","2","N","Alabama -- Statewide","State Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","519","55","0","2021","3","N","Alabama -- Statewide","State Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","519","55","0","2021","1","","Alabama -- Statewide","Local Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",54,652,647,647,4076742,353090,5585,483,"",0.86,0.42,0.42,0.42,0.39,0.37,0.85,0.93,"",-1,-1.8,-60,-8.4,-70,-9.8,-77,-10.6,-279313,-6.4,-19935,-5.3,2514,81.9,16,3.4
"01000","3","519","55","0","2021","2","","Alabama -- Statewide","Local Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",54,666,664,682,4467021,175401,2829,512,"",0.86,0.43,0.43,0.44,0.38,0.46,1.22,0.89,"",-1,-1.8,-17,-2.5,13,2.0,10,1.5,-193863,-4.2,11728,7.2,1165,70.0,-24,-4.5
"01000","3","519","55","0","2021","3","","Alabama -- Statewide","Local Government","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",53,683,677,667,4600561,78926,1313,524,"",0.85,0.43,0.43,0.43,0.38,0.25,0.84,0.88,"",-2,-3.6,32,4.9,24,3.7,17,2.6,112820,2.5,-4075,-4.9,29,2.3,-6,-1.1
"01000","5","519","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",204,689,688,690,14741732,4896430,78355,1646,"",0.52,0.14,0.14,0.14,0.05,0.10,0.09,0.36,"",33,19.3,125,22.2,125,22.2,111,19.2,4482456,43.7,826663,20.3,28070,55.8,258,18.6
"01000","5","519","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",221,709,720,747,15696253,968423,16922,1665,"",0.54,0.14,0.14,0.15,0.06,0.15,0.17,0.39,"",49,28.5,148,26.4,156,27.7,188,33.6,6400049,68.8,393932,68.6,11258,198.8,391,30.7
"01000","5","519","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 519 Other information services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",235,776,790,765,15909966,922859,17119,1575,"",0.56,0.15,0.15,0.15,0.05,0.18,0.18,0.37,"",57,32.0,206,36.1,152,23.8,139,22.2,4651622,41.3,-166073,-15.3,7093,70.7,158,11.2
"01001","3","519","75","0","2021","1","N","Autauga County, Alabama","Local Government","NAICS 519 Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","519","75","0","2021","2","N","Autauga County, Alabama","Local Government","NAICS 519 Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","519","75","0","2021","3","N","Autauga County, Alabama","Local Government","NAICS 519 Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","519","75","0","2021","1","N","Baldwin County, Alabama","Local Government","NAICS 519 Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","519","75","0","2021","2","N","Baldwin County, Alabama","Local Government","NAICS 519 Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","519","75","0","2021","3","N","Baldwin County, Alabama","Local Government","NAICS 519 Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
