"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","521","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,27,27,28,824257,217929,2662,2320,"",0.51,0.09,0.09,0.10,0.11,0.09,0.08,1.16,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","521","55","0","2021","2","N","Alabama -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","521","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",5,29,28,29,812392,18597,462,2180,"",0.57,0.10,0.10,0.10,0.11,0.16,0.34,1.10,"N",3,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","521","75","0","2021","1","N","Jefferson County, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","521","75","0","2021","2","N","Jefferson County, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","521","75","0","2021","3","N","Jefferson County, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","521","75","0","2021","1","N","Shelby County, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.80,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","521","75","0","2021","2","N","Shelby County, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.66,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","521","75","0","2021","3","N","Shelby County, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.51,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","521","75","0","2021","1","N","Unknown Or Undefined, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.18,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","521","75","0","2021","2","N","Unknown Or Undefined, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.01,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","521","75","0","2021","3","N","Unknown Or Undefined, Alabama","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.77,0,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","521","55","0","2021","1","","Arizona -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",13,106,105,105,2681267,810339,5265,1958,"",1.28,0.25,0.24,0.25,0.21,0.21,0.08,0.85,"",5,62.5,43,68.3,38,56.7,39,59.1,1210614,82.3,324193,66.7,1282,32.2,226,13.0
"04000","5","521","55","0","2021","2","","Arizona -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",13,104,106,111,2521314,96502,471,1813,"",1.21,0.24,0.25,0.26,0.20,0.43,0.20,0.80,"",5,62.5,38,57.6,41,63.1,40,56.3,969788,62.5,61775,177.9,78,19.8,41,2.3
"04000","5","521","55","0","2021","3","","Arizona -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",13,112,115,117,2681322,138125,824,1799,"",1.13,0.26,0.27,0.28,0.21,0.86,0.33,0.80,"",0,0.0,19,20.4,18,18.6,17,17.0,607195,29.3,67281,95.0,292,54.9,149,9.0
"04013","5","521","75","0","2021","1","","Maricopa County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,86,86,85,2272896,643334,4730,2041,"",1.22,0.28,0.28,0.28,0.23,0.23,0.11,0.83,"",2,33.3,26,43.3,22,34.4,21,32.8,853331,60.1,177034,38.0,1221,34.8,298,17.1
"04013","5","521","75","0","2021","2","","Maricopa County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,84,85,90,2027127,53656,330,1806,"",1.14,0.28,0.28,0.30,0.22,0.33,0.20,0.76,"",2,33.3,20,31.2,22,34.9,21,30.4,574932,39.6,22670,73.2,-5,-1.5,96,5.6
"04013","5","521","75","0","2021","3","","Maricopa County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,90,93,94,2265952,92599,758,1888,"",1.08,0.30,0.30,0.31,0.24,0.78,0.42,0.80,"",0,0.0,14,18.4,12,14.8,12,14.6,487792,27.4,39507,74.4,248,48.6,171,10.0
"04019","5","521","75","0","2021","1","N","Pima County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.78,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","521","75","0","2021","2","N","Pima County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","521","75","0","2021","3","N","Pima County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04025","5","521","75","0","2021","1","N","Yavapai County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.72,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04025","5","521","75","0","2021","2","N","Yavapai County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.37,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04025","5","521","75","0","2021","3","N","Yavapai County, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","521","75","0","2021","1","N","Unknown Or Undefined, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","521","75","0","2021","2","N","Unknown Or Undefined, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","521","75","0","2021","3","N","Unknown Or Undefined, Arizona","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","521","55","0","2021","1","N","Arkansas -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","521","55","0","2021","2","N","Arkansas -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","521","55","0","2021","3","N","Arkansas -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05119","5","521","75","0","2021","1","N","Pulaski County, Arkansas","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05119","5","521","75","0","2021","2","N","Pulaski County, Arkansas","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05119","5","521","75","0","2021","3","N","Pulaski County, Arkansas","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05999","5","521","75","0","2021","1","N","Unknown Or Undefined, Arkansas","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.58,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05999","5","521","75","0","2021","2","N","Unknown Or Undefined, Arkansas","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05999","5","521","75","0","2021","3","N","Unknown Or Undefined, Arkansas","Private","NAICS 521 Monetary authorities - central bank","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","521","55","0","2021","1","","California -- Statewide","Private","NAICS 521 Monetary authorities - central bank","State, NAICS 3-digit -- by ownership sector","All establishment sizes",43,1819,1823,1827,73540449,12654195,377492,3103,"",0.46,0.76,0.75,0.75,0.71,0.59,0.62,0.95,"",5,13.2,-161,-8.1,-162,-8.2,-152,-7.7,-1376519,-1.8,-1329094,-9.5,-120599,-24.2,194,6.7
