"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","532","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 532 Rental and leasing services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",911,6337,6338,6446,80190322,43235842,679696,968,"",1.32,1.01,1.01,1.02,1.08,1.04,0.98,1.07,"",23,2.6,-897,-12.4,-869,-12.1,-815,-11.2,-5198341,-6.1,-4058953,-8.6,147672,27.8,60,6.6
"01000","5","532","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 532 Rental and leasing services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",924,6596,6764,6862,86314520,10336468,167562,985,"",1.33,1.03,1.04,1.02,1.08,0.99,0.94,1.05,"",29,3.2,379,6.1,626,10.2,491,7.7,12404998,16.8,3642456,54.4,92009,121.8,74,8.1
"01000","5","532","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 532 Rental and leasing services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",928,6888,6896,6853,90924814,8792418,146766,1017,"",1.33,1.00,1.00,1.01,1.06,1.03,0.92,1.06,"",24,2.7,479,7.5,463,7.2,404,6.3,12134342,15.4,3012156,52.1,77752,112.7,74,7.8
"01001","5","532","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,26,28,27,248340,182378,3235,708,"",1.46,0.74,0.79,0.75,0.72,0.91,0.91,0.95,"",-1,-12.5,-13,-33.3,-13,-31.7,-15,-35.7,-90924,-26.8,-84711,-31.7,-612,-15.9,66,10.3
"01001","5","532","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,26,26,26,268215,26833,494,794,"",1.47,0.72,0.70,0.68,0.75,0.46,0.47,1.07,"",-1,-12.5,-1,-3.7,-2,-7.1,-4,-13.3,10040,3.9,121,0.5,228,85.7,93,13.3
"01001","5","532","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,26,26,28,254204,15444,237,733,"",1.25,0.67,0.67,0.73,0.62,0.33,0.26,0.90,"",-2,-25.0,-2,-7.1,-2,-7.1,-1,-3.4,14774,6.2,740,5.0,80,51.0,83,12.8
"01003","5","532","75","0","2021","1","N","Baldwin County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",51,0,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","532","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",53,349,436,472,4618834,1324978,16220,848,"",1.49,1.40,1.69,1.74,1.80,2.44,1.88,1.11,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","532","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",53,441,395,347,5819908,917384,11702,1135,"",1.48,1.59,1.45,1.31,2.06,2.17,1.62,1.42,"N",-1,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","532","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","532","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","532","75","0","2021","3","N","Barbour County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","532","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","532","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","532","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","532","75","0","2021","1","","Blount County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,14,15,16,119957,82443,1239,615,"",1.18,0.52,0.55,0.58,0.52,0.54,0.54,0.95,"",1,25.0,-9,-39.1,-8,-34.8,-7,-30.4,-9623,-7.4,-9073,-9.9,488,65.0,182,42.0
"01009","5","532","75","0","2021","2","","Blount County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,15,14,13,148102,26211,387,814,"",1.17,0.54,0.49,0.44,0.57,0.59,0.55,1.17,"",1,25.0,2,15.4,2,16.7,1,8.3,31459,27.0,7116,37.3,234,152.9,86,11.8
"01009","5","532","75","0","2021","3","","Blount County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,15,15,16,134889,17603,259,677,"",1.17,0.51,0.51,0.55,0.48,0.54,0.47,0.92,"",1,25.0,3,25.0,3,25.0,4,33.3,14387,11.9,6251,55.1,168,184.6,-95,-12.3
"01013","5","532","75","0","2021","1","N","Butler County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","532","75","0","2021","2","N","Butler County, Alabama","Private","NAICS 532 Rental and leasing services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
