"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","533","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 533 Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",53,135,142,141,2547365,1061830,21105,1406,"",1.24,0.49,0.51,0.51,0.36,0.43,0.46,0.71,"",5,10.4,32,31.1,37,35.2,39,38.2,276924,12.2,295085,38.5,10386,96.9,-284,-16.8
"01000","5","533","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 533 Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",54,146,151,162,2366783,187535,4225,1190,"",1.25,0.52,0.53,0.57,0.37,0.47,0.63,0.68,"",4,8.0,47,47.5,55,57.3,59,57.3,672056,39.7,70865,60.7,2739,184.3,-122,-9.3
"01000","5","533","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 533 Lessors of nonfinancial intangible assets","State, NAICS 3-digit -- by ownership sector","All establishment sizes",53,169,165,164,3188706,278989,6843,1478,"",1.22,0.59,0.58,0.58,0.47,0.97,1.35,0.81,"",4,8.2,63,59.4,62,60.2,66,67.3,1332425,71.8,195997,236.2,5337,354.4,83,5.9
"01003","5","533","75","0","2021","1","N","Baldwin County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","533","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,12,14,188914,16948,458,1147,"",1.36,1.09,1.08,1.23,0.91,0.81,1.40,0.80,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","533","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,14,13,13,250847,11044,298,1447,"",1.35,1.22,1.16,1.18,1.13,0.77,1.29,0.95,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","533","75","0","2021","1","N","Coffee County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","533","75","0","2021","2","N","Coffee County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","533","75","0","2021","3","N","Coffee County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","533","75","0","2021","1","N","Escambia County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","533","75","0","2021","2","N","Escambia County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","533","75","0","2021","3","N","Escambia County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","533","75","0","2021","1","N","Etowah County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","533","75","0","2021","2","N","Etowah County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","533","75","0","2021","3","N","Etowah County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","533","75","0","2021","1","N","Houston County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","533","75","0","2021","2","N","Houston County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","533","75","0","2021","3","N","Houston County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","533","75","0","2021","1","","Jefferson County, Alabama","Private","NAICS 533 Lessors of nonfinancial intangible assets","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,58,60,60,736687,447743,10556,955,"",1.27,1.20,1.23,1.24,0.48,1.00,1.35,0.40,"",0,0.0,36,163.6,36,150.0,36,150.0,365583,98.5,287288,179.0,7291,223.3,-268,-21.9
