"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","562","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,10,9,75391,0,0,580,"",7.85,6.34,5.86,5.39,6.75,0.00,0.00,1.15,"",0,0.0,-2,-15.4,-2,-16.7,-3,-25.0,-25624,-25.4,0,0.0,0,0.0,-50,-7.9
"01000","1","562","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,10,8,64418,0,0,531,"",8.28,5.89,6.06,5.02,5.77,0.00,0.00,1.02,"",0,0.0,-1,-9.1,-2,-16.7,-3,-27.3,-32939,-33.8,0,0.0,0,0.0,-130,-19.7
"01000","1","562","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,9,9,70976,0,0,607,"",8.30,5.49,5.57,5.70,6.01,0.00,0.00,1.08,"",0,0.0,-2,-18.2,-3,-25.0,-3,-25.0,-20873,-22.7,0,0.0,0,0.0,1,0.2
"01000","3","562","55","0","2021","1","","Alabama -- Statewide","Local Government","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,98,100,101,1254435,343876,4686,968,"",0.55,0.29,0.30,0.30,0.39,1.26,1.54,1.32,"",1,14.3,-11,-10.1,-12,-10.7,-9,-8.2,-154821,-11.0,-80202,-18.9,895,23.6,-15,-1.5
"01000","3","562","55","0","2021","2","","Alabama -- Statewide","Local Government","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,98,99,99,1355443,46433,681,1057,"",0.55,0.29,0.29,0.29,0.39,0.57,1.06,1.33,"",1,14.3,-16,-14.0,-10,-9.2,-10,-9.2,-26281,-1.9,-9600,-17.1,242,55.1,97,10.1
"01000","3","562","55","0","2021","3","","Alabama -- Statewide","Local Government","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,103,103,102,1417638,30706,412,1062,"",0.55,0.30,0.31,0.31,0.39,0.57,0.94,1.26,"",1,14.3,-2,-1.9,2,2.0,1,1.0,-79205,-5.3,17391,130.6,331,408.6,-63,-5.6
"01000","5","562","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",489,6158,6103,6098,85407116,46463924,820156,1074,"",1.22,1.00,1.00,0.99,1.15,0.99,0.98,1.15,"",54,12.4,566,10.1,416,7.3,413,7.3,5683741,7.1,3886373,9.1,354950,76.3,-11,-1.0
"01000","5","562","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",507,6077,6105,6190,91593830,8350760,150091,1151,"",1.25,0.99,0.99,1.00,1.13,0.71,0.71,1.14,"",65,14.7,547,9.9,544,9.8,662,12.0,15714915,20.7,2485830,42.4,79316,112.1,97,9.2
"01000","5","562","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 562 Waste management and remediation services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",515,6216,6156,6205,91988302,7314694,134798,1143,"",1.26,0.99,0.98,1.00,1.08,0.89,0.86,1.09,"",56,12.2,693,12.5,622,11.2,652,11.7,14054089,18.0,2328071,46.7,69038,105.0,60,5.5
"01001","5","562","75","0","2021","1","N","Autauga County, Alabama","Private","NAICS 562 Waste management and remediation services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
