"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","622","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,5705,5728,5799,106749767,0,0,1430,"",1.63,1.14,1.14,1.16,1.32,0.00,0.00,1.15,"",0,0.0,48,0.8,98,1.7,184,3.3,3539970,3.4,0,0.0,0,0.0,21,1.5
"01000","1","622","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,5759,5732,5745,121427165,0,0,1626,"",1.64,1.16,1.16,1.17,1.27,0.00,0.00,1.09,"",0,0.0,211,3.8,151,2.7,130,2.3,6010868,5.2,0,0.0,0,0.0,35,2.2
"01000","1","622","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,5702,5698,5709,106960670,0,0,1443,"",1.64,1.16,1.17,1.18,1.24,0.00,0.00,1.06,"",0,0.0,29,0.5,71,1.3,58,1.0,-1095269,-1.0,0,0.0,0,0.0,-28,-1.9
"01000","2","622","55","0","2021","1","","Alabama -- Statewide","State Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",14,17334,17345,17378,238780212,0,0,1059,"",1.00,3.13,3.13,3.14,3.10,0.00,0.00,0.99,"",0,0.0,171,1.0,176,1.0,171,1.0,10840935,4.8,0,0.0,0,0.0,38,3.7
"01000","2","622","55","0","2021","2","","Alabama -- Statewide","State Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",14,17576,17541,17629,252984223,0,0,1107,"",1.00,3.21,3.23,3.24,3.16,0.00,0.00,0.98,"",0,0.0,806,4.8,715,4.2,772,4.6,26708836,11.8,0,0.0,0,0.0,72,7.0
"01000","2","622","55","0","2021","3","","Alabama -- Statewide","State Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",14,17405,17539,17436,265332397,0,0,1169,"",0.97,3.15,3.20,3.19,2.94,0.00,0.00,0.93,"",0,0.0,662,4.0,794,4.7,756,4.5,26870904,11.3,0,0.0,0,0.0,72,6.6
"01000","3","622","55","0","2021","1","","Alabama -- Statewide","Local Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",37,28935,29020,29009,382201910,2330048,27162,1014,"",2.17,3.10,3.11,3.12,3.24,0.62,1.51,1.04,"",1,2.8,-245,-0.8,-293,-1.0,-307,-1.0,-6878831,-1.8,-674346,-22.4,4531,20.0,-9,-0.9
"01000","3","622","55","0","2021","2","","Alabama -- Statewide","Local Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",37,29009,28901,29025,420523113,868941,10015,1116,"",2.17,3.13,3.14,3.15,3.24,0.49,1.64,1.03,"",0,0.0,668,2.4,686,2.4,561,2.0,62439288,17.4,-52234,-5.7,3070,44.2,144,14.8
"01000","3","622","55","0","2021","3","","Alabama -- Statewide","Local Government","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",37,29311,29250,29096,437383178,431273,5059,1151,"",2.18,3.17,3.20,3.21,3.21,0.26,0.96,1.01,"",0,0.0,502,1.7,265,0.9,-7,0.0,31728515,7.8,139048,47.6,2961,141.1,74,6.9
"01000","5","622","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 622 Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",189,45434,45228,45186,586734295,169142711,2078347,997,"",1.25,0.65,0.65,0.65,0.65,1.93,2.41,1.01,"",4,2.2,-1449,-3.1,-1601,-3.4,-1440,-3.1,-3364254,-0.6,-7993946,-4.5,888870,74.7,27,2.8
