"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","712","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,8,8,141334,0,0,1418,"",0.14,0.03,0.03,0.03,0.04,0.00,0.00,1.29,"",0,0.0,2,40.0,3,60.0,3,60.0,7375,5.5,0,0.0,0,0.0,-643,-31.2
"01000","1","712","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,10,9,143917,0,0,1107,"",0.14,0.04,0.03,0.03,0.03,0.00,0.00,0.91,"",0,0.0,7,175.0,7,233.3,3,50.0,66535,86.0,0,0.0,0,0.0,-267,-19.4
"01000","1","712","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,9,9,125077,0,0,1110,"",0.14,0.02,0.03,0.03,0.03,0.00,0.00,1.00,"",0,0.0,3,60.0,3,50.0,3,50.0,44290,54.8,0,0.0,0,0.0,13,1.2
"01000","2","712","55","0","2021","1","N","Alabama -- Statewide","State Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","712","55","0","2021","2","N","Alabama -- Statewide","State Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","712","55","0","2021","3","N","Alabama -- Statewide","State Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","712","55","0","2021","1","","Alabama -- Statewide","Local Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,168,143,140,1648130,394524,5065,843,"",0.64,0.41,0.35,0.33,0.60,1.97,1.43,1.65,"",0,0.0,-50,-22.9,-55,-27.8,-62,-30.7,-533623,-24.5,-8069,-2.0,2020,66.3,28,3.4
"01000","3","712","55","0","2021","2","","Alabama -- Statewide","Local Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,144,148,146,1877882,42185,531,989,"",0.65,0.33,0.31,0.26,0.57,0.84,0.74,1.93,"",0,0.0,-19,-11.7,12,8.8,3,2.1,-482094,-20.4,-21595,-33.9,98,22.6,-243,-19.7
"01000","3","712","55","0","2021","3","","Alabama -- Statewide","Local Government","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,144,145,148,1958798,25082,322,1034,"",0.65,0.24,0.26,0.30,0.54,0.48,0.43,2.00,"",0,0.0,-10,-6.5,-12,-7.6,-5,-3.3,-247590,-11.2,127,0.5,149,86.1,-63,-5.7
"01000","5","712","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 712 Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",51,862,828,877,6318452,4225441,67026,568,"",0.57,0.54,0.51,0.52,0.47,0.91,0.97,0.90,"",1,2.0,-650,-43.0,-772,-48.2,-765,-46.6,-2854431,-31.1,-717312,-14.5,20065,42.7,123,27.6
