"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","721","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,158,156,156,710244,0,0,349,"",2.18,2.32,2.30,2.32,1.86,0.00,0.00,0.81,"",1,20.0,-20,-11.2,-17,-9.8,-18,-10.3,-170051,-19.3,0,0.0,0,0.0,-38,-9.8
"01000","1","721","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",5,151,144,138,682402,0,0,364,"",1.83,2.28,2.19,2.11,1.74,0.00,0.00,0.79,"",0,0.0,-18,-10.7,-29,-16.8,-33,-19.3,-51677,-7.0,0,0.0,0,0.0,34,10.3
"01000","1","721","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",5,138,131,127,725667,0,0,423,"",1.84,2.12,2.05,2.03,1.68,0.00,0.00,0.81,"",0,0.0,-35,-20.2,-38,-22.5,-36,-22.1,-159693,-18.0,0,0.0,0,0.0,18,4.4
"01000","2","721","55","0","2021","1","N","Alabama -- Statewide","State Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","721","55","0","2021","2","N","Alabama -- Statewide","State Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","721","55","0","2021","3","N","Alabama -- Statewide","State Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","721","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","721","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","721","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","721","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1157,13003,13305,13786,72419105,59630849,926842,417,"",1.23,0.79,0.78,0.79,0.61,0.73,0.76,0.78,"",47,4.2,-4092,-23.9,-4226,-24.1,-3938,-22.2,-23950977,-24.9,-19103325,-24.3,111862,13.7,-8,-1.9
"01000","5","721","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1168,14829,15184,15814,94335317,40516451,661528,475,"",1.23,0.80,0.77,0.74,0.64,0.96,0.95,0.83,"",55,4.9,3073,26.1,2407,18.8,2309,17.1,26839275,39.8,13235579,48.5,357505,117.6,66,16.1
"01000","5","721","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 721 Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1175,16674,16537,15773,103078403,30251265,508196,486,"",1.23,0.72,0.72,0.71,0.57,0.68,0.66,0.80,"",57,5.1,2877,20.9,2704,19.5,2488,18.7,27422239,36.2,10139161,50.4,264204,108.3,59,13.8
