"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","811","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,457,459,457,14170902,0,0,2382,"",2.06,57.40,57.56,57.48,88.00,0.00,0.00,1.53,"",0,0.0,36,8.6,32,7.5,30,7.0,700393,5.2,0,0.0,0,0.0,-56,-2.3
"01000","1","811","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,458,457,462,13699446,0,0,2296,"",2.07,58.06,58.51,58.68,84.54,0.00,0.00,1.45,"",0,0.0,27,6.3,27,6.3,27,6.2,2194670,19.1,0,0.0,0,0.0,247,12.1
"01000","1","811","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,461,458,459,14614349,0,0,2447,"",2.13,58.62,59.12,59.35,83.26,0.00,0.00,1.41,"",0,0.0,24,5.5,21,4.8,18,4.1,1149997,8.5,0,0.0,0,0.0,84,3.6
"01000","3","811","55","0","2021","1","","Alabama -- Statewide","Local Government","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",20,237,234,239,3121536,0,0,1015,"",2.64,1.25,1.24,1.26,1.68,0.00,0.00,1.34,"",0,0.0,-4,-1.7,-3,-1.3,2,0.8,427940,15.9,0,0.0,0,0.0,146,16.8
"01000","3","811","55","0","2021","2","","Alabama -- Statewide","Local Government","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",20,239,239,265,3211970,0,0,998,"",2.65,1.34,1.34,1.48,1.74,0.00,0.00,1.25,"",0,0.0,2,0.8,10,4.4,35,15.2,529931,19.8,0,0.0,0,0.0,109,12.3
"01000","3","811","55","0","2021","3","","Alabama -- Statewide","Local Government","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",20,260,257,243,3380225,0,0,1026,"",2.65,1.58,1.53,1.38,1.84,0.00,0.00,1.23,"",0,0.0,27,11.6,14,5.8,4,1.7,398685,13.4,0,0.0,0,0.0,64,6.7
"01000","5","811","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3439,19329,19659,20067,244195639,138512664,2562139,954,"",1.15,1.09,1.10,1.11,1.50,1.20,1.52,1.36,"",121,3.6,-152,-0.8,1,0.0,128,0.6,781510,0.3,-37218,0.0,831974,48.1,3,0.3
"01000","5","811","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3461,20256,19950,20217,260871984,33464458,719545,996,"",1.15,1.12,1.10,1.11,1.40,1.07,1.55,1.26,"",143,4.3,2295,12.8,1233,6.6,1068,5.6,37755616,16.9,8620555,34.7,373233,107.8,74,8.0
"01000","5","811","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 811 Repair and maintenance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3479,20156,20037,20159,256171146,23714473,466359,980,"",1.15,1.10,1.10,1.12,1.33,1.08,1.43,1.20,"",104,3.1,1206,6.4,997,5.2,815,4.2,27397814,12.0,2175782,10.1,120053,34.7,59,6.4
"01001","5","811","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 811 Repair and maintenance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,87,86,87,849261,607710,8336,754,"",1.16,0.87,0.86,0.85,1.13,1.10,0.97,1.32,"",0,0.0,-1,-1.1,-4,-4.4,-17,-16.3,-169690,-16.7,-37857,-5.9,2100,33.7,-80,-9.6
