"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","813","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,9143,0,0,703,"",2.24,0.03,0.03,0.03,0.03,0.00,0.00,1.05,"",0,0.0,0,0.0,0,0.0,0,0.0,-2233,-19.6,0,0.0,0,0.0,-172,-19.7
"01000","1","813","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,9166,0,0,705,"",2.31,0.03,0.03,0.03,0.03,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,107,1.2,0,0.0,0,0.0,8,1.1
"01000","1","813","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,10799,0,0,831,"",2.25,0.03,0.03,0.03,0.03,0.00,0.00,1.15,"",0,0.0,0,0.0,0,0.0,0,0.0,501,4.9,0,0.0,0,0.0,39,4.9
"01000","2","813","55","0","2021","1","N","Alabama -- Statewide","State Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","813","55","0","2021","2","N","Alabama -- Statewide","State Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","813","55","0","2021","3","N","Alabama -- Statewide","State Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","813","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,0,"N",1.55,0,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","813","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","813","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","813","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 813 Membership associations and organizations","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1354,7354,7443,7451,81544131,41650793,745805,846,"",0.68,0.45,0.45,0.45,0.47,0.57,0.61,1.03,"",43,3.3,-603,-7.6,-699,-8.6,-523,-6.6,-3330029,-3.9,-1737881,-4.0,207606,38.6,32,3.9
