"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","814","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 814 Private households","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1994,1876,1869,1877,11026758,8819623,154170,453,"",0.77,0.62,0.61,0.62,0.57,0.60,0.63,0.93,"",59,3.0,-441,-19.0,-445,-19.2,-373,-16.6,-1096729,-9.0,-1283459,-12.7,24949,19.3,46,11.3
"01000","5","814","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 814 Private households","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1927,1952,1916,1894,11324823,3777873,65704,454,"",0.74,0.64,0.63,0.63,0.54,0.81,0.81,0.85,"",-10,-0.5,-81,-4.0,-133,-6.5,-130,-6.4,219374,2.0,-55829,-1.5,15665,31.3,34,8.1
"01000","5","814","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 814 Private households","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1929,1869,1840,1846,10710720,2102456,38380,445,"",0.74,0.63,0.63,0.64,0.51,0.60,0.65,0.81,"",-60,-3.0,-71,-3.7,-111,-5.7,-119,-6.1,-475090,-4.2,-591490,-22.0,-4537,-10.6,4,0.9
"01001","5","814","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,12,14,15,61840,57220,1197,348,"",1.05,0.70,0.82,0.87,0.70,0.81,0.96,0.88,"",6,46.2,1,9.1,3,27.3,4,36.4,6642,12.0,7458,15.0,235,24.4,-38,-9.8
"01001","5","814","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,15,15,14,67693,40724,816,355,"",1.01,0.86,0.87,0.82,0.72,1.56,1.71,0.84,"",5,38.5,4,36.4,4,36.4,3,27.3,14408,27.0,14746,56.8,391,92.0,-18,-4.8
"01001","5","814","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,13,14,14,58253,6916,169,328,"",1.00,0.77,0.85,0.86,0.59,0.37,0.50,0.71,"",4,28.6,3,30.0,4,40.0,3,27.3,18539,46.7,-4226,-37.9,-66,-28.1,32,10.8
"01003","5","814","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",95,87,82,87,724878,508800,8789,653,"",0.71,0.76,0.71,0.74,1.28,0.93,1.03,1.73,"",2,2.2,-10,-10.3,-21,-20.4,-14,-13.9,70550,10.8,-10032,-1.9,357,4.2,151,30.1
"01003","5","814","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",80,84,86,87,675659,145978,2404,607,"",0.60,0.71,0.72,0.72,1.00,0.60,0.61,1.39,"",-10,-11.1,-9,-9.7,-9,-9.5,-5,-5.4,38699,6.1,-22581,-13.4,-120,-4.8,82,15.6
"01003","5","814","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",85,88,87,85,701150,83275,1502,622,"",0.64,0.73,0.75,0.76,1.02,0.48,0.56,1.37,"",-7,-7.6,-1,-1.1,-3,-3.3,-5,-5.6,14928,2.2,-34991,-29.6,-897,-37.4,33,5.6
"01005","5","814","75","0","2021","1","N","Barbour County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","814","75","0","2021","2","N","Barbour County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","814","75","0","2021","3","","Barbour County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,6,6,22620,4113,76,290,"",0.28,0.52,0.53,0.54,0.37,0.31,0.32,0.70,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","814","75","0","2021","1","","Bibb County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,4,4,4,14801,14801,171,285,"",0.70,0.54,0.53,0.54,0.38,0.43,0.31,0.71,"",0,0.0,-2,-33.3,-2,-33.3,-2,-33.3,-6791,-31.5,-6791,-31.5,43,33.6,8,2.9
"01007","5","814","75","0","2021","2","","Bibb County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,6,6,6,13487,10516,120,173,"",0.70,0.81,0.82,0.82,0.31,1.02,0.73,0.38,"",0,0.0,-2,-25.0,-2,-25.0,-2,-25.0,-1159,-7.9,-2997,-22.2,40,50.0,32,22.7
"01007","5","814","75","0","2021","3","","Bibb County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,7,8,6,14878,8860,148,163,"",0.84,0.98,1.14,0.86,0.35,1.23,1.32,0.36,"",1,20.0,2,40.0,3,60.0,1,20.0,629,4.4,-1057,-10.7,89,150.8,-56,-25.6
"01009","5","814","75","0","2021","1","N","Blount County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","814","75","0","2021","2","N","Blount County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","814","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","814","75","0","2021","1","N","Bullock County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","814","75","0","2021","2","N","Bullock County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","814","75","0","2021","3","N","Bullock County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","814","75","0","2021","1","","Butler County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,7,7,7,30429,30429,349,334,"",0.94,0.69,0.69,0.69,0.66,0.64,0.37,0.96,"",-1,-10.0,-7,-50.0,-7,-50.0,-7,-50.0,-23391,-43.5,-19884,-39.5,-956,-73.3,38,12.8
"01013","5","814","75","0","2021","2","","Butler County, Alabama","Private","NAICS 814 Private households","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,7,7,7,33182,17806,205,365,"",0.85,0.70,0.71,0.71,0.65,1.07,0.64,0.91,"",-2,-20.0,-5,-41.7,-4,-36.4,-4,-36.4,-13870,-29.5,-10293,-36.6,-375,-64.7,46,14.4
