"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","925","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,44,44,44,1137421,0,0,1988,"",1.97,0.35,0.35,0.35,0.41,0.00,0.00,1.17,"",1,33.3,3,7.3,4,10.0,3,7.3,90992,8.7,0,0.0,0,0.0,9,0.5
"01000","1","925","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,45,44,45,1313627,0,0,2262,"",1.87,0.36,0.35,0.36,0.39,0.00,0.00,1.08,"",1,33.3,5,12.5,4,10.0,3,7.1,68968,5.5,0,0.0,0,0.0,-92,-3.9
"01000","1","925","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,43,42,41,1112250,0,0,2037,"",1.87,0.34,0.34,0.33,0.38,0.00,0.00,1.12,"",1,33.3,2,4.9,1,2.4,0,0.0,61945,5.9,0,0.0,0,0.0,66,3.3
"01000","2","925","55","0","2021","1","","Alabama -- Statewide","State Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,107,107,108,1385846,0,0,993,"",0.56,0.73,0.72,0.73,0.68,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,-185860,-11.8,0,0.0,0,0.0,-133,-11.8
"01000","2","925","55","0","2021","2","","Alabama -- Statewide","State Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,109,108,108,1715225,0,0,1218,"",0.56,0.74,0.73,0.73,0.80,0.00,0.00,1.09,"",0,0.0,1,0.9,2,1.9,2,1.9,-8230,-0.5,0,0.0,0,0.0,-25,-2.0
"01000","2","925","55","0","2021","3","","Alabama -- Statewide","State Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,111,112,110,1722161,0,0,1193,"",0.56,0.78,0.79,0.78,0.76,0.00,0.00,0.97,"",0,0.0,3,2.8,2,1.8,1,0.9,116045,7.2,0,0.0,0,0.0,60,5.3
"01000","3","925","55","0","2021","1","","Alabama -- Statewide","Local Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",24,979,980,977,8993195,3539685,42953,707,"",0.50,0.90,0.91,0.91,0.75,1.33,1.40,0.83,"",-1,-4.0,-222,-18.5,-230,-19.0,-228,-18.9,46174,0.5,-197042,-5.3,14169,49.2,136,23.8
"01000","3","925","55","0","2021","2","","Alabama -- Statewide","Local Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",24,975,987,1001,9712424,736065,9430,756,"",0.50,0.91,0.92,0.92,0.73,0.81,1.18,0.80,"",0,0.0,-161,-14.2,-149,-13.1,-160,-13.8,780577,8.7,-969,-0.1,3791,67.2,156,26.0
"01000","3","925","55","0","2021","3","","Alabama -- Statewide","Local Government","NAICS 925 Community and housing program administration","State, NAICS 3-digit -- by ownership sector","All establishment sizes",24,1012,1015,1021,10193382,565791,6957,772,"",0.50,0.91,0.92,0.94,0.75,0.72,1.05,0.81,"",0,0.0,-176,-14.8,-121,-10.7,-156,-13.3,875432,9.4,-71020,-11.2,1636,30.7,158,25.7
"01003","2","925","75","0","2021","1","N","Baldwin County, Alabama","State Government","NAICS 925 Community and housing program administration","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
