"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","927","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 927 Space research and technology","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,2336,2362,2365,67484423,0,0,2205,"",5.78,9.55,9.57,9.58,11.82,0.00,0.00,1.24,"",0,0.0,88,3.9,105,4.7,105,4.6,2858037,4.4,0,0.0,0,0.0,0,0.0
"01000","1","927","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 927 Space research and technology","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,2370,2369,2407,79467631,0,0,2566,"",5.67,9.70,9.72,9.74,11.35,0.00,0.00,1.17,"",0,0.0,100,4.4,64,2.8,63,2.7,3037600,4.0,0,0.0,0,0.0,17,0.7
"01000","1","927","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 927 Space research and technology","State, NAICS 3-digit -- by ownership sector","All establishment sizes",7,2404,2397,2381,74797310,0,0,2403,"",5.69,9.72,9.78,9.82,11.37,0.00,0.00,1.16,"",0,0.0,51,2.2,39,1.7,-18,-0.8,2600089,3.6,0,0.0,0,0.0,60,2.6
"01089","1","927","75","0","2021","1","","Madison County, Alabama","Federal Government","NAICS 927 Space research and technology","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,2329,2355,2358,67291893,0,0,2205,"",62.60,89.23,89.56,89.49,87.52,0.00,0.00,0.98,"",0,0.0,88,3.9,105,4.7,105,4.7,2882680,4.5,0,0.0,0,0.0,1,0.0
"01089","1","927","75","0","2021","2","","Madison County, Alabama","Federal Government","NAICS 927 Space research and technology","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,2363,2362,2400,79239506,0,0,2566,"",61.30,90.49,90.36,90.42,82.68,0.00,0.00,0.91,"",0,0.0,100,4.4,63,2.7,65,2.8,3060528,4.0,0,0.0,0,0.0,17,0.7
"01089","1","927","75","0","2021","3","","Madison County, Alabama","Federal Government","NAICS 927 Space research and technology","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,2397,2390,2374,74581595,0,0,2403,"",61.55,90.73,91.02,92.13,81.98,0.00,0.00,0.90,"",0,0.0,51,2.2,39,1.7,-18,-0.8,2589660,3.6,0,0.0,0,0.0,59,2.5
"01999","1","927","75","0","2021","1","","Unknown Or Undefined, Alabama","Federal Government","NAICS 927 Space research and technology","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,7,192530,0,0,2116,"",7.01,0.92,0.88,0.89,0.70,0.00,0.00,0.78,"",0,0.0,0,0.0,0,0.0,0,0.0,-24643,-11.3,0,0.0,0,0.0,-271,-11.4
"01999","1","927","75","0","2021","2","","Unknown Or Undefined, Alabama","Federal Government","NAICS 927 Space research and technology","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,7,228125,0,0,2507,"",6.68,0.87,0.89,0.87,0.69,0.00,0.00,0.79,"",0,0.0,0,0.0,1,16.7,-2,-22.2,-22928,-9.1,0,0.0,0,0.0,-126,-4.8
"01999","1","927","75","0","2021","3","","Unknown Or Undefined, Alabama","Federal Government","NAICS 927 Space research and technology","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,7,215715,0,0,2370,"",6.54,0.84,0.84,0.83,0.68,0.00,0.00,0.82,"",0,0.0,0,0.0,0,0.0,0,0.0,10429,5.1,0,0.0,0,0.0,114,5.1
"05000","1","927","55","0","2021","1","","Arkansas -- Statewide","Federal Government","NAICS 927 Space research and technology","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,27506,0,0,2116,"",1.19,0.01,0.01,0.01,0.01,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,0,0.0,354,1.3,0,0.0,0,0.0,27,1.3
"05000","1","927","55","0","2021","2","","Arkansas -- Statewide","Federal Government","NAICS 927 Space research and technology","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,2,2,83110,0,0,3836,"",1.17,0.01,0.01,0.01,0.02,0.00,0.00,1.81,"",0,0.0,0,0.0,1,100.0,1,100.0,51285,161.1,0,0.0,0,0.0,1388,56.7
"05000","1","927","55","0","2021","3","","Arkansas -- Statewide","Federal Government","NAICS 927 Space research and technology","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,71811,0,0,2762,"",1.17,0.01,0.01,0.01,0.02,0.00,0.00,1.43,"",0,0.0,1,100.0,1,100.0,1,100.0,43783,156.2,0,0.0,0,0.0,606,28.1
