"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","928","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",42,21683,21733,21835,500734128,0,0,1771,"",1.49,2.59,2.60,2.62,3.63,0.00,0.00,1.39,"",0,0.0,193,0.9,141,0.7,130,0.6,10786046,2.2,0,0.0,0,0.0,26,1.5
"01000","1","928","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",43,21772,21723,21761,510096357,0,0,1804,"",1.51,2.64,2.65,2.65,3.18,0.00,0.00,1.20,"",1,2.4,105,0.5,18,0.1,22,0.1,6121453,1.2,0,0.0,0,0.0,18,1.0
"01000","1","928","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",46,21636,21615,21533,558250847,0,0,1989,"",1.56,2.63,2.64,2.64,3.67,0.00,0.00,1.39,"",4,9.5,-149,-0.7,-261,-1.2,-278,-1.3,7388516,1.3,0,0.0,0,0.0,47,2.4
"01000","2","928","55","0","2021","1","","Alabama -- Statewide","State Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,369,367,367,3742719,0,0,783,"",0.88,1.39,1.41,1.44,1.53,0.00,0.00,1.08,"",-2,-20.0,-28,-7.1,-31,-7.8,-33,-8.2,-32316,-0.9,0,0.0,0,0.0,54,7.4
"01000","2","928","55","0","2021","2","","Alabama -- Statewide","State Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,344,364,354,4478277,0,0,973,"",0.88,1.37,1.44,1.37,1.72,0.00,0.00,1.23,"",-2,-20.0,-27,-7.3,-26,-6.7,-25,-6.6,38354,0.9,0,0.0,0,0.0,74,8.2
"01000","2","928","55","0","2021","3","","Alabama -- Statewide","State Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",8,381,381,383,4390402,0,0,885,"",0.88,1.49,1.51,1.52,1.59,0.00,0.00,1.05,"",0,0.0,-3,-0.8,-3,-0.8,-8,-2.0,-49222,-1.1,0,0.0,0,0.0,1,0.1
"01000","3","928","55","0","2021","1","N","Alabama -- Statewide","Local Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",11.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","928","55","0","2021","2","N","Alabama -- Statewide","Local Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",11.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","928","55","0","2021","3","N","Alabama -- Statewide","Local Government","NAICS 928 National security and international affairs","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",11.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","928","75","0","2021","1","","Calhoun County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,3581,3574,3582,49655294,0,0,1067,"",5.56,19.08,19.13,19.28,19.22,0.00,0.00,1.00,"",0,0.0,-34,-0.9,-32,-0.9,-63,-1.7,-5978781,-10.7,0,0.0,0,0.0,-115,-9.7
"01015","1","928","75","0","2021","2","","Calhoun County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,3560,3543,3539,49909805,0,0,1082,"",5.55,19.43,19.51,19.47,16.89,0.00,0.00,0.87,"",0,0.0,-46,-1.3,-79,-2.2,-79,-2.2,-3897768,-7.2,0,0.0,0,0.0,-63,-5.5
"01015","1","928","75","0","2021","3","","Calhoun County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,3515,3505,3464,57570329,0,0,1267,"",5.38,19.27,19.28,19.27,20.19,0.00,0.00,1.05,"",0,0.0,-121,-3.3,-170,-4.6,-194,-5.3,-5084741,-8.1,0,0.0,0,0.0,-51,-3.9
