"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","11","54","0","2021","1","","Alabama -- Statewide","Private","NAICS 11 Agriculture, forestry, fishing and hunting","State, NAICS Sector -- by ownership sector","All establishment sizes",1503,11794,11706,11714,126779704,83810195,1396907,831,"",1.08,0.77,0.76,0.75,1.13,0.95,0.75,1.48,"",28,1.9,-500,-4.1,-558,-4.5,-482,-4.0,-2168309,-1.7,-2892669,-3.3,376402,36.9,21,2.6
"01000","5","11","54","0","2021","2","","Alabama -- Statewide","Private","NAICS 11 Agriculture, forestry, fishing and hunting","State, NAICS Sector -- by ownership sector","All establishment sizes",1517,11631,11706,11525,139090197,17920321,345278,921,"",1.08,0.69,0.67,0.64,0.98,0.47,0.36,1.47,"",32,2.2,-442,-3.7,-620,-5.0,-676,-5.5,-1972811,-1.4,-751944,-4.0,88916,34.7,32,3.6
"01000","5","11","54","0","2021","3","","Alabama -- Statewide","Private","NAICS 11 Agriculture, forestry, fishing and hunting","State, NAICS Sector -- by ownership sector","All establishment sizes",1520,11869,11620,11656,157921273,11375141,207383,1037,"",1.08,0.64,0.65,0.65,1.00,0.33,0.24,1.55,"",27,1.8,-135,-1.1,-234,-2.0,-395,-3.3,16999714,12.1,3344,0.0,65702,46.4,131,14.5
"01001","5","11","74","0","2021","1","","Autauga County, Alabama","Private","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",20,98,94,94,2117540,814071,10788,1709,"",2.07,1.14,1.08,1.06,4.08,1.91,1.14,3.73,"",1,5.3,1,1.0,-1,-1.1,-3,-3.1,228371,12.1,19899,2.5,5168,92.0,200,13.3
"01001","5","11","74","0","2021","2","","Autauga County, Alabama","Private","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",20,94,92,98,1702785,67235,1138,1384,"",2.08,0.98,0.92,0.96,2.67,0.32,0.20,2.81,"",0,0.0,-6,-6.0,-16,-14.8,-9,-8.4,108945,6.8,-31583,-32.0,35,3.2,216,18.5
"01001","5","11","74","0","2021","3","","Autauga County, Alabama","Private","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",20,100,95,94,1835814,67481,1201,1466,"",2.07,0.95,0.94,0.93,2.43,0.36,0.25,2.59,"",0,0.0,-8,-7.4,-5,-5.0,-4,-4.1,318705,21.0,11765,21.1,489,68.7,322,28.1
"01003","5","11","74","0","2021","1","","Baldwin County, Alabama","Private","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",61,659,658,657,6686936,4643915,64610,782,"",0.85,1.15,1.12,1.09,2.01,1.40,0.99,1.79,"",2,3.4,-10,-1.5,-35,-5.1,-24,-3.5,97608,1.5,-17720,-0.4,20006,44.9,38,5.1
"01003","5","11","74","0","2021","2","","Baldwin County, Alabama","Private","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",62,712,719,648,7369715,1116461,15446,818,"",0.86,1.09,1.04,0.89,1.61,0.57,0.34,1.61,"",2,3.3,-16,-2.2,-2,-0.3,-75,-10.4,141985,2.0,-41701,-3.6,4941,47.0,50,6.5
"01003","5","11","74","0","2021","3","","Baldwin County, Alabama","Private","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",63,694,668,682,8744010,616607,8308,987,"",0.88,0.93,0.94,0.97,1.68,0.36,0.21,1.77,"",3,5.0,-24,-3.3,-22,-3.2,6,0.9,1512922,20.9,113167,22.5,4074,96.2,186,23.2
"01005","5","11","74","0","2021","1","","Barbour County, Alabama","Private","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",21,173,180,172,1950399,1263139,23296,857,"",3.56,2.87,2.94,2.79,5.97,3.93,3.61,2.08,"",0,0.0,12,7.5,19,11.8,12,7.5,289301,17.4,103852,9.0,8211,54.4,62,7.8
