fips,avg_wkly_wage,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,ind,own,size,qtr,year
01000,1030,52,5.3,10,0,0,3,2021
01001,869,44,5.3,10,0,0,3,2021
01003,857,70,8.9,10,0,0,3,2021
01005,781,18,2.4,10,0,0,3,2021
01007,864,13,1.5,10,0,0,3,2021
01009,784,64,8.9,10,0,0,3,2021
01011,850,98,13.0,10,0,0,3,2021
01013,759,47,6.6,10,0,0,3,2021
01015,872,30,3.6,10,0,0,3,2021
01017,774,-6,-0.8,10,0,0,3,2021
01019,758,72,10.5,10,0,0,3,2021
01021,833,31,3.9,10,0,0,3,2021
01023,1086,37,3.5,10,0,0,3,2021
01025,897,121,15.6,10,0,0,3,2021
01027,780,62,8.6,10,0,0,3,2021
01029,957,79,9.0,10,0,0,3,2021
01031,775,54,7.5,10,0,0,3,2021
01033,985,86,9.6,10,0,0,3,2021
01035,805,57,7.6,10,0,0,3,2021
01037,830,50,6.4,10,0,0,3,2021
01039,800,58,7.8,10,0,0,3,2021
01041,760,10,1.3,10,0,0,3,2021
01043,870,70,8.8,10,0,0,3,2021
01045,1160,40,3.6,10,0,0,3,2021
01047,832,48,6.1,10,0,0,3,2021
01049,848,63,8.0,10,0,0,3,2021
01051,758,49,6.9,10,0,0,3,2021
01053,844,43,5.4,10,0,0,3,2021
01055,800,43,5.7,10,0,0,3,2021
01057,723,58,8.7,10,0,0,3,2021
01059,786,49,6.6,10,0,0,3,2021
01061,695,53,8.3,10,0,0,3,2021
01063,755,63,9.1,10,0,0,3,2021
01065,843,55,7.0,10,0,0,3,2021
01067,1066,16,1.5,10,0,0,3,2021
01069,908,58,6.8,10,0,0,3,2021
01071,821,57,7.5,10,0,0,3,2021
01073,1173,62,5.6,10,0,0,3,2021
01075,832,47,6.0,10,0,0,3,2021
01077,775,28,3.7,10,0,0,3,2021
01079,793,46,6.2,10,0,0,3,2021
01081,862,46,5.6,10,0,0,3,2021
01083,1033,61,6.3,10,0,0,3,2021
01085,918,8,0.9,10,0,0,3,2021
01087,934,47,5.3,10,0,0,3,2021
01089,1335,45,3.5,10,0,0,3,2021
01091,916,78,9.3,10,0,0,3,2021
01093,794,75,10.4,10,0,0,3,2021
01095,821,42,5.4,10,0,0,3,2021
01097,1016,50,5.2,10,0,0,3,2021
01099,962,94,10.8,10,0,0,3,2021
01101,1003,35,3.6,10,0,0,3,2021
01103,1022,60,6.2,10,0,0,3,2021
01105,684,29,4.4,10,0,0,3,2021
01107,818,26,3.3,10,0,0,3,2021
01109,862,46,5.6,10,0,0,3,2021
01111,745,68,10.0,10,0,0,3,2021
01113,818,41,5.3,10,0,0,3,2021
01115,869,64,8.0,10,0,0,3,2021
01117,1132,51,4.7,10,0,0,3,2021
01119,817,76,10.3,10,0,0,3,2021
01121,945,32,3.5,10,0,0,3,2021
01123,761,31,4.2,10,0,0,3,2021
01125,993,35,3.7,10,0,0,3,2021
01127,809,35,4.5,10,0,0,3,2021
01129,1324,115,9.5,10,0,0,3,2021
01131,949,27,2.9,10,0,0,3,2021
01133,825,67,8.8,10,0,0,3,2021
01999,1445,21,1.5,10,0,0,3,2021
02000,1205,40,3.4,10,0,0,3,2021
02013,1375,176,14.7,10,0,0,3,2021
02016,1488,236,18.8,10,0,0,3,2021
02020,1252,32,2.6,10,0,0,3,2021
02050,946,12,1.3,10,0,0,3,2021
02060,1374,-28,-2.0,10,0,0,3,2021
02063,1276,105,9.0,10,0,0,3,2021
02066,1004,-154,-13.3,10,0,0,3,2021
02068,1176,38,3.3,10,0,0,3,2021
02070,1161,38,3.4,10,0,0,3,2021
02090,1160,35,3.1,10,0,0,3,2021
02100,820,21,2.6,10,0,0,3,2021
02105,810,49,6.4,10,0,0,3,2021
02110,1140,23,2.1,10,0,0,3,2021
02122,1051,14,1.4,10,0,0,3,2021
02130,1043,28,2.8,10,0,0,3,2021
02150,1035,24,2.4,10,0,0,3,2021
02158,647,-23,-3.4,10,0,0,3,2021
02164,1020,70,7.4,10,0,0,3,2021
02170,985,41,4.3,10,0,0,3,2021
02180,1180,32,2.8,10,0,0,3,2021
02185,2191,234,12.0,10,0,0,3,2021
02188,1517,-15,-1.0,10,0,0,3,2021
02195,1180,197,20.0,10,0,0,3,2021
02198,947,64,7.2,10,0,0,3,2021
02220,1047,56,5.7,10,0,0,3,2021
02230,869,53,6.5,10,0,0,3,2021
02240,1486,89,6.4,10,0,0,3,2021
02275,831,-33,-3.8,10,0,0,3,2021
02282,1263,240,23.5,10,0,0,3,2021
02290,876,19,2.2,10,0,0,3,2021
02999,1489,106,7.7,10,0,0,3,2021
04000,1167,76,7.0,10,0,0,3,2021
04001,947,11,1.2,10,0,0,3,2021
04003,1017,-11,-1.1,10,0,0,3,2021
04005,948,16,1.7,10,0,0,3,2021
04007,932,48,5.4,10,0,0,3,2021
04009,891,42,4.9,10,0,0,3,2021
04011,1279,123,10.6,10,0,0,3,2021
04012,837,44,5.5,10,0,0,3,2021
04013,1226,88,7.7,10,0,0,3,2021
04015,858,46,5.7,10,0,0,3,2021
04017,849,24,2.9,10,0,0,3,2021
04019,1051,49,4.9,10,0,0,3,2021
04021,929,33,3.7,10,0,0,3,2021
04023,1019,5,0.5,10,0,0,3,2021
04025,889,47,5.6,10,0,0,3,2021
04027,904,42,4.9,10,0,0,3,2021
04999,1802,42,2.4,10,0,0,3,2021
05000,963,70,7.8,10,0,0,3,2021
05001,862,73,9.3,10,0,0,3,2021
05003,855,37,4.5,10,0,0,3,2021
05005,774,55,7.6,10,0,0,3,2021
05007,1181,105,9.8,10,0,0,3,2021
05009,890,90,11.2,10,0,0,3,2021
05011,773,55,7.7,10,0,0,3,2021
05013,1216,67,5.8,10,0,0,3,2021
05015,709,51,7.8,10,0,0,3,2021
05017,720,29,4.2,10,0,0,3,2021
05019,778,27,3.6,10,0,0,3,2021
05021,713,36,5.3,10,0,0,3,2021
05023,724,48,7.1,10,0,0,3,2021
05025,738,44,6.3,10,0,0,3,2021
05027,836,93,12.5,10,0,0,3,2021
05029,832,58,7.5,10,0,0,3,2021
05031,909,57,6.7,10,0,0,3,2021
05033,826,86,11.6,10,0,0,3,2021
05035,822,65,8.6,10,0,0,3,2021
05037,717,38,5.6,10,0,0,3,2021
05039,732,55,8.1,10,0,0,3,2021
05041,798,55,7.4,10,0,0,3,2021
05043,797,101,14.5,10,0,0,3,2021
05045,851,26,3.2,10,0,0,3,2021
05047,778,61,8.5,10,0,0,3,2021
05049,704,57,8.8,10,0,0,3,2021
05051,800,25,3.2,10,0,0,3,2021
05053,884,53,6.4,10,0,0,3,2021
05055,830,58,7.5,10,0,0,3,2021
05057,807,73,9.9,10,0,0,3,2021
05059,795,64,8.8,10,0,0,3,2021
05061,769,68,9.7,10,0,0,3,2021
05063,857,53,6.6,10,0,0,3,2021
05065,698,67,10.6,10,0,0,3,2021
05067,769,44,6.1,10,0,0,3,2021
05069,905,65,7.7,10,0,0,3,2021
05071,752,85,12.7,10,0,0,3,2021
05073,679,70,11.5,10,0,0,3,2021
05075,740,56,8.2,10,0,0,3,2021
05077,755,58,8.3,10,0,0,3,2021
05079,803,90,12.6,10,0,0,3,2021
05081,918,-33,-3.5,10,0,0,3,2021
05083,704,49,7.5,10,0,0,3,2021
05085,715,37,5.5,10,0,0,3,2021
05087,781,72,10.2,10,0,0,3,2021
05089,705,52,8.0,10,0,0,3,2021
05091,879,61,7.5,10,0,0,3,2021
05093,1182,201,20.5,10,0,0,3,2021
05095,724,55,8.2,10,0,0,3,2021
05097,611,30,5.2,10,0,0,3,2021
05099,726,2,0.3,10,0,0,3,2021
05101,638,49,8.3,10,0,0,3,2021
05103,799,101,14.5,10,0,0,3,2021
05105,694,41,6.3,10,0,0,3,2021
05107,731,69,10.4,10,0,0,3,2021
05109,672,36,5.7,10,0,0,3,2021
05111,959,121,14.4,10,0,0,3,2021
05113,714,52,7.9,10,0,0,3,2021
05115,877,51,6.2,10,0,0,3,2021
05117,759,50,7.1,10,0,0,3,2021
05119,1094,62,6.0,10,0,0,3,2021
05121,704,33,4.9,10,0,0,3,2021
05123,806,38,4.9,10,0,0,3,2021
05125,787,55,7.5,10,0,0,3,2021
05127,705,78,12.4,10,0,0,3,2021
05129,647,70,12.1,10,0,0,3,2021
05131,932,57,6.5,10,0,0,3,2021
05133,729,67,10.1,10,0,0,3,2021
05135,644,50,8.4,10,0,0,3,2021
05137,649,49,8.2,10,0,0,3,2021
05139,989,0,0.0,10,0,0,3,2021
05141,759,79,11.6,10,0,0,3,2021
05143,1000,70,7.5,10,0,0,3,2021
05145,805,41,5.4,10,0,0,3,2021
05147,829,54,7.0,10,0,0,3,2021
05149,721,61,9.2,10,0,0,3,2021
05999,1459,94,6.9,10,0,0,3,2021
06000,1576,112,7.7,10,0,0,3,2021
06001,1725,24,1.4,10,0,0,3,2021
06003,966,-1,-0.1,10,0,0,3,2021
06005,1014,38,3.9,10,0,0,3,2021
06007,984,38,4.0,10,0,0,3,2021
06009,917,26,2.9,10,0,0,3,2021
06011,962,14,1.5,10,0,0,3,2021
06013,1506,43,2.9,10,0,0,3,2021
06015,915,31,3.5,10,0,0,3,2021
06017,1112,43,4.0,10,0,0,3,2021
06019,981,49,5.3,10,0,0,3,2021
06021,968,70,7.8,10,0,0,3,2021
06023,966,58,6.4,10,0,0,3,2021
06025,925,29,3.2,10,0,0,3,2021
06027,968,32,3.4,10,0,0,3,2021
06029,1007,35,3.6,10,0,0,3,2021
06031,977,-1,-0.1,10,0,0,3,2021
06033,912,64,7.5,10,0,0,3,2021
06035,1086,-35,-3.1,10,0,0,3,2021
06037,1409,78,5.9,10,0,0,3,2021
06039,978,31,3.3,10,0,0,3,2021
06041,1570,13,0.8,10,0,0,3,2021
06043,901,31,3.6,10,0,0,3,2021
06045,951,34,3.7,10,0,0,3,2021
06047,942,36,4.0,10,0,0,3,2021
06049,893,40,4.7,10,0,0,3,2021
06051,931,55,6.3,10,0,0,3,2021
06053,1070,65,6.5,10,0,0,3,2021
06055,1266,102,8.8,10,0,0,3,2021
06057,1057,38,3.7,10,0,0,3,2021
06059,1391,63,4.7,10,0,0,3,2021
06061,1306,85,7.0,10,0,0,3,2021
06063,997,77,8.4,10,0,0,3,2021
06065,1014,39,4.0,10,0,0,3,2021
06067,1344,70,5.5,10,0,0,3,2021
06069,1038,32,3.2,10,0,0,3,2021
06071,1055,53,5.3,10,0,0,3,2021
06073,1395,62,4.7,10,0,0,3,2021
06075,3224,475,17.3,10,0,0,3,2021
06077,1082,66,6.5,10,0,0,3,2021
06079,1071,28,2.7,10,0,0,3,2021
06081,3710,790,27.1,10,0,0,3,2021
06083,1143,38,3.4,10,0,0,3,2021
06085,3209,330,11.5,10,0,0,3,2021
06087,1159,18,1.6,10,0,0,3,2021
06089,1029,69,7.2,10,0,0,3,2021
06091,870,74,9.3,10,0,0,3,2021
06093,957,66,7.4,10,0,0,3,2021
06095,1240,-8,-0.6,10,0,0,3,2021
06097,1296,90,7.5,10,0,0,3,2021
06099,1094,59,5.7,10,0,0,3,2021
06101,945,65,7.4,10,0,0,3,2021
06103,999,67,7.2,10,0,0,3,2021
06105,938,44,4.9,10,0,0,3,2021
06107,920,56,6.5,10,0,0,3,2021
06109,1003,54,5.7,10,0,0,3,2021
06111,1209,49,4.2,10,0,0,3,2021
06113,1260,-3,-0.2,10,0,0,3,2021
06115,1165,75,6.9,10,0,0,3,2021
06999,2134,173,8.8,10,0,0,3,2021
08000,1322,87,7.0,10,0,0,3,2021
08001,1223,83,7.3,10,0,0,3,2021
08003,849,56,7.1,10,0,0,3,2021
08005,1442,78,5.7,10,0,0,3,2021
08007,803,50,6.6,10,0,0,3,2021
08009,721,18,2.6,10,0,0,3,2021
08011,757,37,5.1,10,0,0,3,2021
08013,1627,160,10.9,10,0,0,3,2021
08014,1882,129,7.4,10,0,0,3,2021
08015,891,31,3.6,10,0,0,3,2021
08017,942,80,9.3,10,0,0,3,2021
08019,1012,67,7.1,10,0,0,3,2021
08021,691,49,7.6,10,0,0,3,2021
08023,674,28,4.3,10,0,0,3,2021
08025,1031,64,6.6,10,0,0,3,2021
08027,679,12,1.8,10,0,0,3,2021
08029,783,30,4.0,10,0,0,3,2021
08031,1606,103,6.9,10,0,0,3,2021
08033,704,-42,-5.6,10,0,0,3,2021
08035,1408,144,11.4,10,0,0,3,2021
08037,1078,30,2.9,10,0,0,3,2021
08039,968,89,10.1,10,0,0,3,2021
08041,1136,70,6.6,10,0,0,3,2021
08043,978,45,4.8,10,0,0,3,2021
08045,1053,53,5.3,10,0,0,3,2021
08047,1317,493,59.8,10,0,0,3,2021
08049,896,54,6.4,10,0,0,3,2021
08051,882,24,2.8,10,0,0,3,2021
08053,662,1,0.2,10,0,0,3,2021
08055,771,14,1.8,10,0,0,3,2021
